Team,avg_assists,,,
Virginia (ACC),11.47,,,
Boston U. (Patriot),9.00,,,
North Carolina (ACC),8.86,,,
High Point (Atlantic 10),8.82,,,
Lehigh (Patriot),8.80,,,
Princeton (Ivy League),8.67,,,
Syracuse (ACC),8.67,,,
Georgetown (Big East),8.47,,,
Utah (ASUN),8.47,,,
Jacksonville (ASUN),8.44,,,
Notre Dame (ACC),8.31,,,
Delaware (CAA),8.22,,,
Penn St. (Big Ten),8.06,,,
Quinnipiac (MAAC),8.00,,,
Yale (Ivy League),7.80,,,
Duke (ACC),7.68,,,
Michigan (Big Ten),7.65,,,
Penn (Ivy League),7.54,,,
Bellarmine (ASUN),7.53,,,
Richmond (Atlantic 10),7.50,,,
Johns Hopkins (Big Ten),7.44,,,
Maryland (Big Ten),7.44,,,
Cornell (Ivy League),7.40,,,
Robert Morris (ASUN),7.38,,,
Bryant (America East),7.35,,,
Harvard (Ivy League),7.33,,,
Marist (MAAC),7.33,,,
Villanova (Big East),7.33,,,
Binghamton (America East),7.07,,,
Brown (Ivy League),7.07,,,
Bucknell (Patriot),7.00,,,
Towson (CAA),7.00,,,
Vermont (America East),7.00,,,
Stony Brook (CAA),6.94,,,
Drexel (CAA),6.93,,,
Loyola Maryland (Patriot),6.82,,,
Siena (MAAC),6.81,,,
Denver (Big East),6.67,,,
Army West Point (Patriot),6.59,,,
Cleveland St. (ASUN),6.54,,,
Rutgers (Big Ten),6.43,,,
Dartmouth (Ivy League),6.42,,,
Mercer (ASUN),6.38,,,
Mount St. Mary's (MAAC),6.31,,,
Hobart (Atlantic 10),6.31,,,
Marquette (Big East),6.29,,,
Providence (Big East),6.27,,,
Navy (Patriot),6.25,,,
Fairfield (CAA),6.21,,,
Lafayette (Patriot),6.19,,,
Air Force (ASUN),6.12,,,
Saint Joseph's (Atlantic 10),6.07,,,
Hofstra (CAA),5.93,,,
UAlbany (America East),5.81,,,
Sacred Heart (MAAC),5.67,,,
Colgate (Patriot),5.64,,,
Manhattan (MAAC),5.60,,,
VMI (MAAC),5.53,,,
Massachusetts (Atlantic 10),5.50,,,
Ohio St. (Big Ten),5.50,,,
NJIT (America East),5.46,,,
UMBC (America East),5.31,,,
St. John's (NY) (Big East),5.07,,,
Monmouth (CAA),5.00,,,
Canisius (MAAC),4.80,,,
LIU (MAAC),4.79,,,
Holy Cross (Patriot),4.57,,,
St. Bonaventure (Atlantic 10),4.00,,,
Detroit Mercy (ASUN),3.85,,,
UMass Lowell (America East),3.85,,,
Hampton (CAA),3.71,,,
Wagner (MAAC),3.07,,,
