Team,clearing_pctg,,,,
Maryland (Big Ten),0.93,,,,
Manhattan (MAAC),0.919,,,,
Siena (MAAC),0.918,,,,
Georgetown (Big East),0.916,,,,
Delaware (CAA),0.91,,,,
Utah (ASUN),0.909,,,,
Virginia (ACC),0.908,,,,
Ohio St. (Big Ten),0.904,,,,
Air Force (ASUN),0.902,,,,
UAlbany (America East),0.901,,,,
Bellarmine (ASUN),0.9,,,,
Duke (ACC),0.9,,,,
Richmond (Atlantic 10),0.899,,,,
Cornell (Ivy League),0.897,,,,
Notre Dame (ACC),0.894,,,,
Rutgers (Big Ten),0.892,,,,
Towson (CAA),0.891,,,,
Harvard (Ivy League),0.891,,,,
Syracuse (ACC),0.89,,,,
Saint Joseph's (Atlantic 10),0.888,,,,
Bryant (America East),0.888,,,,
Villanova (Big East),0.886,,,,
Penn (Ivy League),0.884,,,,
Johns Hopkins (Big Ten),0.882,,,,
Mount St. Mary's (MAAC),0.88,,,,
Brown (Ivy League),0.877,,,,
Jacksonville (ASUN),0.877,,,,
LIU (MAAC),0.875,,,,
Vermont (America East),0.875,,,,
Hofstra (CAA),0.875,,,,
Denver (Big East),0.874,,,,
Loyola Maryland (Patriot),0.872,,,,
Michigan (Big Ten),0.871,,,,
Princeton (Ivy League),0.87,,,,
Navy (Patriot),0.868,,,,
UMBC (America East),0.868,,,,
Cleveland St. (ASUN),0.867,,,,
VMI (MAAC),0.866,,,,
Robert Morris (ASUN),0.864,,,,
Fairfield (CAA),0.864,,,,
North Carolina (ACC),0.863,,,,
Penn St. (Big Ten),0.862,,,,
Lafayette (Patriot),0.861,,,,
Drexel (CAA),0.86,,,,
Binghamton (America East),0.855,,,,
Stony Brook (CAA),0.853,,,,
NJIT (America East),0.853,,,,
Monmouth (CAA),0.853,,,,
Mercer (ASUN),0.852,,,,
High Point (Atlantic 10),0.85,,,,
St. John's (NY) (Big East),0.849,,,,
Army West Point (Patriot),0.849,,,,
Hobart (Atlantic 10),0.845,,,,
Canisius (MAAC),0.844,,,,
Marist (MAAC),0.842,,,,
Quinnipiac (MAAC),0.84,,,,
Detroit Mercy (ASUN),0.836,,,,
Yale (Ivy League),0.835,,,,
Colgate (Patriot),0.827,,,,
Dartmouth (Ivy League),0.826,,,,
Wagner (MAAC),0.825,,,,
Lehigh (Patriot),0.824,,,,
Bucknell (Patriot),0.823,,,,
Boston U. (Patriot),0.821,,,,
Providence (Big East),0.82,,,,
Sacred Heart (MAAC),0.818,,,,
UMass Lowell (America East),0.818,,,,
Massachusetts (Atlantic 10),0.815,,,,
Marquette (Big East),0.809,,,,
Holy Cross (Patriot),0.792,,,,
Hampton (CAA),0.755,,,,
St. Bonaventure (Atlantic 10),0.748,,,,
