Team,avg_ground_balls,,,
Virginia (ACC),39.65,,,
Georgetown (Big East),38.65,,,
Lehigh (Patriot),37.33,,,
Bryant (America East),37.24,,,
Utah (ASUN),37.24,,,
Cornell (Ivy League),36.67,,,
Boston U. (Patriot),36.07,,,
Army West Point (Patriot),36.06,,,
Duke (ACC),35.63,,,
Harvard (Ivy League),35.58,,,
Jacksonville (ASUN),35.56,,,
Mount St. Mary's (MAAC),35.06,,,
Notre Dame (ACC),35.06,,,
High Point (Atlantic 10),35.00,,,
North Carolina (ACC),34.86,,,
Maryland (Big Ten),34.38,,,
Yale (Ivy League),34.00,,,
Towson (CAA),33.87,,,
Princeton (Ivy League),33.13,,,
Dartmouth (Ivy League),33.00,,,
Marist (MAAC),33.00,,,
Robert Morris (ASUN),32.94,,,
Fairfield (CAA),32.93,,,
Villanova (Big East),32.87,,,
Navy (Patriot),32.56,,,
Saint Joseph's (Atlantic 10),32.40,,,
Brown (Ivy League),32.21,,,
Rutgers (Big Ten),32.21,,,
Penn St. (Big Ten),32.06,,,
Johns Hopkins (Big Ten),31.94,,,
Binghamton (America East),31.71,,,
Stony Brook (CAA),31.69,,,
Loyola Maryland (Patriot),31.53,,,
Drexel (CAA),31.50,,,
Vermont (America East),31.50,,,
Michigan (Big Ten),31.41,,,
Siena (MAAC),31.38,,,
Monmouth (CAA),31.29,,,
UAlbany (America East),31.12,,,
Delaware (CAA),31.06,,,
Canisius (MAAC),30.80,,,
Richmond (Atlantic 10),30.69,,,
Colgate (Patriot),30.55,,,
Mercer (ASUN),30.38,,,
Hampton (CAA),30.29,,,
Hofstra (CAA),30.21,,,
LIU (MAAC),30.21,,,
Marquette (Big East),29.93,,,
Massachusetts (Atlantic 10),29.79,,,
Bucknell (Patriot),29.77,,,
Bellarmine (ASUN),29.76,,,
VMI (MAAC),28.93,,,
Ohio St. (Big Ten),28.86,,,
Quinnipiac (MAAC),28.86,,,
Holy Cross (Patriot),28.64,,,
Cleveland St. (ASUN),28.46,,,
Lafayette (Patriot),28.19,,,
Denver (Big East),28.07,,,
Syracuse (ACC),27.93,,,
Hobart (Atlantic 10),27.92,,,
NJIT (America East),27.92,,,
UMBC (America East),27.85,,,
Penn (Ivy League),27.77,,,
Air Force (ASUN),27.12,,,
Manhattan (MAAC),26.53,,,
St. Bonaventure (Atlantic 10),26.50,,,
Detroit Mercy (ASUN),26.23,,,
Sacred Heart (MAAC),25.73,,,
Providence (Big East),25.53,,,
St. John's (NY) (Big East),24.79,,,
UMass Lowell (America East),24.38,,,
Wagner (MAAC),22.29,,,
