Team,man_down_defence_pctg,,,,
Stony Brook (CAA),0.827,,,,
Jacksonville (ASUN),0.784,,,,
Massachusetts (Atlantic 10),0.756,,,,
Manhattan (MAAC),0.75,,,,
Delaware (CAA),0.739,,,,
Penn St. (Big Ten),0.739,,,,
Bellarmine (ASUN),0.734,,,,
Air Force (ASUN),0.729,,,,
Villanova (Big East),0.725,,,,
Drexel (CAA),0.721,,,,
Cleveland St. (ASUN),0.71,,,,
Saint Joseph's (Atlantic 10),0.704,,,,
Siena (MAAC),0.694,,,,
NJIT (America East),0.689,,,,
Richmond (Atlantic 10),0.686,,,,
Lafayette (Patriot),0.684,,,,
Monmouth (CAA),0.682,,,,
Syracuse (ACC),0.677,,,,
Wagner (MAAC),0.676,,,,
Army West Point (Patriot),0.673,,,,
Vermont (America East),0.673,,,,
Canisius (MAAC),0.667,,,,
Hofstra (CAA),0.667,,,,
Johns Hopkins (Big Ten),0.667,,,,
Harvard (Ivy League),0.667,,,,
Duke (ACC),0.662,,,,
Fairfield (CAA),0.66,,,,
Rutgers (Big Ten),0.658,,,,
LIU (MAAC),0.654,,,,
Maryland (Big Ten),0.649,,,,
Mount St. Mary's (MAAC),0.648,,,,
Marquette (Big East),0.647,,,,
UMass Lowell (America East),0.647,,,,
Georgetown (Big East),0.646,,,,
Cornell (Ivy League),0.643,,,,
VMI (MAAC),0.641,,,,
North Carolina (ACC),0.638,,,,
Boston U. (Patriot),0.635,,,,
Quinnipiac (MAAC),0.634,,,,
Virginia (ACC),0.632,,,,
Notre Dame (ACC),0.632,,,,
Sacred Heart (MAAC),0.632,,,,
UMBC (America East),0.625,,,,
Mercer (ASUN),0.621,,,,
Brown (Ivy League),0.618,,,,
Marist (MAAC),0.606,,,,
High Point (Atlantic 10),0.6,,,,
Hampton (CAA),0.596,,,,
Providence (Big East),0.595,,,,
Detroit Mercy (ASUN),0.593,,,,
Robert Morris (ASUN),0.591,,,,
Bucknell (Patriot),0.589,,,,
Dartmouth (Ivy League),0.588,,,,
Penn (Ivy League),0.587,,,,
Princeton (Ivy League),0.583,,,,
UAlbany (America East),0.583,,,,
Hobart (Atlantic 10),0.58,,,,
Bryant (America East),0.574,,,,
Towson (CAA),0.568,,,,
Binghamton (America East),0.565,,,,
Utah (ASUN),0.564,,,,
St. Bonaventure (Atlantic 10),0.558,,,,
Ohio St. (Big Ten),0.549,,,,
Denver (Big East),0.545,,,,
Lehigh (Patriot),0.542,,,,
Michigan (Big Ten),0.538,,,,
Loyola Maryland (Patriot),0.537,,,,
St. John's (NY) (Big East),0.528,,,,
Holy Cross (Patriot),0.52,,,,
Yale (Ivy League),0.519,,,,
Colgate (Patriot),0.517,,,,
Navy (Patriot),0.5,,,,
