Team,man_up_offense_pctg,,,,
Boston U. (Patriot),0.583,,,,
Georgetown (Big East),0.567,,,,
Syracuse (ACC),0.565,,,,
Virginia (ACC),0.55,,,,
Notre Dame (ACC),0.537,,,,
Siena (MAAC),0.524,,,,
Cornell (Ivy League),0.517,,,,
Delaware (CAA),0.51,,,,
Villanova (Big East),0.5,,,,
Army West Point (Patriot),0.5,,,,
Princeton (Ivy League),0.488,,,,
Cleveland St. (ASUN),0.486,,,,
Quinnipiac (MAAC),0.483,,,,
Penn St. (Big Ten),0.471,,,,
Binghamton (America East),0.468,,,,
Bucknell (Patriot),0.453,,,,
Hobart (Atlantic 10),0.451,,,,
NJIT (America East),0.45,,,,
Robert Morris (ASUN),0.449,,,,
Lafayette (Patriot),0.446,,,,
Lehigh (Patriot),0.444,,,,
Bryant (America East),0.441,,,,
Duke (ACC),0.431,,,,
Marquette (Big East),0.431,,,,
Air Force (ASUN),0.425,,,,
Ohio St. (Big Ten),0.421,,,,
Canisius (MAAC),0.408,,,,
Richmond (Atlantic 10),0.407,,,,
North Carolina (ACC),0.4,,,,
UAlbany (America East),0.396,,,,
Loyola Maryland (Patriot),0.396,,,,
Maryland (Big Ten),0.395,,,,
Hampton (CAA),0.395,,,,
Massachusetts (Atlantic 10),0.389,,,,
Harvard (Ivy League),0.377,,,,
Stony Brook (CAA),0.373,,,,
Brown (Ivy League),0.372,,,,
Saint Joseph's (Atlantic 10),0.367,,,,
Marist (MAAC),0.364,,,,
Dartmouth (Ivy League),0.364,,,,
Rutgers (Big Ten),0.364,,,,
Mercer (ASUN),0.361,,,,
Michigan (Big Ten),0.356,,,,
Denver (Big East),0.349,,,,
Johns Hopkins (Big Ten),0.341,,,,
Providence (Big East),0.333,,,,
Colgate (Patriot),0.333,,,,
Bellarmine (ASUN),0.326,,,,
Drexel (CAA),0.326,,,,
VMI (MAAC),0.312,,,,
Penn (Ivy League),0.31,,,,
Manhattan (MAAC),0.298,,,,
Towson (CAA),0.293,,,,
Hofstra (CAA),0.279,,,,
LIU (MAAC),0.278,,,,
Jacksonville (ASUN),0.273,,,,
High Point (Atlantic 10),0.258,,,,
UMBC (America East),0.257,,,,
Yale (Ivy League),0.255,,,,
Detroit Mercy (ASUN),0.246,,,,
Navy (Patriot),0.244,,,,
UMass Lowell (America East),0.241,,,,
Fairfield (CAA),0.239,,,,
Holy Cross (Patriot),0.239,,,,
St. John's (NY) (Big East),0.236,,,,
Mount St. Mary's (MAAC),0.235,,,,
Vermont (America East),0.235,,,,
Utah (ASUN),0.233,,,,
Monmouth (CAA),0.215,,,,
St. Bonaventure (Atlantic 10),0.184,,,,
Sacred Heart (MAAC),0.161,,,,
Wagner (MAAC),0.154,,,,
