Team,avg_scoring_margin,,,,
Notre Dame (ACC),5.81,,,,
Delaware (CAA),5.28,,,,
Virginia (ACC),5.12,,,,
Jacksonville (ASUN),4.19,,,,
Duke (ACC),3.95,,,,
North Carolina (ACC),3.71,,,,
Georgetown (Big East),3.71,,,,
Army West Point (Patriot),3.71,,,,
Saint Joseph's (Atlantic 10),3.60,,,,
Cornell (Ivy League),3.53,,,,
Utah (ASUN),3.53,,,,
Princeton (Ivy League),3.00,,,,
Boston U. (Patriot),2.71,,,,
Penn St. (Big Ten),2.50,,,,
Bellarmine (ASUN),2.35,,,,
UMBC (America East),2.23,,,,
Syracuse (ACC),2.20,,,,
Lehigh (Patriot),2.20,,,,
Air Force (ASUN),2.12,,,,
Villanova (Big East),2.07,,,,
Bryant (America East),1.88,,,,
Binghamton (America East),1.64,,,,
Richmond (Atlantic 10),1.62,,,,
Rutgers (Big Ten),1.57,,,,
Stony Brook (CAA),1.56,,,,
Johns Hopkins (Big Ten),1.50,,,,
Towson (CAA),1.47,,,,
Denver (Big East),1.47,,,,
Manhattan (MAAC),1.47,,,,
Maryland (Big Ten),1.31,,,,
Yale (Ivy League),1.13,,,,
High Point (Atlantic 10),1.06,,,,
Vermont (America East),0.93,,,,
Michigan (Big Ten),0.88,,,,
Marquette (Big East),0.79,,,,
Marist (MAAC),0.67,,,,
Drexel (CAA),0.64,,,,
Massachusetts (Atlantic 10),0.64,,,,
Penn (Ivy League),0.62,,,,
Siena (MAAC),0.00,,,,
Robert Morris (ASUN),-0.12,,,,
Navy (Patriot),-0.19,,,,
Hofstra (CAA),-0.29,,,,
Fairfield (CAA),-0.71,,,,
Loyola Maryland (Patriot),-0.82,,,,
Brown (Ivy League),-0.86,,,,
Colgate (Patriot),-0.91,,,,
Harvard (Ivy League),-0.92,,,,
UAlbany (America East),-1.06,,,,
Hobart (Atlantic 10),-1.15,,,,
Bucknell (Patriot),-1.15,,,,
Mount St. Mary's (MAAC),-1.31,,,,
LIU (MAAC),-1.36,,,,
Cleveland St. (ASUN),-1.38,,,,
Sacred Heart (MAAC),-1.40,,,,
Quinnipiac (MAAC),-1.43,,,,
Lafayette (Patriot),-1.69,,,,
Ohio St. (Big Ten),-1.71,,,,
NJIT (America East),-2.62,,,,
Dartmouth (Ivy League),-2.75,,,,
Monmouth (CAA),-2.79,,,,
Mercer (ASUN),-2.88,,,,
VMI (MAAC),-3.00,,,,
Providence (Big East),-3.33,,,,
Canisius (MAAC),-3.40,,,,
Wagner (MAAC),-4.00,,,,
St. John's (NY) (Big East),-6.14,,,,
Holy Cross (Patriot),-7.00,,,,
Detroit Mercy (ASUN),-7.08,,,,
UMass Lowell (America East),-7.85,,,,
St. Bonaventure (Atlantic 10),-7.93,,,,
Hampton (CAA),-9.36,,,,
