Team,opp_clear_pctg,,,,
High Point (Atlantic 10),0.779,,,,
Boston U. (Patriot),0.788,,,,
Harvard (Ivy League),0.789,,,,
North Carolina (ACC),0.797,,,,
Bucknell (Patriot),0.806,,,,
Jacksonville (ASUN),0.806,,,,
Fairfield (CAA),0.813,,,,
Villanova (Big East),0.813,,,,
Hobart (Atlantic 10),0.817,,,,
Cornell (Ivy League),0.818,,,,
Army West Point (Patriot),0.821,,,,
Dartmouth (Ivy League),0.825,,,,
UMBC (America East),0.831,,,,
VMI (MAAC),0.832,,,,
Towson (CAA),0.833,,,,
Georgetown (Big East),0.84,,,,
Delaware (CAA),0.842,,,,
Air Force (ASUN),0.842,,,,
Lehigh (Patriot),0.843,,,,
Vermont (America East),0.844,,,,
Yale (Ivy League),0.845,,,,
St. John's (NY) (Big East),0.845,,,,
Saint Joseph's (Atlantic 10),0.846,,,,
Binghamton (America East),0.847,,,,
Navy (Patriot),0.849,,,,
Loyola Maryland (Patriot),0.85,,,,
Denver (Big East),0.852,,,,
Bellarmine (ASUN),0.852,,,,
Virginia (ACC),0.852,,,,
Penn St. (Big Ten),0.853,,,,
Brown (Ivy League),0.853,,,,
Cleveland St. (ASUN),0.856,,,,
LIU (MAAC),0.86,,,,
Hampton (CAA),0.865,,,,
Syracuse (ACC),0.865,,,,
Johns Hopkins (Big Ten),0.867,,,,
Canisius (MAAC),0.867,,,,
Notre Dame (ACC),0.867,,,,
St. Bonaventure (Atlantic 10),0.868,,,,
Robert Morris (ASUN),0.871,,,,
UAlbany (America East),0.871,,,,
Bryant (America East),0.872,,,,
Lafayette (Patriot),0.874,,,,
Princeton (Ivy League),0.876,,,,
Mount St. Mary's (MAAC),0.877,,,,
Providence (Big East),0.88,,,,
Duke (ACC),0.88,,,,
Marquette (Big East),0.881,,,,
Wagner (MAAC),0.881,,,,
Richmond (Atlantic 10),0.883,,,,
Hofstra (CAA),0.886,,,,
Rutgers (Big Ten),0.887,,,,
Sacred Heart (MAAC),0.889,,,,
Siena (MAAC),0.892,,,,
Manhattan (MAAC),0.892,,,,
Colgate (Patriot),0.893,,,,
Detroit Mercy (ASUN),0.894,,,,
Mercer (ASUN),0.895,,,,
Penn (Ivy League),0.895,,,,
Maryland (Big Ten),0.895,,,,
Holy Cross (Patriot),0.895,,,,
Utah (ASUN),0.897,,,,
Stony Brook (CAA),0.897,,,,
Massachusetts (Atlantic 10),0.901,,,,
Quinnipiac (MAAC),0.902,,,,
Michigan (Big Ten),0.904,,,,
Ohio St. (Big Ten),0.918,,,,
UMass Lowell (America East),0.918,,,,
Marist (MAAC),0.919,,,,
Monmouth (CAA),0.926,,,,
Drexel (CAA),0.927,,,,
NJIT (America East),0.928,,,,
