Team,shot_pctg,,,,
Virginia (ACC),0.381,,,,
Penn St. (Big Ten),0.343,,,,
Lehigh (Patriot),0.342,,,,
Notre Dame (ACC),0.342,,,,
Delaware (CAA),0.341,,,,
Marquette (Big East),0.34,,,,
Michigan (Big Ten),0.336,,,,
Syracuse (ACC),0.336,,,,
Georgetown (Big East),0.334,,,,
Cornell (Ivy League),0.334,,,,
Bellarmine (ASUN),0.332,,,,
North Carolina (ACC),0.33,,,,
Bryant (America East),0.329,,,,
Johns Hopkins (Big Ten),0.329,,,,
Denver (Big East),0.328,,,,
Marist (MAAC),0.326,,,,
Duke (ACC),0.325,,,,
Saint Joseph's (Atlantic 10),0.324,,,,
Yale (Ivy League),0.324,,,,
Cleveland St. (ASUN),0.322,,,,
Drexel (CAA),0.319,,,,
Richmond (Atlantic 10),0.316,,,,
Jacksonville (ASUN),0.315,,,,
Binghamton (America East),0.314,,,,
Ohio St. (Big Ten),0.31,,,,
Boston U. (Patriot),0.305,,,,
High Point (Atlantic 10),0.305,,,,
Providence (Big East),0.304,,,,
Utah (ASUN),0.304,,,,
Army West Point (Patriot),0.304,,,,
Quinnipiac (MAAC),0.304,,,,
Stony Brook (CAA),0.302,,,,
Air Force (ASUN),0.302,,,,
Sacred Heart (MAAC),0.301,,,,
Penn (Ivy League),0.3,,,,
Princeton (Ivy League),0.3,,,,
Hobart (Atlantic 10),0.299,,,,
Fairfield (CAA),0.298,,,,
Lafayette (Patriot),0.298,,,,
Robert Morris (ASUN),0.295,,,,
Maryland (Big Ten),0.293,,,,
Dartmouth (Ivy League),0.293,,,,
UMass Lowell (America East),0.293,,,,
Colgate (Patriot),0.289,,,,
Villanova (Big East),0.288,,,,
Brown (Ivy League),0.285,,,,
Loyola Maryland (Patriot),0.283,,,,
NJIT (America East),0.283,,,,
Towson (CAA),0.282,,,,
UMBC (America East),0.281,,,,
Canisius (MAAC),0.28,,,,
Bucknell (Patriot),0.272,,,,
Harvard (Ivy League),0.271,,,,
Rutgers (Big Ten),0.27,,,,
Vermont (America East),0.268,,,,
Mercer (ASUN),0.267,,,,
Massachusetts (Atlantic 10),0.266,,,,
LIU (MAAC),0.266,,,,
VMI (MAAC),0.266,,,,
Holy Cross (Patriot),0.266,,,,
Mount St. Mary's (MAAC),0.257,,,,
Siena (MAAC),0.256,,,,
Manhattan (MAAC),0.253,,,,
UAlbany (America East),0.253,,,,
Monmouth (CAA),0.251,,,,
Hampton (CAA),0.25,,,,
St. John's (NY) (Big East),0.25,,,,
Hofstra (CAA),0.25,,,,
Detroit Mercy (ASUN),0.23,,,,
St. Bonaventure (Atlantic 10),0.23,,,,
Navy (Patriot),0.226,,,,
Wagner (MAAC),0.211,,,,
