Team,assists_per_game,,,
Syracuse (ACC),9.10,,,
Massachusetts (Atlantic 10),8.21,,,
Stanford (Pac-12),8.06,,,
Northwestern (Big Ten),8.05,,,
Marquette (Big East),8.00,,,
Coastal Carolina (ASUN),7.95,,,
Loyola Maryland (Patriot),7.86,,,
Clemson (ACC),7.67,,,
Florida (AAC),7.67,,,
Boston College (ACC),7.65,,,
Richmond (Atlantic 10),7.48,,,
Davidson (Atlantic 10),7.28,,,
Campbell (Big South),7.00,,,
Fairfield (MAAC),7.00,,,
Stony Brook (CAA),6.95,,,
Virginia (ACC),6.94,,,
Bryant (America East),6.93,,,
North Carolina (ACC),6.81,,,
Johns Hopkins (Big Ten),6.72,,,
Navy (Patriot),6.58,,,
Furman (Big South),6.56,,,
Army West Point (Patriot),6.53,,,
UC Davis (Independent),6.36,,,
Villanova (Big East),6.35,,,
Duke (ACC),6.33,,,
Lehigh (Patriot),6.33,,,
Notre Dame (ACC),6.33,,,
James Madison (AAC),6.32,,,
Saint Francis (PA) (NEC),6.19,,,
Monmouth (CAA),6.06,,,
Boston U. (Patriot),6.06,,,
UConn (Big East),6.05,,,
Bucknell (Patriot),5.94,,,
Maryland (Big Ten),5.91,,,
Mercer (Big South),5.80,,,
Liberty (ASUN),5.79,,,
Brown (Ivy League),5.71,,,
Kennesaw St. (ASUN),5.71,,,
Rutgers (Big Ten),5.71,,,
Yale (Ivy League),5.59,,,
Colorado (Pac-12),5.58,,,
Princeton (Ivy League),5.50,,,
Penn (Ivy League),5.47,,,
Gardner-Webb (Big South),5.47,,,
Southern California (Pac-12),5.40,,,
High Point (Big South),5.39,,,
Binghamton (America East),5.35,,,
Cincinnati (AAC),5.28,,,
Central Mich. (MAC),5.26,,,
Hofstra (CAA),5.19,,,
Iona (MAAC),5.19,,,
Niagara (MAAC),5.11,,,
Michigan (Big Ten),5.10,,,
UMBC (America East),5.07,,,
Harvard (Ivy League),5.07,,,
Longwood (Big South),5.06,,,
Holy Cross (Patriot),5.00,,,
Jacksonville (ASUN),4.95,,,
Saint Joseph's (Atlantic 10),4.95,,,
Siena (MAAC),4.95,,,
Delaware (CAA),4.94,,,
UAlbany (America East),4.90,,,
Youngstown St. (MAC),4.89,,,
Stetson (ASUN),4.88,,,
Wagner (NEC),4.88,,,
Detroit Mercy (MAC),4.86,,,
Virginia Tech (ACC),4.84,,,
Temple (AAC),4.81,,,
Denver (Big East),4.78,,,
Robert Morris (MAC),4.74,,,
Cornell (Ivy League),4.73,,,
Quinnipiac (MAAC),4.72,,,
American (Patriot),4.69,,,
St. Bonaventure (Atlantic 10),4.50,,,
Vermont (America East),4.50,,,
Towson (CAA),4.44,,,
Kent St. (MAC),4.39,,,
Dartmouth (Ivy League),4.33,,,
Vanderbilt (AAC),4.33,,,
LIU (NEC),4.24,,,
VCU (Atlantic 10),4.24,,,
Colgate (Patriot),4.20,,,
New Hampshire (America East),4.20,,,
Manhattan (MAAC),4.18,,,
East Carolina (AAC),4.17,,,
Ohio St. (Big Ten),4.12,,,
Wofford (Big South),4.12,,,
Marist (MAAC),4.06,,,
San Diego St. (MPSF),4.06,,,
Oregon (Pac-12),4.06,,,
Mount St. Mary's (MAAC),4.00,,,
Penn St. (Big Ten),4.00,,,
Sacred Heart (NEC),3.95,,,
Drexel (CAA),3.94,,,
California (Pac-12),3.89,,,
Georgetown (Big East),3.88,,,
Radford (Big South),3.88,,,
Lafayette (Patriot),3.82,,,
Eastern Mich. (MAC),3.81,,,
William & Mary (CAA),3.81,,,
Winthrop (Big South),3.81,,,
UMass Lowell (America East),3.75,,,
Columbia (Ivy League),3.47,,,
Butler (Big East),3.33,,,
Elon (CAA),3.31,,,
Arizona St. (Pac-12),3.26,,,
George Washington (Atlantic 10),3.22,,,
Duquesne (Atlantic 10),3.19,,,
Xavier (Big East),3.14,,,
Canisius (MAAC),3.12,,,
FDU (NEC),3.08,,,
Louisville (ACC),2.94,,,
Presbyterian (Big South),2.76,,,
La Salle (Atlantic 10),2.67,,,
George Mason (Atlantic 10),2.53,,,
Akron (MAC),2.53,,,
Central Conn. St. (NEC),2.40,,,
Old Dominion (AAC),2.29,,,
Pittsburgh (ACC),2.24,,,
Delaware St. (ASUN),1.62,,,
