Team,draw_controls_per_game,,,
Richmond (Atlantic 10),18.71,,,
Marquette (Big East),17.79,,,
Notre Dame (ACC),17.48,,,
Loyola Maryland (Patriot),17.36,,,
UMBC (America East),17.14,,,
Duke (ACC),17.00,,,
Mercer (Big South),16.90,,,
UAlbany (America East),16.90,,,
Virginia (ACC),16.61,,,
Stanford (Pac-12),16.50,,,
Northwestern (Big Ten),16.32,,,
Maryland (Big Ten),16.05,,,
Army West Point (Patriot),16.00,,,
Boston U. (Patriot),16.00,,,
Syracuse (ACC),15.95,,,
Massachusetts (Atlantic 10),15.95,,,
Liberty (ASUN),15.58,,,
Jacksonville (ASUN),15.55,,,
Clemson (ACC),15.44,,,
Campbell (Big South),15.37,,,
Wofford (Big South),15.35,,,
Navy (Patriot),15.26,,,
Saint Francis (PA) (NEC),15.25,,,
Florida (AAC),15.14,,,
Stetson (ASUN),15.06,,,
Yale (Ivy League),15.06,,,
Delaware (CAA),15.00,,,
Furman (Big South),15.00,,,
Stony Brook (CAA),14.89,,,
Colgate (Patriot),14.87,,,
Penn (Ivy League),14.84,,,
Butler (Big East),14.73,,,
Dartmouth (Ivy League),14.73,,,
Davidson (Atlantic 10),14.72,,,
Virginia Tech (ACC),14.68,,,
Cornell (Ivy League),14.67,,,
Kent St. (MAC),14.67,,,
North Carolina (ACC),14.62,,,
Johns Hopkins (Big Ten),14.61,,,
Coastal Carolina (ASUN),14.58,,,
UConn (Big East),14.58,,,
Iona (MAAC),14.50,,,
Central Mich. (MAC),14.42,,,
Saint Joseph's (Atlantic 10),14.37,,,
Binghamton (America East),14.29,,,
Bucknell (Patriot),14.25,,,
Youngstown St. (MAC),14.22,,,
Boston College (ACC),14.22,,,
Brown (Ivy League),14.21,,,
Fairfield (MAAC),14.16,,,
Villanova (Big East),14.12,,,
Monmouth (CAA),14.06,,,
Bryant (America East),14.00,,,
Kennesaw St. (ASUN),14.00,,,
George Mason (Atlantic 10),13.93,,,
UC Davis (Independent),13.93,,,
Harvard (Ivy League),13.87,,,
Arizona St. (Pac-12),13.84,,,
Eastern Mich. (MAC),13.81,,,
James Madison (AAC),13.77,,,
Marist (MAAC),13.69,,,
Colorado (Pac-12),13.63,,,
Longwood (Big South),13.62,,,
Towson (CAA),13.61,,,
Xavier (Big East),13.57,,,
Lehigh (Patriot),13.50,,,
Cincinnati (AAC),13.44,,,
Princeton (Ivy League),13.44,,,
Denver (Big East),13.39,,,
Temple (AAC),13.38,,,
Robert Morris (MAC),13.37,,,
Holy Cross (Patriot),13.33,,,
Penn St. (Big Ten),13.17,,,
VCU (Atlantic 10),13.12,,,
California (Pac-12),13.00,,,
American (Patriot),12.81,,,
Canisius (MAAC),12.69,,,
Mount St. Mary's (MAAC),12.65,,,
Michigan (Big Ten),12.55,,,
Elon (CAA),12.50,,,
Gardner-Webb (Big South),12.41,,,
Georgetown (Big East),12.41,,,
Niagara (MAAC),12.26,,,
Vermont (America East),12.25,,,
Oregon (Pac-12),12.24,,,
High Point (Big South),12.22,,,
New Hampshire (America East),12.20,,,
Drexel (CAA),12.11,,,
Lafayette (Patriot),12.06,,,
Rutgers (Big Ten),12.06,,,
George Washington (Atlantic 10),12.06,,,
Sacred Heart (NEC),12.05,,,
Manhattan (MAAC),12.00,,,
Winthrop (Big South),11.94,,,
Hofstra (CAA),11.88,,,
Akron (MAC),11.76,,,
Duquesne (Atlantic 10),11.75,,,
William & Mary (CAA),11.75,,,
Southern California (Pac-12),11.70,,,
Delaware St. (ASUN),11.69,,,
East Carolina (AAC),11.61,,,
Radford (Big South),11.59,,,
Siena (MAAC),11.53,,,
Louisville (ACC),11.47,,,
Columbia (Ivy League),11.47,,,
Vanderbilt (AAC),11.47,,,
UMass Lowell (America East),11.44,,,
Central Conn. St. (NEC),11.33,,,
FDU (NEC),11.31,,,
LIU (NEC),11.18,,,
Wagner (NEC),11.18,,,
St. Bonaventure (Atlantic 10),11.17,,,
San Diego St. (MPSF),11.12,,,
Pittsburgh (ACC),11.00,,,
Ohio St. (Big Ten),10.94,,,
Detroit Mercy (MAC),10.86,,,
Quinnipiac (MAAC),10.83,,,
Old Dominion (AAC),10.06,,,
La Salle (Atlantic 10),9.47,,,
Presbyterian (Big South),8.53,,,
