Team,fouls_per_game,,,
Jacksonville (ASUN),3.50,,,
East Carolina (AAC),6.28,,,
Saint Francis (PA) (NEC),8.56,,,
St. Bonaventure (Atlantic 10),9.22,,,
Presbyterian (Big South),9.59,,,
American (Patriot),10.06,,,
New Hampshire (America East),10.87,,,
Bryant (America East),11.07,,,
Delaware St. (ASUN),11.12,,,
Army West Point (Patriot),11.74,,,
Central Mich. (MAC),12.11,,,
Butler (Big East),12.20,,,
Richmond (Atlantic 10),12.38,,,
Mercer (Big South),12.40,,,
Saint Joseph's (Atlantic 10),12.89,,,
Lafayette (Patriot),12.94,,,
Hofstra (CAA),13.06,,,
Howard (NEC),13.20,,,
Mount St. Mary's (MAAC),13.35,,,
UMBC (America East),13.64,,,
Temple (AAC),13.69,,,
George Washington (Atlantic 10),13.83,,,
La Salle (Atlantic 10),13.93,,,
North Carolina (ACC),14.05,,,
Akron (MAC),14.12,,,
Eastern Mich. (MAC),14.12,,,
UC Davis (Independent),14.29,,,
Colgate (Patriot),14.53,,,
Manhattan (MAAC),14.65,,,
Columbia (Ivy League),14.67,,,
Boston College (ACC),14.78,,,
Duquesne (Atlantic 10),14.88,,,
Coastal Carolina (ASUN),15.37,,,
Penn (Ivy League),15.42,,,
Radford (Big South),15.71,,,
Boston U. (Patriot),15.78,,,
Davidson (Atlantic 10),15.78,,,
Kent St. (MAC),15.78,,,
Brown (Ivy League),15.79,,,
Youngstown St. (MAC),16.00,,,
Lehigh (Patriot),16.06,,,
Cornell (Ivy League),16.27,,,
Penn St. (Big Ten),16.28,,,
Delaware (CAA),16.31,,,
Gardner-Webb (Big South),16.35,,,
FDU (NEC),16.54,,,
California (Pac-12),16.61,,,
Binghamton (America East),16.82,,,
George Mason (Atlantic 10),16.93,,,
UConn (Big East),17.11,,,
Wagner (NEC),17.35,,,
Niagara (MAAC),17.42,,,
Loyola Maryland (Patriot),17.45,,,
VCU (Atlantic 10),17.47,,,
Longwood (Big South),17.69,,,
Old Dominion (AAC),17.71,,,
Maryland (Big Ten),17.91,,,
Bucknell (Patriot),17.94,,,
Canisius (MAAC),17.94,,,
Michigan (Big Ten),18.05,,,
Furman (Big South),18.11,,,
Georgetown (Big East),18.18,,,
Kennesaw St. (ASUN),18.18,,,
Yale (Ivy League),18.53,,,
Winthrop (Big South),18.75,,,
Navy (Patriot),18.84,,,
Virginia Tech (ACC),18.84,,,
Elon (CAA),19.19,,,
Liberty (ASUN),19.26,,,
Drexel (CAA),19.28,,,
Sacred Heart (NEC),19.32,,,
Dartmouth (Ivy League),19.40,,,
UMass Lowell (America East),19.50,,,
Iona (MAAC),19.56,,,
Vermont (America East),19.75,,,
Wofford (Big South),19.82,,,
Stetson (ASUN),19.94,,,
Marist (MAAC),20.06,,,
Harvard (Ivy League),20.07,,,
Campbell (Big South),20.11,,,
Louisville (ACC),20.12,,,
Fairfield (MAAC),20.21,,,
Siena (MAAC),20.32,,,
Vanderbilt (AAC),20.33,,,
Stony Brook (CAA),20.42,,,
Duke (ACC),20.44,,,
High Point (Big South),20.56,,,
LIU (NEC),20.76,,,
Central Conn. St. (NEC),20.87,,,
Villanova (Big East),21.12,,,
Robert Morris (MAC),21.37,,,
Princeton (Ivy League),21.56,,,
Stanford (Pac-12),21.72,,,
Towson (CAA),21.83,,,
Holy Cross (Patriot),22.06,,,
Marquette (Big East),22.11,,,
William & Mary (CAA),22.38,,,
Northwestern (Big Ten),22.45,,,
Clemson (ACC),22.50,,,
Florida (AAC),22.52,,,
Xavier (Big East),22.57,,,
San Diego St. (MPSF),22.69,,,
Rutgers (Big Ten),22.94,,,
Massachusetts (Atlantic 10),23.00,,,
Virginia (ACC),23.00,,,
James Madison (AAC),23.32,,,
Detroit Mercy (MAC),23.43,,,
Monmouth (CAA),23.59,,,
Quinnipiac (MAAC),23.83,,,
Colorado (Pac-12),23.84,,,
Arizona St. (Pac-12),23.89,,,
Pittsburgh (ACC),23.94,,,
Cincinnati (AAC),24.33,,,
Denver (Big East),25.04,,,
Oregon (Pac-12),26.00,,,
Ohio St. (Big Ten),26.29,,,
Syracuse (ACC),26.57,,,
Notre Dame (ACC),27.24,,,
UAlbany (America East),29.50,,,
Southern California (Pac-12),30.00,,,
