Team,free_position_pctg,,,,
UAlbany (America East),0.56,,,,
Virginia Tech (ACC),0.548,,,,
James Madison (AAC),0.541,,,,
Vermont (America East),0.541,,,,
Cornell (Ivy League),0.538,,,,
Clemson (ACC),0.529,,,,
Jacksonville (ASUN),0.529,,,,
Bucknell (Patriot),0.527,,,,
Youngstown St. (MAC),0.525,,,,
Mercer (Big South),0.518,,,,
VCU (Atlantic 10),0.517,,,,
Notre Dame (ACC),0.514,,,,
Xavier (Big East),0.508,,,,
Virginia (ACC),0.505,,,,
Penn (Ivy League),0.505,,,,
Butler (Big East),0.5,,,,
Denver (Big East),0.5,,,,
Duquesne (Atlantic 10),0.5,,,,
UC Davis (Independent),0.5,,,,
Stanford (Pac-12),0.496,,,,
Iona (MAAC),0.491,,,,
Ohio St. (Big Ten),0.491,,,,
Delaware (CAA),0.486,,,,
Richmond (Atlantic 10),0.484,,,,
Saint Francis (PA) (NEC),0.482,,,,
Colorado (Pac-12),0.481,,,,
FDU (NEC),0.48,,,,
San Diego St. (MPSF),0.479,,,,
Siena (MAAC),0.479,,,,
Brown (Ivy League),0.478,,,,
Syracuse (ACC),0.474,,,,
Davidson (Atlantic 10),0.472,,,,
Drexel (CAA),0.469,,,,
Elon (CAA),0.469,,,,
Canisius (MAAC),0.467,,,,
Navy (Patriot),0.467,,,,
American (Patriot),0.463,,,,
Duke (ACC),0.462,,,,
Fairfield (MAAC),0.462,,,,
Marquette (Big East),0.462,,,,
Liberty (ASUN),0.46,,,,
Army West Point (Patriot),0.458,,,,
UMBC (America East),0.457,,,,
Arizona St. (Pac-12),0.456,,,,
Maryland (Big Ten),0.451,,,,
Kent St. (MAC),0.448,,,,
Dartmouth (Ivy League),0.447,,,,
Loyola Maryland (Patriot),0.445,,,,
St. Bonaventure (Atlantic 10),0.443,,,,
Boston College (ACC),0.442,,,,
Georgetown (Big East),0.441,,,,
Michigan (Big Ten),0.441,,,,
Lehigh (Patriot),0.44,,,,
Northwestern (Big Ten),0.44,,,,
East Carolina (AAC),0.44,,,,
Monmouth (CAA),0.44,,,,
Campbell (Big South),0.438,,,,
Louisville (ACC),0.436,,,,
Florida (AAC),0.436,,,,
La Salle (Atlantic 10),0.434,,,,
Penn St. (Big Ten),0.433,,,,
Boston U. (Patriot),0.43,,,,
Eastern Mich. (MAC),0.43,,,,
Massachusetts (Atlantic 10),0.429,,,,
New Hampshire (America East),0.429,,,,
Saint Joseph's (Atlantic 10),0.429,,,,
Central Mich. (MAC),0.424,,,,
Mount St. Mary's (MAAC),0.423,,,,
Holy Cross (Patriot),0.422,,,,
Delaware St. (ASUN),0.421,,,,
Quinnipiac (MAAC),0.421,,,,
Gardner-Webb (Big South),0.42,,,,
Towson (CAA),0.414,,,,
UConn (Big East),0.414,,,,
Harvard (Ivy League),0.414,,,,
Cincinnati (AAC),0.412,,,,
Southern California (Pac-12),0.412,,,,
Niagara (MAAC),0.411,,,,
Robert Morris (MAC),0.409,,,,
Hofstra (CAA),0.407,,,,
Pittsburgh (ACC),0.407,,,,
Radford (Big South),0.406,,,,
Princeton (Ivy League),0.4,,,,
Binghamton (America East),0.398,,,,
Longwood (Big South),0.397,,,,
Akron (MAC),0.396,,,,
Yale (Ivy League),0.39,,,,
LIU (NEC),0.389,,,,
UMass Lowell (America East),0.388,,,,
North Carolina (ACC),0.387,,,,
Bryant (America East),0.385,,,,
Wofford (Big South),0.385,,,,
Columbia (Ivy League),0.383,,,,
Stony Brook (CAA),0.382,,,,
Presbyterian (Big South),0.382,,,,
Wagner (NEC),0.381,,,,
Coastal Carolina (ASUN),0.377,,,,
Vanderbilt (AAC),0.372,,,,
Rutgers (Big Ten),0.368,,,,
Furman (Big South),0.364,,,,
George Washington (Atlantic 10),0.364,,,,
Stetson (ASUN),0.364,,,,
William & Mary (CAA),0.355,,,,
California (Pac-12),0.355,,,,
Lafayette (Patriot),0.353,,,,
Marist (MAAC),0.353,,,,
Detroit Mercy (MAC),0.351,,,,
Winthrop (Big South),0.351,,,,
Villanova (Big East),0.345,,,,
Sacred Heart (NEC),0.345,,,,
George Mason (Atlantic 10),0.344,,,,
Kennesaw St. (ASUN),0.341,,,,
High Point (Big South),0.34,,,,
Manhattan (MAAC),0.338,,,,
Old Dominion (AAC),0.333,,,,
Johns Hopkins (Big Ten),0.33,,,,
Temple (AAC),0.329,,,,
Oregon (Pac-12),0.326,,,,
Central Conn. St. (NEC),0.317,,,,
Colgate (Patriot),0.313,,,,
