Team,goals_allowed_per_game,,,
Denver (Big East),6.22,,,
Loyola Maryland (Patriot),7.09,,,
James Madison (AAC),7.86,,,
Stony Brook (CAA),7.89,,,
Southern California (Pac-12),8.00,,,
North Carolina (ACC),8.43,,,
Fairfield (MAAC),8.53,,,
Clemson (ACC),8.72,,,
Northwestern (Big Ten),8.91,,,
Wagner (NEC),8.94,,,
Massachusetts (Atlantic 10),8.95,,,
Boston College (ACC),9.17,,,
Drexel (CAA),9.28,,,
Jacksonville (ASUN),9.30,,,
Sacred Heart (NEC),9.32,,,
Florida (AAC),9.33,,,
Michigan (Big Ten),9.35,,,
Mercer (Big South),9.40,,,
Notre Dame (ACC),9.43,,,
Maryland (Big Ten),9.55,,,
East Carolina (AAC),9.56,,,
Syracuse (ACC),9.57,,,
Yale (Ivy League),9.88,,,
Penn St. (Big Ten),9.89,,,
Canisius (MAAC),10.00,,,
LIU (NEC),10.00,,,
Penn (Ivy League),10.05,,,
Virginia Tech (ACC),10.16,,,
Vermont (America East),10.19,,,
Quinnipiac (MAAC),10.28,,,
Temple (AAC),10.31,,,
Liberty (ASUN),10.42,,,
Richmond (Atlantic 10),10.43,,,
Davidson (Atlantic 10),10.50,,,
Army West Point (Patriot),10.53,,,
Niagara (MAAC),10.63,,,
Coastal Carolina (ASUN),10.74,,,
Navy (Patriot),10.74,,,
Villanova (Big East),10.82,,,
Binghamton (America East),10.94,,,
Campbell (Big South),10.95,,,
Harvard (Ivy League),11.07,,,
Lehigh (Patriot),11.11,,,
Mount St. Mary's (MAAC),11.18,,,
Saint Francis (PA) (NEC),11.19,,,
Colorado (Pac-12),11.21,,,
Towson (CAA),11.33,,,
Georgetown (Big East),11.35,,,
UMBC (America East),11.36,,,
Cincinnati (AAC),11.39,,,
Rutgers (Big Ten),11.41,,,
Saint Joseph's (Atlantic 10),11.42,,,
Duke (ACC),11.56,,,
Central Mich. (MAC),11.58,,,
VCU (Atlantic 10),11.59,,,
Siena (MAAC),11.68,,,
UConn (Big East),11.68,,,
Manhattan (MAAC),11.71,,,
Delaware (CAA),11.75,,,
Marquette (Big East),11.95,,,
Hofstra (CAA),12.06,,,
San Diego St. (MPSF),12.06,,,
Ohio St. (Big Ten),12.12,,,
Boston U. (Patriot),12.17,,,
Johns Hopkins (Big Ten),12.22,,,
Dartmouth (Ivy League),12.33,,,
Stanford (Pac-12),12.44,,,
Robert Morris (MAC),12.47,,,
Arizona St. (Pac-12),12.53,,,
Kent St. (MAC),12.56,,,
UC Davis (Independent),12.57,,,
Cornell (Ivy League),12.60,,,
Oregon (Pac-12),12.76,,,
Old Dominion (AAC),12.82,,,
Iona (MAAC),12.94,,,
Monmouth (CAA),13.06,,,
New Hampshire (America East),13.13,,,
Brown (Ivy League),13.21,,,
California (Pac-12),13.22,,,
Kennesaw St. (ASUN),13.24,,,
Virginia (ACC),13.33,,,
Furman (Big South),13.50,,,
Presbyterian (Big South),13.53,,,
UMass Lowell (America East),13.56,,,
William & Mary (CAA),13.56,,,
Princeton (Ivy League),13.69,,,
Louisville (ACC),13.71,,,
Bryant (America East),13.79,,,
Akron (MAC),13.82,,,
Radford (Big South),13.82,,,
George Washington (Atlantic 10),13.83,,,
Elon (CAA),13.88,,,
Delaware St. (ASUN),14.00,,,
UAlbany (America East),14.05,,,
American (Patriot),14.06,,,
Bucknell (Patriot),14.06,,,
Pittsburgh (ACC),14.12,,,
Lafayette (Patriot),14.29,,,
Central Conn. St. (NEC),14.33,,,
High Point (Big South),14.33,,,
Columbia (Ivy League),14.40,,,
Vanderbilt (AAC),14.40,,,
Youngstown St. (MAC),14.44,,,
St. Bonaventure (Atlantic 10),14.50,,,
Colgate (Patriot),14.60,,,
Stetson (ASUN),14.76,,,
Holy Cross (Patriot),14.78,,,
Detroit Mercy (MAC),15.07,,,
George Mason (Atlantic 10),15.20,,,
Eastern Mich. (MAC),15.25,,,
Longwood (Big South),15.25,,,
Winthrop (Big South),15.56,,,
La Salle (Atlantic 10),15.60,,,
Butler (Big East),15.93,,,
Marist (MAAC),16.06,,,
Wofford (Big South),16.41,,,
FDU (NEC),16.69,,,
Gardner-Webb (Big South),17.00,,,
Duquesne (Atlantic 10),17.06,,,
Xavier (Big East),17.57,,,
