Team,goals_per_game,,,
Northwestern (Big Ten),16.95,,,
Richmond (Atlantic 10),16.52,,,
Mercer (Big South),16.40,,,
Syracuse (ACC),16.05,,,
Marquette (Big East),15.95,,,
Clemson (ACC),15.56,,,
Massachusetts (Atlantic 10),15.47,,,
Notre Dame (ACC),15.43,,,
Coastal Carolina (ASUN),15.26,,,
Loyola Maryland (Patriot),14.86,,,
Florida (AAC),14.86,,,
Virginia (ACC),14.83,,,
Navy (Patriot),14.79,,,
Stony Brook (CAA),14.79,,,
UC Davis (Independent),14.71,,,
Stanford (Pac-12),14.56,,,
Army West Point (Patriot),14.32,,,
Liberty (ASUN),14.26,,,
Boston College (ACC),14.22,,,
Campbell (Big South),14.16,,,
Penn (Ivy League),14.11,,,
North Carolina (ACC),14.10,,,
UConn (Big East),14.05,,,
Jacksonville (ASUN),14.05,,,
UAlbany (America East),13.95,,,
Princeton (Ivy League),13.94,,,
UMBC (America East),13.86,,,
Bryant (America East),13.64,,,
Duke (ACC),13.50,,,
Davidson (Atlantic 10),13.44,,,
Fairfield (MAAC),13.42,,,
Stetson (ASUN),13.41,,,
James Madison (AAC),13.36,,,
Central Mich. (MAC),13.32,,,
Saint Francis (PA) (NEC),13.25,,,
Yale (Ivy League),13.18,,,
Colorado (Pac-12),13.16,,,
Bucknell (Patriot),13.06,,,
Binghamton (America East),13.06,,,
Iona (MAAC),12.94,,,
Saint Joseph's (Atlantic 10),12.89,,,
Cornell (Ivy League),12.87,,,
Maryland (Big Ten),12.86,,,
Kent St. (MAC),12.78,,,
Lehigh (Patriot),12.72,,,
Cincinnati (AAC),12.67,,,
Johns Hopkins (Big Ten),12.56,,,
Niagara (MAAC),12.47,,,
Virginia Tech (ACC),12.42,,,
Boston U. (Patriot),12.39,,,
Furman (Big South),12.39,,,
Southern California (Pac-12),12.35,,,
Youngstown St. (MAC),12.33,,,
Monmouth (CAA),12.29,,,
Harvard (Ivy League),12.13,,,
American (Patriot),12.12,,,
VCU (Atlantic 10),12.06,,,
East Carolina (AAC),12.00,,,
Holy Cross (Patriot),12.00,,,
Denver (Big East),11.91,,,
Villanova (Big East),11.88,,,
Towson (CAA),11.83,,,
Vermont (America East),11.75,,,
Georgetown (Big East),11.71,,,
Penn St. (Big Ten),11.67,,,
New Hampshire (America East),11.67,,,
Michigan (Big Ten),11.60,,,
High Point (Big South),11.56,,,
Drexel (CAA),11.33,,,
Robert Morris (MAC),11.32,,,
Quinnipiac (MAAC),11.22,,,
Siena (MAAC),11.21,,,
Dartmouth (Ivy League),11.20,,,
St. Bonaventure (Atlantic 10),11.06,,,
Sacred Heart (NEC),10.95,,,
Brown (Ivy League),10.93,,,
Temple (AAC),10.88,,,
Gardner-Webb (Big South),10.82,,,
Wagner (NEC),10.82,,,
Canisius (MAAC),10.81,,,
Duquesne (Atlantic 10),10.81,,,
Hofstra (CAA),10.75,,,
Delaware (CAA),10.69,,,
Oregon (Pac-12),10.65,,,
Wofford (Big South),10.65,,,
Elon (CAA),10.62,,,
Arizona St. (Pac-12),10.47,,,
Kennesaw St. (ASUN),10.47,,,
Butler (Big East),10.40,,,
Longwood (Big South),10.38,,,
George Washington (Atlantic 10),10.28,,,
UMass Lowell (America East),10.12,,,
William & Mary (CAA),10.06,,,
Rutgers (Big Ten),10.06,,,
Ohio St. (Big Ten),10.00,,,
Colgate (Patriot),10.00,,,
LIU (NEC),9.94,,,
Detroit Mercy (MAC),9.79,,,
California (Pac-12),9.78,,,
Xavier (Big East),9.71,,,
Marist (MAAC),9.69,,,
Louisville (ACC),9.65,,,
Mount St. Mary's (MAAC),9.65,,,
San Diego St. (MPSF),9.62,,,
Vanderbilt (AAC),9.53,,,
Radford (Big South),9.24,,,
Eastern Mich. (MAC),9.06,,,
Winthrop (Big South),9.06,,,
Lafayette (Patriot),9.00,,,
Manhattan (MAAC),8.82,,,
Presbyterian (Big South),8.76,,,
Columbia (Ivy League),8.67,,,
Pittsburgh (ACC),8.47,,,
Akron (MAC),8.35,,,
George Mason (Atlantic 10),8.27,,,
FDU (NEC),8.08,,,
Central Conn. St. (NEC),8.00,,,
Old Dominion (AAC),7.88,,,
Delaware St. (ASUN),7.62,,,
La Salle (Atlantic 10),7.00,,,
