Team,shot_pctg,,,,
Clemson (ACC),0.508,,,,
Syracuse (ACC),0.497,,,,
Florida (AAC),0.497,,,,
Mercer (Big South),0.492,,,,
American (Patriot),0.49,,,,
UAlbany (America East),0.489,,,,
St. Bonaventure (Atlantic 10),0.483,,,,
Loyola Maryland (Patriot),0.482,,,,
Massachusetts (Atlantic 10),0.479,,,,
Stanford (Pac-12),0.47,,,,
Navy (Patriot),0.469,,,,
East Carolina (AAC),0.468,,,,
Northwestern (Big Ten),0.467,,,,
UC Davis (Independent),0.466,,,,
Virginia (ACC),0.464,,,,
Youngstown St. (MAC),0.463,,,,
Richmond (Atlantic 10),0.461,,,,
Davidson (Atlantic 10),0.461,,,,
Boston College (ACC),0.46,,,,
Campbell (Big South),0.46,,,,
North Carolina (ACC),0.46,,,,
Saint Francis (PA) (NEC),0.458,,,,
Stony Brook (CAA),0.458,,,,
Notre Dame (ACC),0.458,,,,
Central Mich. (MAC),0.455,,,,
Kent St. (MAC),0.454,,,,
New Hampshire (America East),0.453,,,,
Coastal Carolina (ASUN),0.45,,,,
Boston U. (Patriot),0.448,,,,
Marquette (Big East),0.448,,,,
Duquesne (Atlantic 10),0.447,,,,
Virginia Tech (ACC),0.447,,,,
Michigan (Big Ten),0.441,,,,
Gardner-Webb (Big South),0.439,,,,
Saint Joseph's (Atlantic 10),0.438,,,,
Butler (Big East),0.438,,,,
James Madison (AAC),0.438,,,,
Liberty (ASUN),0.436,,,,
Duke (ACC),0.436,,,,
Siena (MAAC),0.436,,,,
George Washington (Atlantic 10),0.435,,,,
Xavier (Big East),0.435,,,,
UConn (Big East),0.434,,,,
Lehigh (Patriot),0.434,,,,
Penn (Ivy League),0.432,,,,
Bucknell (Patriot),0.43,,,,
Brown (Ivy League),0.43,,,,
Princeton (Ivy League),0.43,,,,
Southern California (Pac-12),0.43,,,,
Cincinnati (AAC),0.429,,,,
Bryant (America East),0.429,,,,
Binghamton (America East),0.429,,,,
Army West Point (Patriot),0.428,,,,
Kennesaw St. (ASUN),0.428,,,,
Iona (MAAC),0.428,,,,
Yale (Ivy League),0.427,,,,
Holy Cross (Patriot),0.427,,,,
Dartmouth (Ivy League),0.425,,,,
Villanova (Big East),0.425,,,,
Ohio St. (Big Ten),0.425,,,,
Colorado (Pac-12),0.424,,,,
Vermont (America East),0.424,,,,
UMass Lowell (America East),0.423,,,,
Fairfield (MAAC),0.423,,,,
VCU (Atlantic 10),0.423,,,,
Maryland (Big Ten),0.422,,,,
UMBC (America East),0.422,,,,
Quinnipiac (MAAC),0.42,,,,
Furman (Big South),0.419,,,,
Elon (CAA),0.419,,,,
Denver (Big East),0.418,,,,
Drexel (CAA),0.418,,,,
Monmouth (CAA),0.415,,,,
Johns Hopkins (Big Ten),0.415,,,,
Arizona St. (Pac-12),0.413,,,,
High Point (Big South),0.411,,,,
Jacksonville (ASUN),0.411,,,,
Winthrop (Big South),0.41,,,,
Harvard (Ivy League),0.408,,,,
Wagner (NEC),0.408,,,,
Niagara (MAAC),0.406,,,,
Cornell (Ivy League),0.405,,,,
Canisius (MAAC),0.404,,,,
Rutgers (Big Ten),0.403,,,,
Mount St. Mary's (MAAC),0.4,,,,
Stetson (ASUN),0.4,,,,
Radford (Big South),0.399,,,,
Oregon (Pac-12),0.399,,,,
Marist (MAAC),0.396,,,,
Louisville (ACC),0.394,,,,
Robert Morris (MAC),0.392,,,,
Delaware (CAA),0.39,,,,
FDU (NEC),0.39,,,,
California (Pac-12),0.39,,,,
Wofford (Big South),0.39,,,,
San Diego St. (MPSF),0.39,,,,
Hofstra (CAA),0.388,,,,
Vanderbilt (AAC),0.388,,,,
Longwood (Big South),0.386,,,,
Temple (AAC),0.386,,,,
William & Mary (CAA),0.384,,,,
Georgetown (Big East),0.383,,,,
Detroit Mercy (MAC),0.383,,,,
Eastern Mich. (MAC),0.383,,,,
Towson (CAA),0.382,,,,
Penn St. (Big Ten),0.374,,,,
Sacred Heart (NEC),0.373,,,,
Pittsburgh (ACC),0.371,,,,
Presbyterian (Big South),0.369,,,,
Manhattan (MAAC),0.364,,,,
George Mason (Atlantic 10),0.364,,,,
Colgate (Patriot),0.363,,,,
LIU (NEC),0.354,,,,
Akron (MAC),0.352,,,,
Columbia (Ivy League),0.349,,,,
Central Conn. St. (NEC),0.347,,,,
Old Dominion (AAC),0.346,,,,
La Salle (Atlantic 10),0.345,,,,
Lafayette (Patriot),0.341,,,,
Delaware St. (ASUN),0.338,,,,
