Team,sog_per_game,,,
Mercer (Big South),26.75,,,
Marquette (Big East),26.26,,,
Northwestern (Big Ten),26.00,,,
Notre Dame (ACC),25.76,,,
Stetson (ASUN),25.35,,,
Coastal Carolina (ASUN),25.16,,,
Richmond (Atlantic 10),25.10,,,
Stony Brook (CAA),24.79,,,
Penn (Ivy League),24.74,,,
Jacksonville (ASUN),24.65,,,
Massachusetts (Atlantic 10),24.63,,,
Navy (Patriot),24.16,,,
UC Davis (Independent),24.00,,,
Syracuse (ACC),23.95,,,
Liberty (ASUN),23.89,,,
UConn (Big East),23.89,,,
Virginia (ACC),23.78,,,
Saint Francis (PA) (NEC),23.75,,,
Florida (AAC),23.62,,,
UMBC (America East),23.57,,,
Colorado (Pac-12),23.47,,,
Clemson (ACC),23.39,,,
Stanford (Pac-12),23.28,,,
Campbell (Big South),23.26,,,
Fairfield (MAAC),23.26,,,
Bryant (America East),23.14,,,
Army West Point (Patriot),23.11,,,
Loyola Maryland (Patriot),23.09,,,
Princeton (Ivy League),23.06,,,
Bucknell (Patriot),22.88,,,
Maryland (Big Ten),22.82,,,
Davidson (Atlantic 10),22.44,,,
Penn St. (Big Ten),22.44,,,
Georgetown (Big East),22.41,,,
UAlbany (America East),22.35,,,
North Carolina (ACC),22.33,,,
James Madison (AAC),22.32,,,
Binghamton (America East),22.29,,,
Yale (Ivy League),22.29,,,
Central Mich. (MAC),22.26,,,
Harvard (Ivy League),22.20,,,
Niagara (MAAC),22.05,,,
Denver (Big East),21.96,,,
Boston College (ACC),21.91,,,
Robert Morris (MAC),21.84,,,
Iona (MAAC),21.75,,,
Cincinnati (AAC),21.72,,,
Towson (CAA),21.72,,,
Cornell (Ivy League),21.67,,,
Duke (ACC),21.67,,,
Johns Hopkins (Big Ten),21.56,,,
Lehigh (Patriot),21.44,,,
Youngstown St. (MAC),21.39,,,
Saint Joseph's (Atlantic 10),21.37,,,
Boston U. (Patriot),21.28,,,
VCU (Atlantic 10),21.12,,,
Virginia Tech (ACC),21.00,,,
Drexel (CAA),20.94,,,
Sacred Heart (NEC),20.84,,,
Monmouth (CAA),20.76,,,
Southern California (Pac-12),20.75,,,
Temple (AAC),20.75,,,
Furman (Big South),20.61,,,
High Point (Big South),20.56,,,
Vermont (America East),20.44,,,
Colgate (Patriot),20.40,,,
American (Patriot),20.38,,,
Kent St. (MAC),20.33,,,
LIU (NEC),20.24,,,
Wagner (NEC),20.24,,,
Holy Cross (Patriot),20.22,,,
Michigan (Big Ten),20.20,,,
Longwood (Big South),20.06,,,
Hofstra (CAA),20.00,,,
Oregon (Pac-12),19.88,,,
New Hampshire (America East),19.73,,,
Detroit Mercy (MAC),19.64,,,
Villanova (Big East),19.53,,,
East Carolina (AAC),19.44,,,
Canisius (MAAC),19.38,,,
San Diego St. (MPSF),19.38,,,
Wofford (Big South),19.35,,,
Dartmouth (Ivy League),19.27,,,
Delaware (CAA),19.12,,,
Lafayette (Patriot),19.12,,,
St. Bonaventure (Atlantic 10),19.06,,,
Arizona St. (Pac-12),18.95,,,
California (Pac-12),18.83,,,
William & Mary (CAA),18.81,,,
Elon (CAA),18.75,,,
Marist (MAAC),18.75,,,
Quinnipiac (MAAC),18.72,,,
Butler (Big East),18.67,,,
UMass Lowell (America East),18.62,,,
Akron (MAC),18.35,,,
Brown (Ivy League),18.29,,,
Vanderbilt (AAC),18.20,,,
Kennesaw St. (ASUN),18.18,,,
Siena (MAAC),18.16,,,
Rutgers (Big Ten),18.06,,,
Duquesne (Atlantic 10),18.00,,,
Eastern Mich. (MAC),17.88,,,
George Washington (Atlantic 10),17.83,,,
Louisville (ACC),17.65,,,
Mount St. Mary's (MAAC),17.53,,,
Manhattan (MAAC),17.47,,,
Gardner-Webb (Big South),17.35,,,
Central Conn. St. (NEC),17.00,,,
Presbyterian (Big South),17.00,,,
Ohio St. (Big Ten),16.94,,,
Xavier (Big East),16.79,,,
Radford (Big South),16.47,,,
Columbia (Ivy League),16.33,,,
Old Dominion (AAC),16.29,,,
Winthrop (Big South),16.25,,,
George Mason (Atlantic 10),16.20,,,
Delaware St. (ASUN),15.94,,,
Pittsburgh (ACC),15.53,,,
FDU (NEC),15.23,,,
La Salle (Atlantic 10),14.87,,,
