Team,turnovers_per_game,,,
North Carolina (ACC),10.14,,,
Stony Brook (CAA),10.42,,,
Virginia (ACC),11.22,,,
Niagara (MAAC),11.47,,,
Florida (AAC),11.86,,,
UC Davis (Independent),11.86,,,
Siena (MAAC),11.89,,,
Notre Dame (ACC),11.95,,,
East Carolina (AAC),12.17,,,
Binghamton (America East),12.18,,,
Princeton (Ivy League),12.31,,,
New Hampshire (America East),12.33,,,
Massachusetts (Atlantic 10),12.42,,,
James Madison (AAC),12.50,,,
Colorado (Pac-12),12.53,,,
Penn (Ivy League),12.68,,,
Syracuse (ACC),12.71,,,
Loyola Maryland (Patriot),12.77,,,
Maryland (Big Ten),12.82,,,
Coastal Carolina (ASUN),12.95,,,
Army West Point (Patriot),13.00,,,
UMBC (America East),13.07,,,
Yale (Ivy League),13.12,,,
Northwestern (Big Ten),13.14,,,
Clemson (ACC),13.17,,,
Central Mich. (MAC),13.32,,,
Lehigh (Patriot),13.39,,,
Saint Joseph's (Atlantic 10),13.42,,,
Penn St. (Big Ten),13.44,,,
Stanford (Pac-12),13.44,,,
Oregon (Pac-12),13.47,,,
Robert Morris (MAC),13.47,,,
Temple (AAC),13.50,,,
Mercer (Big South),13.55,,,
Boston College (ACC),13.70,,,
Arizona St. (Pac-12),13.74,,,
Southern California (Pac-12),13.80,,,
Sacred Heart (NEC),13.84,,,
Richmond (Atlantic 10),13.86,,,
California (Pac-12),14.06,,,
Bryant (America East),14.07,,,
Navy (Patriot),14.16,,,
Virginia Tech (ACC),14.16,,,
Towson (CAA),14.17,,,
Denver (Big East),14.17,,,
Hofstra (CAA),14.19,,,
Drexel (CAA),14.28,,,
Michigan (Big Ten),14.30,,,
Jacksonville (ASUN),14.40,,,
Boston U. (Patriot),14.44,,,
George Washington (Atlantic 10),14.50,,,
Cornell (Ivy League),14.53,,,
Bucknell (Patriot),14.56,,,
San Diego St. (MPSF),14.62,,,
UConn (Big East),14.68,,,
Elon (CAA),14.75,,,
Presbyterian (Big South),14.82,,,
Georgetown (Big East),14.88,,,
Stetson (ASUN),14.94,,,
Duke (ACC),15.06,,,
Brown (Ivy League),15.07,,,
UAlbany (America East),15.15,,,
Dartmouth (Ivy League),15.20,,,
Colgate (Patriot),15.27,,,
American (Patriot),15.31,,,
UMass Lowell (America East),15.31,,,
Harvard (Ivy League),15.33,,,
LIU (NEC),15.35,,,
St. Bonaventure (Atlantic 10),15.39,,,
George Mason (Atlantic 10),15.40,,,
Louisville (ACC),15.41,,,
Canisius (MAAC),15.44,,,
High Point (Big South),15.44,,,
Youngstown St. (MAC),15.44,,,
Columbia (Ivy League),15.47,,,
Saint Francis (PA) (NEC),15.50,,,
Marquette (Big East),15.63,,,
Quinnipiac (MAAC),15.67,,,
Furman (Big South),15.78,,,
Pittsburgh (ACC),15.82,,,
Holy Cross (Patriot),15.83,,,
Detroit Mercy (MAC),15.86,,,
VCU (Atlantic 10),15.88,,,
Vanderbilt (AAC),15.93,,,
Cincinnati (AAC),16.11,,,
Davidson (Atlantic 10),16.22,,,
Ohio St. (Big Ten),16.24,,,
Vermont (America East),16.31,,,
Delaware St. (ASUN),16.44,,,
William & Mary (CAA),16.50,,,
Lafayette (Patriot),16.53,,,
Marist (MAAC),16.62,,,
Central Conn. St. (NEC),16.73,,,
Campbell (Big South),17.05,,,
Fairfield (MAAC),17.05,,,
Duquesne (Atlantic 10),17.12,,,
Eastern Mich. (MAC),17.19,,,
Manhattan (MAAC),17.24,,,
Johns Hopkins (Big Ten),17.28,,,
Rutgers (Big Ten),17.41,,,
Wagner (NEC),17.41,,,
Gardner-Webb (Big South),17.53,,,
La Salle (Atlantic 10),17.53,,,
Monmouth (CAA),17.65,,,
Kent St. (MAC),17.78,,,
Iona (MAAC),17.88,,,
Liberty (ASUN),17.89,,,
Villanova (Big East),17.94,,,
Longwood (Big South),18.12,,,
Akron (MAC),18.35,,,
Winthrop (Big South),18.56,,,
Xavier (Big East),18.64,,,
Mount St. Mary's (MAAC),18.65,,,
Wofford (Big South),18.65,,,
FDU (NEC),18.69,,,
Butler (Big East),18.93,,,
Delaware (CAA),19.19,,,
Howard (NEC),19.20,,,
Radford (Big South),19.35,,,
Kennesaw St. (ASUN),19.53,,,
Old Dominion (AAC),19.53,,,
