"","Player1","Player2","Opponent1","Opponent2","Rank","Year","Gender","Category","Matches","Wins","Losses","Points For","Points Against","Difference","win_pct","total_pts","shot_pct"
"1","Se Young AN",NA,"TAI Tzu Ying",NA,1,2023,"Women","Singles",7,6,1,328,271,57,0.857142857142857,599,0.547579298831386
"2","HAN Yue",NA,"ZHANG Yiman",NA,2,2023,"Women","Singles",6,4,2,294,281,13,0.666666666666667,575,0.511304347826087
"3","CHEN Yufei",NA,"Se Young AN",NA,3,2023,"Women","Singles",6,2,4,288,288,0,0.333333333333333,576,0.5
"4","Se Young AN",NA,"CHEN Yufei",NA,3,2023,"Women","Singles",6,4,2,288,288,0,0.666666666666667,576,0.5
"5","CHEN Yufei",NA,"Carolina MARIN",NA,5,2023,"Women","Singles",6,4,2,264,238,26,0.666666666666667,502,0.525896414342629
"6","Carolina MARIN",NA,"TAI Tzu Ying",NA,6,2023,"Women","Singles",5,3,2,255,221,34,0.6,476,0.535714285714286
"7","Se Young AN",NA,"HE Bingjiao",NA,7,2023,"Women","Singles",5,5,0,240,183,57,1,423,0.567375886524823
"8","Se Young AN",NA,"WANG Zhiyi",NA,8,2023,"Women","Singles",5,4,1,223,215,8,0.8,438,0.509132420091324
"9","Kirsty GILMOUR",NA,"Yvonne LI",NA,9,2023,"Women","Singles",5,3,2,222,198,24,0.6,420,0.528571428571429
"10","Gregoria Mariska TUNJUNG",NA,"PUSARLA V. Sindhu",NA,10,2023,"Women","Singles",5,2,3,221,203,18,0.4,424,0.52122641509434
"11","Se Young AN",NA,"Akane YAMAGUCHI",NA,11,2023,"Women","Singles",5,3,2,217,204,13,0.6,421,0.515439429928741
"12","Line Højmark KJAERSFELDT",NA,"Yvonne LI",NA,12,2023,"Women","Singles",4,4,0,204,155,49,1,359,0.568245125348189
"13","CHEN Yufei",NA,"HAN Yue",NA,13,2023,"Women","Singles",4,4,0,202,147,55,1,349,0.578796561604584
"14","Akane YAMAGUCHI",NA,"Gregoria Mariska TUNJUNG",NA,14,2023,"Women","Singles",4,3,1,199,171,28,0.75,370,0.537837837837838
"15","HAN Yue",NA,"YEO Jia Min",NA,14,2023,"Women","Singles",4,4,0,199,152,47,1,351,0.566951566951567
"16","CHEN Yufei",NA,"HE Bingjiao",NA,16,2023,"Women","Singles",4,4,0,192,152,40,1,344,0.558139534883721
"17","Akane YAMAGUCHI",NA,"CHEN Yufei",NA,17,2023,"Women","Singles",4,3,1,188,176,12,0.75,364,0.516483516483517
"18","WANG Zhiyi",NA,"ZHANG Yiman",NA,18,2023,"Women","Singles",4,2,2,186,167,19,0.5,353,0.526912181303116
"19","CHEN Yufei",NA,"WANG Zhiyi",NA,19,2023,"Women","Singles",4,4,0,182,152,30,1,334,0.544910179640719
"20","TAI Tzu Ying",NA,"Supanida KATETHONG",NA,20,2023,"Women","Singles",4,4,0,178,141,37,1,319,0.557993730407524
"21","TAI Tzu Ying",NA,"ZHANG Yiman",NA,21,2023,"Women","Singles",4,3,1,174,125,49,0.75,299,0.581939799331104
"22","WANG Zhiyi",NA,"Saena KAWAKAMI",NA,22,2023,"Women","Singles",4,4,0,170,109,61,1,279,0.609318996415771
"23","Ratchanok INTANON",NA,"Wen Chi HSU",NA,23,2023,"Women","Singles",4,4,0,168,117,51,1,285,0.589473684210526
"24","Busanan ONGBAMRUNGPHAN",NA,"Aya OHORI",NA,24,2023,"Women","Singles",4,3,1,166,152,14,0.75,318,0.522012578616352
"25","Gregoria Mariska TUNJUNG",NA,"KIM Ga Eun",NA,25,2023,"Women","Singles",3,3,0,162,142,20,1,304,0.532894736842105
"26","BAEK Ha Na","LEE So Hee","Nami MATSUYAMA","Chiharu SHIDA",1,2023,"Women","Doubles",7,6,1,352,329,23,0.857142857142857,681,0.516886930983847
"27","Nami MATSUYAMA","Chiharu SHIDA","Benyapa AIMSAARD","Nuntakarn AIMSAARD",2,2023,"Women","Doubles",5,4,1,238,199,39,0.8,437,0.544622425629291
"28","CHEN Qingchen","JIA Yifan","Nami MATSUYAMA","Chiharu SHIDA",3,2023,"Women","Doubles",5,4,1,204,165,39,0.8,369,0.552845528455285
"29","CHEN Qingchen","JIA Yifan","KIM So Yeong","KONG Hee Yong",4,2023,"Women","Doubles",4,2,2,195,171,24,0.5,366,0.532786885245902
"30","Nami MATSUYAMA","Chiharu SHIDA","Yuki FUKUSHIMA","Sayaka HIROTA",5,2023,"Women","Doubles",4,4,0,193,150,43,1,343,0.56268221574344
"31","Jongkolphan KITITHARAKUL","Rawinda PRAJONGJAI","Rin IWANAGA","Kie NAKANISHI",6,2023,"Women","Doubles",4,3,1,191,160,31,0.75,351,0.544159544159544
"32","LI Yijing","LUO Xumin","HSU Ya Ching","LIN Wan Ching",6,2023,"Women","Doubles",3,2,1,191,168,23,0.666666666666667,359,0.532033426183844
"33","Yuki FUKUSHIMA","Sayaka HIROTA","LI Wenmei","LIU Xuanxuan",8,2023,"Women","Doubles",5,2,3,185,155,30,0.4,340,0.544117647058823
"34","BAEK Ha Na","LEE So Hee","Apriyani RAHAYU","Siti Fadia Silva RAMADHANTI",10,2023,"Women","Doubles",4,3,1,184,157,27,0.75,341,0.539589442815249
"35","Maiken FRUERGAARD","Sara THYGESEN","Chloe BIRCH","Lauren SMITH",10,2023,"Women","Doubles",4,4,0,184,137,47,1,321,0.573208722741433
