"","Rank","Player1","Opponent1","Gender","Category","Matches","Wins","Losses","Points For","Points Against","Difference","Year","Player2","Opponent2"
"1",1,"Se Young AN","TAI Tzu Ying","Women","Singles",7,6,1,328,271,57,2023,NA,NA
"2",2,"HAN Yue","ZHANG Yiman","Women","Singles",6,4,2,294,281,13,2023,NA,NA
"3",3,"CHEN Yufei","Se Young AN","Women","Singles",6,2,4,288,288,0,2023,NA,NA
"4",3,"Se Young AN","CHEN Yufei","Women","Singles",6,4,2,288,288,0,2023,NA,NA
"5",5,"CHEN Yufei","Carolina MARIN","Women","Singles",6,4,2,264,238,26,2023,NA,NA
"6",6,"Carolina MARIN","TAI Tzu Ying","Women","Singles",5,3,2,255,221,34,2023,NA,NA
"7",7,"Se Young AN","HE Bingjiao","Women","Singles",5,5,0,240,183,57,2023,NA,NA
"8",8,"Se Young AN","WANG Zhiyi","Women","Singles",5,4,1,223,215,8,2023,NA,NA
"9",9,"Kirsty GILMOUR","Yvonne LI","Women","Singles",5,3,2,222,198,24,2023,NA,NA
"10",10,"Gregoria Mariska TUNJUNG","PUSARLA V. Sindhu","Women","Singles",5,2,3,221,203,18,2023,NA,NA
"11",11,"Se Young AN","Akane YAMAGUCHI","Women","Singles",5,3,2,217,204,13,2023,NA,NA
"12",12,"Line Højmark KJAERSFELDT","Yvonne LI","Women","Singles",4,4,0,204,155,49,2023,NA,NA
"13",13,"CHEN Yufei","HAN Yue","Women","Singles",4,4,0,202,147,55,2023,NA,NA
"14",14,"Akane YAMAGUCHI","Gregoria Mariska TUNJUNG","Women","Singles",4,3,1,199,171,28,2023,NA,NA
"15",14,"HAN Yue","YEO Jia Min","Women","Singles",4,4,0,199,152,47,2023,NA,NA
"16",16,"CHEN Yufei","HE Bingjiao","Women","Singles",4,4,0,192,152,40,2023,NA,NA
"17",17,"Akane YAMAGUCHI","CHEN Yufei","Women","Singles",4,3,1,188,176,12,2023,NA,NA
"18",18,"WANG Zhiyi","ZHANG Yiman","Women","Singles",4,2,2,186,167,19,2023,NA,NA
"19",19,"CHEN Yufei","WANG Zhiyi","Women","Singles",4,4,0,182,152,30,2023,NA,NA
"20",20,"TAI Tzu Ying","Supanida KATETHONG","Women","Singles",4,4,0,178,141,37,2023,NA,NA
"21",21,"TAI Tzu Ying","ZHANG Yiman","Women","Singles",4,3,1,174,125,49,2023,NA,NA
"22",22,"WANG Zhiyi","Saena KAWAKAMI","Women","Singles",4,4,0,170,109,61,2023,NA,NA
"23",23,"Ratchanok INTANON","Wen Chi HSU","Women","Singles",4,4,0,168,117,51,2023,NA,NA
"24",24,"Busanan ONGBAMRUNGPHAN","Aya OHORI","Women","Singles",4,3,1,166,152,14,2023,NA,NA
"25",25,"Gregoria Mariska TUNJUNG","KIM Ga Eun","Women","Singles",3,3,0,162,142,20,2023,NA,NA
"26",1,"BAEK Ha Na","Nami MATSUYAMA","Women","Doubles",7,6,1,352,329,23,2023,"LEE So Hee","Chiharu SHIDA"
"27",2,"Nami MATSUYAMA","Benyapa AIMSAARD","Women","Doubles",5,4,1,238,199,39,2023,"Chiharu SHIDA","Nuntakarn AIMSAARD"
"28",3,"CHEN Qingchen","Nami MATSUYAMA","Women","Doubles",5,4,1,204,165,39,2023,"JIA Yifan","Chiharu SHIDA"
"29",4,"CHEN Qingchen","KIM So Yeong","Women","Doubles",4,2,2,195,171,24,2023,"JIA Yifan","KONG Hee Yong"
"30",5,"Nami MATSUYAMA","Yuki FUKUSHIMA","Women","Doubles",4,4,0,193,150,43,2023,"Chiharu SHIDA","Sayaka HIROTA"
"31",6,"Jongkolphan KITITHARAKUL","Rin IWANAGA","Women","Doubles",4,3,1,191,160,31,2023,"Rawinda PRAJONGJAI","Kie NAKANISHI"
"32",6,"LI Yijing","HSU Ya Ching","Women","Doubles",3,2,1,191,168,23,2023,"LUO Xumin","LIN Wan Ching"
"33",8,"Yuki FUKUSHIMA","LI Wenmei","Women","Doubles",5,2,3,185,155,30,2023,"Sayaka HIROTA","LIU Xuanxuan"
"34",10,"BAEK Ha Na","Apriyani RAHAYU","Women","Doubles",4,3,1,184,157,27,2023,"LEE So Hee","Siti Fadia Silva RAMADHANTI"
"35",10,"Maiken FRUERGAARD","Chloe BIRCH","Women","Doubles",4,4,0,184,137,47,2023,"Sara THYGESEN","Lauren SMITH"
"36",10,"Mayu MATSUMOTO","HSU Ya Ching","Women","Doubles",4,4,0,184,119,65,2023,"Wakana NAGAHARA","LIN Wan Ching"
"37",12,"KIM So Yeong","LI Wenmei","Women","Doubles",3,2,1,178,170,8,2023,"KONG Hee Yong","LIU Xuanxuan"
"38",13,"Rena MIYAURA","LIU Sheng Shu","Women","Doubles",3,2,1,172,167,5,2023,"Ayako SAKURAMOTO","TAN Ning"
"39",14,"KIM So Yeong","Benyapa AIMSAARD","Women","Doubles",4,4,0,170,110,60,2023,"KONG Hee Yong","Nuntakarn AIMSAARD"
"40",15,"Febriana Dwipuji KUSUMA","Lanny Tria MAYASARI","Women","Doubles",4,3,1,169,150,19,2023,"Amalia Cahaya PRATIWI","Ribka SUGIARTO"
"41",16,"LIU Sheng Shu","Maiken FRUERGAARD","Women","Doubles",4,4,0,168,120,48,2023,"TAN Ning","Sara THYGESEN"
"42",17,"LIU Sheng Shu","Mayu MATSUMOTO","Women","Doubles",4,3,1,164,146,18,2023,"TAN Ning","Wakana NAGAHARA"
"43",17,"LEE Yu Lim","Febriana Dwipuji KUSUMA","Women","Doubles",3,3,0,164,140,24,2023,"SHIN Seung Chan","Amalia Cahaya PRATIWI"
"44",19,"Yuki FUKUSHIMA","Apriyani RAHAYU","Women","Doubles",4,2,2,163,150,13,2023,"Sayaka HIROTA","Siti Fadia Silva RAMADHANTI"
"45",20,"CHEN Qingchen","BAEK Ha Na","Women","Doubles",4,3,1,156,130,26,2023,"JIA Yifan","LEE So Hee"
"46",21,"Rin IWANAGA","LEE Chia Hsin","Women","Doubles",3,3,0,153,129,24,2023,"Kie NAKANISHI","TENG Chun Hsun"
"47",22,"TAN Pearly Koong Le","Mayu MATSUMOTO","Women","Doubles",3,2,1,152,140,12,2023,"Muralitharan THINAAH","Wakana NAGAHARA"
"48",23,"Mayu MATSUMOTO","Benyapa AIMSAARD","Women","Doubles",3,2,1,151,127,24,2023,"Wakana NAGAHARA","Nuntakarn AIMSAARD"
"49",24,"KIM So Yeong","Mayu MATSUMOTO","Women","Doubles",3,2,1,150,135,15,2023,"KONG Hee Yong","Wakana NAGAHARA"
"50",24,"Nami MATSUYAMA","LIU Sheng Shu","Women","Doubles",3,2,1,150,134,16,2023,"Chiharu SHIDA","TAN Ning"
"51",1,"Kodai NARAOKA","SHI Yuqi","Men","Singles",6,4,2,301,287,14,2023,NA,NA
"52",2,"Kodai NARAOKA","Anders ANTONSEN","Men","Singles",6,4,2,266,262,4,2023,NA,NA
"53",3,"SHI Yuqi","LU Guangzu","Men","Singles",5,4,1,230,208,22,2023,NA,NA
"54",4,"Viktor AXELSEN","Christo POPOV","Men","Singles",4,4,0,200,146,54,2023,NA,NA
"55",5,"Anders ANTONSEN","WENG Hongyang","Men","Singles",4,4,0,197,174,23,2023,NA,NA
"56",6,"Anthony Sinisuka GINTING","LI Shifeng","Men","Singles",4,3,1,187,170,17,2023,NA,NA
"57",7,"LIN Chun-Yi","Toma Junior POPOV","Men","Singles",4,2,2,185,183,2,2023,NA,NA
"58",8,"Viktor AXELSEN","Jonatan CHRISTIE","Men","Singles",4,4,0,183,122,61,2023,NA,NA
"59",9,"WENG Hongyang","LEE Zii Jia","Men","Singles",4,3,1,182,173,9,2023,NA,NA
"60",10,"Viktor AXELSEN","SHI Yuqi","Men","Singles",4,3,1,181,148,33,2023,NA,NA
"61",10,"LOH Kean Yew","Kodai NARAOKA","Men","Singles",3,3,0,181,135,46,2023,NA,NA
"62",12,"Kodai NARAOKA","PRANNOY H. S.","Men","Singles",4,3,1,179,146,33,2023,NA,NA
"63",13,"LI Shifeng","LEE Zii Jia","Men","Singles",3,2,1,175,156,19,2023,NA,NA
"64",15,"Kenta NISHIMOTO","Jonatan CHRISTIE","Men","Singles",4,2,2,174,160,14,2023,NA,NA
"65",15,"WENG Hongyang","KIDAMBI Srikanth","Men","Singles",3,2,1,174,147,27,2023,NA,NA
"66",15,"PRANNOY H. S.","LEE Cheuk Yiu","Men","Singles",3,2,1,174,173,1,2023,NA,NA
"67",17,"Mads CHRISTOPHERSEN","Alex LANIER","Men","Singles",3,1,2,171,171,0,2023,NA,NA
"68",17,"Alex LANIER","Mads CHRISTOPHERSEN","Men","Singles",3,2,1,171,171,0,2023,NA,NA
"69",19,"Anders ANTONSEN","Toma Junior POPOV","Men","Singles",3,3,0,169,151,18,2023,NA,NA
"70",20,"LEE Zii Jia","Tze Yong NG","Men","Singles",3,3,0,168,147,21,2023,NA,NA
"71",21,"LOH Kean Yew","Christo POPOV","Men","Singles",4,2,2,166,158,8,2023,NA,NA
"72",23,"Kenta NISHIMOTO","LEE Zii Jia","Men","Singles",4,2,2,165,165,0,2023,NA,NA
"73",23,"LEE Zii Jia","Kenta NISHIMOTO","Men","Singles",4,2,2,165,165,0,2023,NA,NA
"74",23,"Kunlavut VITIDSARN","WANG Tzu Wei","Men","Singles",3,3,0,165,132,33,2023,NA,NA
"75",23,"LEE Zii Jia","Kodai NARAOKA","Men","Singles",3,1,2,165,157,8,2023,NA,NA
