Place,Name,V,M,V / M,TS,TR,Ind,Status,Club(s),Division,Country
1,JOYCE Michaela,6,6,1.00,30,10,20,Advanced,University Of Notre Dame NCAA / Elite Fencing Academy (VA),Indiana,USA
2,LIU Charlene (Kai),6,6,1.00,29,10,19,Advanced,Shoreline Fencers Club / Medeo Fencing Club,Metropolitan NYC,USA
3,OXENREIDER Tierna A.,6,6,1.00,30,13,17,Advanced,Columbia University NCAA,Metropolitan NYC,USA
4,ZIGALO Elizabeth,6,6,1.00,27,10,17,Advanced,New York Fencing Academy,Metropolitan NYC,USA
5,NGUYEN Tallulah,6,6,1.00,30,15,15,Advanced,Swords Fencing Studio,Southern California,USA
6,BASSA Francesca A.,6,6,1.00,29,14,15,Advanced,Alliance Fencing Academy / LA International Fencing,Gulf Coast,USA
7,KETKAR Ketki,6,6,1.00,27,13,14,Advanced,Cornell University NCAA / Kaizen Academy LLC,Western Washington,USA
8,GAJJALA Sharika R.,5,5,1.00,25,11,14,Advanced,Medeo Fencing Club,New Jersey,USA
9,CEBULA Anne,6,6,1.00,30,18,12,Advanced,New York Athletic Club / New York Fencing Academy,Metropolitan NYC,USA
10,GRADY Miriam A.,5,5,1.00,23,11,12,Advanced,Escrime Du Lac / University Of Notre Dame NCAA,Indiana,USA
11,TOBY Natalia R.,5,5,1.00,25,14,11,Advanced,New York Athletic Club,New Jersey,USA
12,HURLEY Kelley A.,5,5,1.00,22,11,11,Advanced,New York Athletic Club / Alliance Fencing Academy,South Texas,USA
13,ZHANG Victoria R.,5,5,1.00,22,14,8,Advanced,Alliance Fencing Academy,Gulf Coast,USA
14,HOLMES Katharine (Kat) W.,5,6,0.83,29,13,16,Advanced,New York Athletic Club / DC Fencers Club,Capitol,USA
15,WASHINGTON Isis,5,6,0.83,29,15,14,Advanced,Peter Westbrook Foundation / Top Fencing Club,Metropolitan NYC,USA
16,BEI Karen,5,6,0.83,28,14,14,Advanced,,San Diego,USA
17,HUSISIAN Hadley N.,5,6,0.83,29,16,13,Advanced,Fencers Club Inc. / Elite Fencing Academy (VA),Virginia,USA
