"Umpire","G","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","minAcc","maxAcc","avgCon","avgFav","avgTRI","avgLev"
"Adam Beck","16","2420","135","161.9","2285","2258.1","26.9","94.4","93.3","1.11","89.5","98.3","93","0.3","1","0.12"
"Adam Hamari","19","2875","148","183.9","2727","2691.1","35.9","94.9","93.6","1.25","92.1","96.9","94","0.4","0.9","0.11"
"Adrian Johnson","18","2831","177","188.6","2654","2642.4","11.6","93.7","93.3","0.41","90.3","95.8","93.6","0.5","1.4","0.14"
"Alan Porter","17","2576","112","154.4","2464","2421.6","42.4","95.7","94","1.64","91","97.5","94.1","0.4","0.9","0.14"
"Alex MacKay","16","2309","137","168.8","2172","2140.2","31.8","94.1","92.7","1.38","90.2","97","92.6","0.4","1.2","0.14"
"Alex Tosi","17","2597","121","179.3","2476","2417.7","58.3","95.3","93.1","2.24","92.4","99.4","93.9","0.4","1","0.13"
"Alfonso Márquez","19","2722","203","181.1","2519","2540.9","-21.9","92.5","93.3","-0.8","86.7","97.9","93.2","0.5","1.4","0.13"
"Andy Fletcher","18","3006","193","195.9","2813","2810.1","2.9","93.6","93.5","0.1","89.3","97.6","93.4","0.5","1.5","0.14"
"Angel Hernandez","8","1386","94","88.5","1292","1297.5","-5.5","93.2","93.6","-0.39","89.6","96.1","93","0.7","2.1","0.18"
"Ben May","16","2292","102","134.3","2190","2157.7","32.3","95.5","94.1","1.41","91.1","99.2","94.9","0.4","0.9","0.14"
"Bill Miller","18","2703","170","169.2","2533","2533.8","-0.8","93.7","93.7","-0.03","88.5","98.5","94.3","0.5","1.3","0.14"
"Brennan Miller","17","2490","156","162.4","2334","2327.6","6.4","93.7","93.5","0.26","89.1","97.5","93.5","0.5","1.3","0.14"
"Brian Knight","16","2413","122","148.5","2291","2264.5","26.5","94.9","93.8","1.1","91.1","98.1","93.7","0.4","1","0.13"
"Brian O'Nora","15","2253","166","155.8","2087","2097.2","-10.2","92.6","93.1","-0.45","89.4","96","92.9","0.7","1.6","0.15"
"Brian Walsh","17","2615","198","169.6","2417","2445.4","-28.4","92.4","93.5","-1.09","87.5","97.2","92.5","0.4","1.4","0.12"
"Brock Ballou","5","687","39","48.3","648","638.7","9.3","94.3","93","1.36","91.7","97.2","94.5","0.5","1","0.13"
"Bruce Dreckman","17","2530","166","159.1","2364","2370.9","-6.9","93.4","93.7","-0.27","89.3","96.1","94.3","0.3","1.3","0.13"
"Carlos Torres","16","2411","141","167.8","2270","2243.2","26.8","94.2","93","1.11","90.3","97.7","94.6","0.4","1.2","0.14"
"CB Bucknor","16","2447","199","168.7","2248","2278.3","-30.3","91.9","93.1","-1.24","86.8","96.2","93.4","0.4","1.7","0.14"
"Chad Fairchild","16","2453","156","167.1","2297","2285.9","11.1","93.6","93.2","0.45","90.4","97.7","93.7","0.5","1.4","0.14"
"Chad Whitson","17","2459","174","162.9","2285","2296.1","-11.1","92.9","93.4","-0.45","88.9","99.3","93.8","0.3","1.3","0.13"
"Charlie Ramos","19","2904","192","193.1","2712","2710.9","1.1","93.4","93.4","0.04","86.9","97.7","93.7","0.4","1.4","0.14"
"Chris Conroy","10","1399","95","98","1304","1301","3","93.2","93","0.22","90.2","96.7","93.9","0.4","1.3","0.14"
"Chris Guccione","13","2202","139","154.8","2063","2047.2","15.8","93.7","93","0.72","90.7","97.3","93","0.5","1.5","0.14"
"Chris Segal","17","2464","148","149","2316","2315","1","94","94","0.04","88.2","96.7","94.6","0.4","1.1","0.13"
"Clint Vondrak","17","2642","174","180.6","2468","2461.4","6.6","93.4","93.2","0.25","90.6","98.9","93","0.5","1.5","0.15"
"Cory Blaser","14","1964","131","124.8","1833","1839.2","-6.2","93.3","93.6","-0.32","88.4","97.4","92.7","0.4","1.3","0.14"
"D.J. Reyburn","15","2166","126","143","2040","2023","17","94.2","93.4","0.78","89.9","99.2","93.1","0.4","1.2","0.15"
"Dan Bellino","17","2642","164","165","2478","2477","1","93.8","93.8","0.04","90.3","97.5","93.4","0.5","1.4","0.15"
"Dan Iassogna","18","2608","159","168.7","2449","2439.3","9.7","93.9","93.5","0.37","88.8","98.4","93.1","0.2","1.1","0.12"
"Dan Merzel","19","2875","165","181.8","2710","2693.2","16.8","94.3","93.7","0.59","90.1","97.6","93.9","0.4","1.2","0.13"
"David Arrieta","3","468","27","33.2","441","434.8","6.2","94.2","92.9","1.32","92.9","95.7","92.3","0.6","1.2","0.14"
"David Rackley","18","2664","155","185.2","2509","2478.8","30.2","94.2","93","1.13","90.6","97","93.4","0.4","1","0.11"
"Derek Thomas","15","2407","106","150.9","2301","2256.1","44.9","95.6","93.7","1.87","92.9","98.8","95","0.3","1","0.14"
"Doug Eddings","18","2506","173","167.5","2333","2338.5","-5.5","93.1","93.3","-0.22","91","95.3","92.3","0.3","1.2","0.12"
"Edwin Jimenez","14","2094","127","130.3","1967","1963.7","3.3","93.9","93.8","0.16","85.6","97.1","93.4","0.3","1.1","0.12"
"Edwin Moscoso","18","2746","141","190.1","2605","2555.9","49.1","94.9","93.1","1.79","92.1","97.3","93.3","0.4","1.2","0.15"
"Emil Jimenez","18","2767","168","187.1","2599","2579.9","19.1","93.9","93.2","0.69","90.5","96.4","93.5","0.5","1.3","0.14"
"Erich Bacchus","16","2499","152","154","2347","2345","2","93.9","93.8","0.08","90","97.4","93","0.5","1.2","0.13"
"Gabe Morales","16","2323","155","166.5","2168","2156.5","11.5","93.3","92.8","0.5","88.5","97.5","93.4","0.3","1.1","0.12"
"Hunter Wendelstedt","19","2849","216","187.8","2633","2661.2","-28.2","92.4","93.4","-0.99","88.7","96.8","92.9","0.5","1.5","0.13"
"Jacob Metz","1","148","12","10.4","136","137.6","-1.6","91.9","93","-1.11","91.9","91.9","95.9","0.3","1.3","0.11"
"James Hoye","16","2420","154","157.6","2266","2262.4","3.6","93.6","93.5","0.15","91.5","95.7","93.4","0.5","1.5","0.15"
"James Jean","1","151","11","12.2","140","138.8","1.2","92.7","91.9","0.82","92.7","92.7","95.4","0","1.5","0.14"
"Jansen Visconti","16","2407","146","163.5","2261","2243.5","17.5","93.9","93.2","0.73","90.3","97.6","93.2","0.6","1.3","0.15"
"Jeremie Rehak","15","2243","107","145.3","2136","2097.7","38.3","95.2","93.5","1.71","91.4","98.5","95.2","0.4","1","0.14"
"Jeremy Riggs","10","1595","74","97.7","1521","1497.3","23.7","95.4","93.9","1.49","93.7","97.7","94.4","0.4","1.1","0.15"
"Jim Wolf","11","1667","97","108","1570","1559","11","94.2","93.5","0.66","89.4","97.2","94.4","0.5","1.2","0.14"
"John Bacon","8","1212","81","77.8","1131","1134.2","-3.2","93.3","93.6","-0.27","84.7","97.3","93.7","0.6","1.6","0.16"
"John Libka","15","2307","110","145.4","2197","2161.6","35.4","95.2","93.7","1.54","91.7","97.1","93.9","0.5","0.9","0.12"
"John Tumpane","17","2524","173","171","2351","2353","-2","93.1","93.2","-0.08","87.2","96.7","94","0.6","1.3","0.13"
"Jonathan Parra","13","1948","123","121.8","1825","1826.2","-1.2","93.7","93.7","-0.06","91.2","96","94.1","0.5","1.2","0.13"
"Jordan Baker","17","2646","157","173.3","2489","2472.7","16.3","94.1","93.5","0.62","90.1","96.4","93.8","0.5","1.3","0.15"
"Junior Valentine","17","2609","165","173.8","2444","2435.2","8.8","93.7","93.3","0.34","90.3","97.8","93.9","0.5","1.2","0.12"
"Lance Barksdale","20","3147","170","203.8","2977","2943.2","33.8","94.6","93.5","1.07","91.8","96.6","94.3","0.3","1","0.12"
"Lance Barrett","19","2580","168","173.2","2412","2406.8","5.2","93.5","93.3","0.2","87.4","98.6","93.9","0.4","1.1","0.13"
"Larry Vanover","18","2807","208","179.9","2599","2627.1","-28.1","92.6","93.6","-1","88.1","95","92.5","0.5","1.4","0.12"
"Laz Diaz","17","2556","161","170.8","2395","2385.2","9.8","93.7","93.3","0.38","87.5","96.5","93.7","0.5","1.2","0.13"
"Malachi Moore","16","2446","159","174.1","2287","2271.9","15.1","93.5","92.9","0.62","90.3","95.6","93.2","0.3","1.2","0.12"
"Manny Gonzalez","15","2194","185","150.9","2009","2043.1","-34.1","91.6","93.1","-1.55","87.3","95.5","93.2","0.5","1.6","0.13"
"Mark Carlson","17","2644","178","174.7","2466","2469.3","-3.3","93.3","93.4","-0.12","88.7","97","93.6","0.4","1.4","0.13"
"Mark Ripperger","20","3084","151","201.6","2933","2882.4","50.6","95.1","93.5","1.64","92.9","97.8","94.7","0.4","0.9","0.12"
"Mark Wegner","13","2065","121","138.5","1944","1926.5","17.5","94.1","93.3","0.85","91.3","97.5","93","0.5","1.2","0.13"
"Marvin Hudson","16","2577","175","170","2402","2407","-5","93.2","93.4","-0.2","89.9","97.9","93.9","0.5","1.3","0.12"
"Mike Estabrook","18","2644","189","180.6","2455","2463.4","-8.4","92.9","93.2","-0.32","88.6","97.1","92.9","0.4","1.3","0.13"
"Mike Muchlinski","16","2433","160","167.1","2273","2265.9","7.1","93.4","93.1","0.29","88.9","95.9","94.2","0.5","1.4","0.14"
"Nate Tomlinson","15","2212","134","141.3","2078","2070.7","7.3","93.9","93.6","0.33","91","95.8","93","0.5","1.3","0.14"
"Nestor Ceja","13","1975","96","140.9","1879","1834.1","44.9","95.1","92.9","2.28","93.7","98.1","94.4","0.4","0.9","0.12"
"Nic Lentz","17","2664","167","191.5","2497","2472.5","24.5","93.7","92.8","0.92","89.7","97.4","93.8","0.5","1.4","0.15"
"Nick Mahrley","17","2728","182","196.9","2546","2531.1","14.9","93.3","92.8","0.55","87.4","96.5","92.7","0.4","1.4","0.13"
"Paul Clemons","18","2644","152","182.8","2492","2461.2","30.8","94.3","93.1","1.16","86.5","98.4","94.7","0.4","1.1","0.13"
"Phil Cuzzi","16","2477","158","163.1","2319","2313.9","5.1","93.6","93.4","0.21","89.6","96.9","93.8","0.5","1.3","0.13"
"Quinn Wolcott","17","2583","138","172.5","2445","2410.5","34.5","94.7","93.3","1.34","91.6","98.2","94.1","0.3","1","0.13"
"Ramon De Jesus","18","2578","156","162.5","2422","2415.5","6.5","93.9","93.7","0.25","90.8","97.3","93.2","0.4","1.1","0.12"
"Rob Drake","16","2462","170","167.4","2292","2294.6","-2.6","93.1","93.2","-0.11","88.5","97.4","93.3","0.2","1.4","0.13"
"Roberto Ortiz","17","2369","168","160.3","2201","2208.7","-7.7","92.9","93.2","-0.33","84.5","97.6","93.1","0.5","1.4","0.14"
"Ryan Additon","18","2602","134","168.2","2468","2433.8","34.2","94.9","93.5","1.31","89","98.2","94","0.3","0.9","0.12"
"Ryan Blakney","15","2228","129","134.1","2099","2093.9","5.1","94.2","94","0.23","90.2","97","93.8","0.5","1.2","0.14"
"Ryan Wills","15","2253","137","145.1","2116","2107.9","8.1","93.9","93.6","0.36","90.8","97.1","93","0.5","1.4","0.16"
"Scott Barry","13","1951","130","133.3","1821","1817.7","3.3","93.3","93.2","0.17","87.3","98.1","93.2","0.5","1.3","0.13"
"Sean Barber","15","2289","129","144.8","2160","2144.2","15.8","94.4","93.7","0.69","87.7","99.2","93.3","0.5","1.2","0.14"
"Stu Scheurwater","16","2498","157","166.1","2341","2331.9","9.1","93.7","93.4","0.36","91.8","96.8","93","0.5","1.3","0.13"
"Todd Tichenor","14","2091","117","143.5","1974","1947.5","26.5","94.4","93.1","1.27","88.6","97.9","93.4","0.3","1.1","0.13"
"Tom Hanahan","16","2416","170","170.8","2246","2245.2","0.8","93","92.9","0.03","89.1","97.6","93.2","0.6","1.4","0.13"
"Tony Randazzo","17","2707","170","191.4","2537","2515.6","21.4","93.7","92.9","0.79","90.2","97.1","92.9","0.4","1.5","0.15"
"Tripp Gibson","16","2363","142","162.5","2221","2200.5","20.5","94","93.1","0.87","90.5","96.4","93.1","0.3","1.1","0.13"
"Vic Carapazza","19","2791","154","184.9","2637","2606.1","30.9","94.5","93.4","1.11","92","98.5","94","0.5","1.1","0.14"
"Will Little","6","959","48","70.5","911","888.5","22.5","95","92.7","2.34","92.1","99.3","94.6","0.6","1.4","0.17"
