Place,Name,Club(s),Division,Country,License #,Class.,Earned
1,HUSISIAN Hadley N.,Fencers Club Inc. / Elite Fencing Academy (VA),Virginia,USA,USFA #100167350,A23,
2,HOLMES Katharine (Kat) W.,New York Athletic Club / DC Fencers Club,Capitol,USA,USFA #100063727,A23,
3T,KETKAR Ketki,Cornell University NCAA / Kaizen Academy LLC,Western Washington,USA,USFA #100157826,A23,
3T,WANG Karen,Northwestern University NCAA / Alliance Fencing Academy,Gulf Coast,USA,USFA #100172515,A22,A23
5,ZIGALO Elizabeth,New York Fencing Academy,Metropolitan NYC,USA,USFA #100237543,A23,
6,BASSA Francesca A.,Alliance Fencing Academy / LA International Fencing,Gulf Coast,USA,USFA #100043813,A23,
7,GAJJALA Sharika R.,Medeo Fencing Club,New Jersey,USA,USFA #100216150,A23,
8,GUZZI VINCENTI Margherita A.,Ataba Fencing Club,Wisconsin,USA,USFA #100118181,A22,A23
9,LIU Charlene (Kai),Shoreline Fencers Club / Medeo Fencing Club,Metropolitan NYC,USA,USFA #100251493,A22,
10,NGUYEN Tallulah,Swords Fencing Studio,Southern California,USA,USFA #100225740,A23,
11,CEBULA Anne,New York Athletic Club / New York Fencing Academy,Metropolitan NYC,USA,USFA #100168269,A23,
12,GRADY Miriam A.,Escrime Du Lac / University Of Notre Dame NCAA,Indiana,USA,USFA #100130624,A22,
13,TOBY Natalia R.,New York Athletic Club,New Jersey,USA,USFA #100168399,B22,B23
14,NIXON Catherine (Kasia) D.,Peter Westbrook Foundation / Fencers Club Inc.,Southern California,USA,USFA #100085522,A22,
15,LEE Olivia,Swords Fencing Studio,Southern California,USA,USFA #100237678,A23,
16,WADE-CURRIE Ava S.,Olympia Fencing Center,New England,USA,USFA #100162205,A23,
17,WASHINGTON Isis,Peter Westbrook Foundation / Top Fencing Club,Metropolitan NYC,USA,USFA #100097658,A22,
18,BEI Karen,,San Diego,USA,USFA #100198207,A22,
19,PIRKOWSKI Amanda L.,University Of Notre Dame NCAA,Central Florida,USA,USFA #100142676,A22,
20,LIN Jessica Y.,Medeo Fencing Club / Princeton University NCAA,New Jersey,USA,USFA #100167902,A22,
21,GU Sarah,Medeo Fencing Club,New Jersey,USA,USFA #100201801,A23,
22,FALLON Kyle R.,Fencing Academy Of Westchester,Connecticut,USA,USFA #100168437,A23,
23,ZUHARS Renee A.,University Of California San Diego NCAA,San Diego,USA,USFA #100180291,A22,
24T,LEE REGINA,Swords Fencing Studio,Southern California,USA,USFA #100249246,A23,
24T,RAUSCH Ariana (Ari) M.,Princeton University NCAA / Alliance Fencing Academy,Gulf Coast,USA,USFA #100132241,A21,
26,KORFONTA Jolie,Elite Fencing Academy (VA),Virginia,USA,USFA #100249592,A22,
27,TOLSMA Chloe (CJ),Alliance Fencing Academy,Gulf Coast,USA,USFA #100227601,A23,
28,REID Anousheh,Medeo Fencing Club,New Jersey,USA,USFA #100145767,A22,
29,KETKAR Mallika,Cornell University NCAA / Kaizen Academy LLC,Western Washington,USA,USFA #100157825,A21,
30,YU Nicole J.,Marx Fencing Academy,New England,USA,USFA #100159185,A23,
31,YAMANAKA Mina,New York Athletic Club / Long Island Fencing Center,Metropolitan NYC,USA,USFA #100157533,A23,
32,MUELLER Emma M.,Rhode Island Fencing Academy And Club,New England,USA,USFA #100203537,B22,
33,JOYCE Michaela,University Of Notre Dame NCAA / Elite Fencing Academy (VA),Indiana,USA,USFA #100189337,A22,
34,OXENREIDER Tierna A.,Columbia University NCAA,Metropolitan NYC,USA,USFA #100139257,A23,
35,HURLEY Kelley A.,New York Athletic Club / Alliance Fencing Academy,South Texas,USA,USFA #100024827,A22,
36,ZHANG Victoria R.,Alliance Fencing Academy,Gulf Coast,USA,USFA #100204786,A23,
37,JAKEL Sophia N.,DC Fencers Club,Capitol,USA,USFA #100167871,A22,
38,WANG Elizabeth,Alliance Fencing Academy,Gulf Coast,USA,USFA #100172514,A22,
39,SHELIN Chelsea,Las Vegas Fencing Academy,Nevada,USA,USFA #100296191,B22,
40,LEE Sumin,Battle Born Fencing Club,Nevada,USA,USFA #100198077,A23,
41,KHAMIS Yasmine A.,Alliance Fencing Academy,Gulf Coast,USA,USFA #100161631,A23,
42,LUO Ashley,Olympia Fencing Center,New England,USA,USFA #100190454,A23,
43,SEBASTIAN Felicity A.,Alliance Fencing Academy,Gulf Coast,USA,USFA #100173582,A22,
44,TYLER Syd,Windy City Fencing-Chicago,Illinois,USA,USFA #100181085,A22,
45,PEHLIVANI Zara,Battle Born Fencing Club,Nevada,USA,USFA #100253229,A22,
46,LAN Alice S.,Academy Of Fencing Masters (AFM),Central California,USA,USFA #100210841,B22,
47,WATRALL Christina,New York Athletic Club / Fencers Club Inc.,New Jersey,USA,USFA #100164738,A23,
48,MACHULSKY Leehi,Academy Of Fencing Masters (AFM),Central California,USA,USFA #100175619,A23,
49,PAPADAKIS Lily,Penta Olympic Fencing Club,Virginia,USA,USFA #100181434,B23,
50,LIU Christina A.,Alliance Fencing Academy,Gulf Coast,USA,USFA #100192890,A23,
51,CHU Audrey,Academy Of Fencing Masters (AFM) / Columbia University NCAA,Central California,USA,USFA #100183873,A22,
52,LEE Natasha,Las Vegas Fencing Academy / TeamK Fencing,Nevada,USA,USFA #100296476,B23,
53,NIXON Caroline (Karolina) L.,Columbia University NCAA / Fencers Club Inc.,Southern California,USA,USFA #100098259,A20,
54,ZHU Serene M.,ASER International Fencing Academy,Virginia,USA,USFA #100192623,B23,
55,MCCUTCHEN Lauren (Lulu),Alliance Fencing Academy,Gulf Coast,USA,USFA #100165791,A22,
56,GEBALA Natalie Brooke A.,Academy Of Fencing Masters (AFM),Central California,USA,USFA #100176019,A22,
57,QI Jarynne Valerie,,Metropolitan NYC,USA,USFA #100266556,B23,
58,SMUK Alexandra S.,Rhode Island Fencing Academy And Club,New England,USA,USFA #100203998,B23,
59,YANG Alisa,Guanyi Fencing Academy,Maryland,USA,USFA #100231057,A23,
60,CHEN Lefu,Allegro Fencing Center,New Jersey,USA,USFA #100249145,A23,
61,MEHROTRA Anya,Alliance Fencing Academy,North Texas,USA,USFA #100206857,A23,
62,MAO Amy,Medeo Fencing Club,New Jersey,USA,USFA #100230661,A22,
63,CAFASSO Natalya,Olympia Fencing Center,New England,USA,USFA #100206467,A23,
64,YOU Emily,Guanyi Fencing Academy,Maryland,USA,USFA #100262493,B22,
65,SENYUVA Su,Alliance Fencing Academy,Gulf Coast,USA,USFA #100233528,C22,
66,KIM Zoe L.,Swords Fencing Studio,Southern California,USA,USFA #100189890,A23,
67,PHUKAN Indra,Swords Fencing Studio,Southern California,USA,USFA #100276841,B23,
68,CHISHOLM Phoebe C.,Olympia Fencing Center,New England,USA,USFA #100177035,A23,
69,SPRINGER Sierra,Olympia Fencing Center,New England,USA,USFA #100235027,A22,
70,DOROSHKEVICH Victoriia,Fencing Center Of Chicago,Illinois,USA,USFA #100212831,A22,
71,LEUNG Natalie,Swords Fencing Studio,Southern California,USA,USFA #100226362,A19,
72,LEANG Priscilla Y.,Academy Of Fencing Masters (AFM),Central California,USA,USFA #100184834,A22,
73,ELSTON Sophia,Plymouth/Ann Arbor Fencing Academy,Michigan,USA,USFA #100227610,B23,
74,BUSH emma,San Diego Fencing Center,San Diego,USA,USFA #100231826,B22,
75,REMEZA Alissa,Fencing Academy Of Westchester,Westchester-Rockland,USA,USFA #100180720,B23,
76,KIM Jayna,Battle Born Fencing Club,Nevada,USA,USFA #100226180,B22,
77,ANDERSON Claire,Denver Fencing Center,Colorado,USA,USFA #100202715,B22,
78,SMUK Daria A.,Rhode Island Fencing Academy And Club / Brown University,New England,USA,USFA #100163057,B23,
79,AZMEH nour,Olympia Fencing Center,New England,USA,USFA #100230496,C23,
80,PINNAMANENI Drithi,Penta Olympic Fencing Club,Virginia,USA,USFA #100269674,B23,
81,SMOTRITSKY Mia,New York Fencing Academy,Metropolitan NYC,USA,USFA #100240603,A23,
82,SWENSON Nikita G.,Ataba Fencing Club,Wisconsin,USA,USFA #100216801,B23,
83,BARG Daniella,Alliance Fencing Academy,Gulf Coast,USA,USFA #100204258,B22,
84,LU Junyao,Wanglei International Fencing Club,New Jersey,USA,USFA #100262714,A23,
85,PRIHODKO Nina,Vivo Fencing Club,New England,USA,USFA #100176377,B23,
86,DESAI Meera P.,Elite Fencing Academy (VA) / Elite Fencing Academy (GA),Virginia,USA,USFA #100202236,B22,
87,WITTER Catherine A.,Fencing Sports Academy Inc.,Virginia,USA,USFA #100215615,B23,
88,KUKVA Taisiya,Las Vegas Fencing Academy,Nevada,USA,USFA #100296367,C23,
89,WU Amelia,University Of California San Diego NCAA,Mountain Valley,USA,USFA #100185148,A22,
90,GUJJA Misha,New York Fencing Academy,Long Island,USA,USFA #100234017,B22,
91,CAPELLUA Mariasole,Nashville Elite Fencing Club,Tennessee,USA,USFA #100213556,B22,
92,SHARMA Sanvi,Academy Of Fencing Masters (AFM),Central California,USA,USFA #100206378,C22,
93,LEE Scarlett,New York Fencing Academy,Long Island,USA,USFA #100236195,B23,
94,WITTE Vera,Arena Fencing Academy LLC,New Jersey,USA,USFA #100224869,B23,
95T,FENG ge,Olympia Fencing Center,New England,USA,USFA #100264215,B23,
95T,DOUGLAS Marketa F.,Rhode Island Fencing Academy And Club,New England,USA,USFA #100206312,C22,
97,YAO Melinda,Alliance Fencing Academy,Gulf Coast,USA,USFA #100252344,A22,
98,BARBARA Camille,Fortune Fencing,Southern California,USA,USFA #100230005,C22,
99,YAO Yilin,Swords Fencing Studio,Southern California,USA,USFA #100227719,B23,
100,LIN Elaine,Long Island Fencing Center,Metropolitan NYC,USA,USFA #100234157,B22,
101,KUMAR Eva,Medeo Fencing Club,New Jersey,USA,USFA #100252149,C23,
102,GUMAGAY Erika L.,Penta Olympic Fencing Club,Virginia,USA,USFA #100194621,A22,
103,DAMRATOSKI Anna Z.,Northwestern University NCAA / Medeo Fencing Club,New Jersey,USA,USFA #100210142,B22,
104,PADHYE Tanishka,Alliance Fencing Academy,Gulf Coast,USA,USFA #100236071,A23,
105,STOECKEL Sofia I.,Twin Cities Fencing Club,Minnesota,USA,USFA #100206293,B22,
106,CANNING Charlotte,Rhode Island Fencing Academy And Club,New England,USA,USFA #100268462,B23,
107,LI Fei,Cavalier Fencing Club,New England,USA,USFA #100279965,B23,
108,LIU Nicole,DC Fencers Club,Virginia,USA,USFA #100227342,B23,
109,SONG Angela,Cavalier Fencing Club,New England,USA,USFA #100267174,A23,
110,CARRIER Meredith,Wasatch Fencing / Schoolhouse Fencing,Utah-Southern Idaho,USA,USFA #100225149,C23,
111,MUN Brianna K.,Fortune Fencing,Orange Coast,USA,USFA #100194539,B23,
112,ALEXANDROV Katherine S.,Windy City Fencing-Chicago,Illinois,USA,USFA #100212719,B22,
