POS,COUNTRY,ATHLETE,TIME,DISTANCE,GENDER
1,AUS,Isaac BEACROFT,39:56 AU20R,10000,0
2,CHN,Shengji SHI,39:57:00,10000,0
3,CHN,Jiawei LUO,40:03:00,10000,0
4,JPN,Sotaro OSAKA,40:30 PB,10000,0
5,ITA,Giuseppe DISABATO,40:32 PB,10000,0
6,JPN,Taisei YOSHIZAKO,40:39 PB,10000,0
7,TUR,Şeyhmus ÇAPAT,40:42 NU20R,10000,0
8,ESP,Daniel MONFORT,40:43 PB,10000,0
9,GER,Frederick WEIGEL,40:53 PB,10000,0
10,COL,Jesus Leonardo RAMIREZ,40:53 PB,10000,0
11,CHN,Chenjie LI,40:54:00,10000,0
12,ESP,Miguel ESPINOSA OLIVARES,40:55 PB,10000,0
13,AUS,Riley COUGHLAN,41:03 PB,10000,0
14,ESP,Daniel MORILLA GARCIA,41:07 PB,10000,0
15,AUS,Marcus WAKIM,41:15 PB,10000,0
16,JPN,Yuki SHIMODA,41:15 PB,10000,0
17,COL,Julian Andres ALFONSO,41:40 PB,10000,0
18,GER,Nick Joel RICHARDT,41:50 PB,10000,0
19,MEX,Emiliano BARBA,41:52 PB,10000,0
20,TUR,Mehmet GÜNGÖR,41:54 PB,10000,0
21,FRA,Quentin CHENUET,41:57 PB,10000,0
22,FRA,Bastien PICART,42:03 PB,10000,0
23,ECU,Alex Mateo SANCHEZ GUAMAN,42:06 PB,10000,0
24,MEX,Oscar BOCANEGRA,42:16 PB,10000,0
25,COL,Juan Pablo ROJAS,42:23 PB,10000,0
26,UKR,Oleksii POLISHCHUK,42:35 PB,10000,0
27,SVK,Filip KRESTIANKO,42:40 PB,10000,0
28,ITA,Alessio COPPOLA,42:45 PB,10000,0
29,FRA,Hugo ELLUL,42:57 PB,10000,0
30,ITA,Andrea DI CARLO,42:58 PB,10000,0
31,CZE,Albert KUKLA,43:29:00,10000,0
32,SVK,Jakub BÁTOVSKÝ,43:29 PB,10000,0
33,NZL,Jonah CROPP,43:45 NU20R,10000,0
34,TUR,İlhan GÖVCE,43:51:00,10000,0
35,BRA,Klaubert Emanoel FERREIRA,43:51 PB,10000,0
36,PER,José Duvan CCOSCCO SUELDO,43:56 PB,10000,0
37,KAZ,Yegor STRUKOV,44:09 PB,10000,0
38,UKR,Eduard MURAVSKYI,44:19 PB,10000,0
39,LTU,Lukas LASEVIČIUS,44:42 PB,10000,0
40,IRL,Séamus CLARKE,44:45 PB,10000,0
41,BRA,Joao Paulo NOBRE,44:45 PB,10000,0
42,POL,Kacper GOŁĄBEK,44:49 PB,10000,0
43,POL,Przemysław JASIŃSKI,44:55:00,10000,0
44,KAZ,Zharylkasyn EGIZBAY,44:55 PB,10000,0
45,KAZ,Sherkhan EGIZBAY,45:46 PB,10000,0
46,POL,Mateusz MARGIEL,46:35 PB,10000,0
47,SVK,Lukáš ROSENBAUM,46:41:00,10000,0
48,NZL,Toby O'RORKE,47:04 PB,10000,0
49,RSA,Olwethu MNCIBI,47:32 PB,10000,0
50,LTU,Liudas GRINCEVIČIUS,49:09 PB,10000,0
51,BRA,Santiago URBINA,51:58 PB,10000,0
1,CHN,Xizhen YANG,45:06:00,10000,1
2,ESP,Aldara MEILÁN,45:12:00,10000,1
3,ESP,Sofia SANTACREU,45:17 PB,10000,1
4,ITA,Giulia GABRIELE,45:26 PB,10000,1
5,CHN,Meiling CHEN,45:35:00,10000,1
6,ESP,Griselda SERRET,46:12 PB,10000,1
7,ITA,Serena DI FABIO,46:12 PB,10000,1
8,ROU,Alessia Cristina POP,46:16 PB,10000,1
9,ITA,Michelle CANTÒ,46:27 PB,10000,1
10,CZE,Ema KLIMENTOVÁ,46:28 PB,10000,1
11,CHN,Jiecuo DUO,46:29:00,10000,1
12,MEX,Renata CORTES,46:31:00,10000,1
13,JPN,Suzu OKUNO,46:32 PB,10000,1
14,MEX,Valeria FLORES,46:40:00,10000,1
15,JPN,Suzuka KUGE,46:41 PB,10000,1
16,AUS,Alexandra GRIFFIN,46:50 PB,10000,1
17,COL,Rubi Dayana SEGURA GARCIA,47:01 PB,10000,1
18,FRA,Chloe LE ROCH,47:13 PB,10000,1
19,FRA,Léna AUVRAY,47:38 PB,10000,1
20,GER,Kylie GARREIS,48:20 PB,10000,1
21,USA,Heather DURRANT,48:34 PB,10000,1
22,AUS,Zoe WOODS,48:36 PB,10000,1
23,TUR,Tülin EK,49:01 PB,10000,1
24,USA,Angelica HARRIS,49:01 PB,10000,1
25,CZE,Alžběta FRANKLOVÁ,49:04 PB,10000,1
26,FRA,Marine MERBITZ,49:05 PB,10000,1
27,PER,Yadira ORIHUELA POMA,49:08 PB,10000,1
28,HUN,Alexandra KOVÁCS,49:12:00,10000,1
29,ECU,Katherine Dayanna BARRETO,49:15 PB,10000,1
30,TUR,Şeri̇fe Berra GÜVEN,49:23 PB,10000,1
31,JPN,Sumika TANI,49:24:00,10000,1
32,AUS,Nellie LANGFORD,49:28 PB,10000,1
33,KAZ,Margarita STOROZHENKO,49:31 PB,10000,1
34,HUN,Judit ERDŐS,49:34 PB,10000,1
35,GER,Anna-Maria GABRIEL,49:42:00,10000,1
36,SVK,Kristína ZÁMECNIKOVA,49:53 PB,10000,1
37,LTU,Akvilé ORLIUKAITÉ,50:21 SB,10000,1
38,SVK,Tamara INDRIŠKOVÁ,50:43:00,10000,1
39,KAZ,Sabrina ARZIYEVA,51:09:00,10000,1
40,TUR,Esma ÖZTEKİN,51:18:00,10000,1
41,SVK,Ivana DUDOVÁ,51:38:00,10000,1
42,GER,Tabea KIEFER,51:46:00,10000,1
43,RSA,Lee Sue NYATHI,51:50 PB,10000,1
44,FIN,Aliisa KIISKI,52:21:00,10000,1
45,LTU,Aiva BILEVIČIŪTĖ,54:08:00,10000,1
46,POL,Emilia WIŚNIEWSKA,54:28:00,10000,1
47,BRA,Thaliane Janaina MIRANDA,54:49 PB,10000,1
1,PER,Kimberly GARCÍA LEÓN,1:27:12,20000,1
2,CHN,Zhenxia MA,1:27:55,20000,1
3,BRA,Erica SENA,1:29:22 SB,20000,1
4,PER,Evelyn INGA,1:29:26,20000,1
5,ECU,Paula Milena TORRES,1:29:47,20000,1
6,CHN,Haiying JI,1:30:08,20000,1
7,CHN,Yuxia SHI,1:30:21,20000,1
8,ESP,Lidia SANCHEZ-PUEBLA,1:30:24 PB,20000,1
