"Event","NOC"
"Rowing Men's 17-Man Naval Rowing Boats","GRE"
"Rowing Men's 17-Man Naval Rowing Boats","ITA"
"Rowing Men's 6-Man Naval Rowing Boats","GRE"
"Rowing Men's 6-Man Naval Rowing Boats","ITA"
"Rowing Men's Coxed Eights","ANZ"
"Rowing Men's Coxed Eights","ARG"
"Rowing Men's Coxed Eights","AUS"
"Rowing Men's Coxed Eights","AUT"
"Rowing Men's Coxed Eights","BEL"
"Rowing Men's Coxed Eights","BRA"
"Rowing Men's Coxed Eights","BUL"
"Rowing Men's Coxed Eights","CAN"
"Rowing Men's Coxed Eights","CHI"
"Rowing Men's Coxed Eights","CHN"
"Rowing Men's Coxed Eights","CRO"
"Rowing Men's Coxed Eights","CUB"
"Rowing Men's Coxed Eights","DEN"
"Rowing Men's Coxed Eights","EGY"
"Rowing Men's Coxed Eights","ESP"
"Rowing Men's Coxed Eights","EUN"
"Rowing Men's Coxed Eights","FIN"
"Rowing Men's Coxed Eights","FRA"
"Rowing Men's Coxed Eights","FRG"
"Rowing Men's Coxed Eights","GBR"
"Rowing Men's Coxed Eights","GDR"
"Rowing Men's Coxed Eights","GER"
"Rowing Men's Coxed Eights","HUN"
"Rowing Men's Coxed Eights","IRL"
"Rowing Men's Coxed Eights","ITA"
"Rowing Men's Coxed Eights","JPN"
"Rowing Men's Coxed Eights","KOR"
"Rowing Men's Coxed Eights","MEX"
"Rowing Men's Coxed Eights","NED"
"Rowing Men's Coxed Eights","NOR"
"Rowing Men's Coxed Eights","NZL"
"Rowing Men's Coxed Eights","POL"
"Rowing Men's Coxed Eights","POR"
"Rowing Men's Coxed Eights","ROU"
"Rowing Men's Coxed Eights","RSA"
"Rowing Men's Coxed Eights","RUS"
"Rowing Men's Coxed Eights","SUI"
"Rowing Men's Coxed Eights","SWE"
"Rowing Men's Coxed Eights","TCH"
"Rowing Men's Coxed Eights","UAR"
"Rowing Men's Coxed Eights","UKR"
"Rowing Men's Coxed Eights","URS"
"Rowing Men's Coxed Eights","USA"
"Rowing Men's Coxed Eights","YUG"
"Rowing Men's Coxed Fours","ARG"
"Rowing Men's Coxed Fours","AUS"
"Rowing Men's Coxed Fours","AUT"
"Rowing Men's Coxed Fours","BEL"
"Rowing Men's Coxed Fours","BRA"
"Rowing Men's Coxed Fours","BUL"
"Rowing Men's Coxed Fours","CAN"
"Rowing Men's Coxed Fours","CHN"
"Rowing Men's Coxed Fours","CRO"
"Rowing Men's Coxed Fours","CUB"
"Rowing Men's Coxed Fours","DEN"
"Rowing Men's Coxed Fours","EGY"
"Rowing Men's Coxed Fours","ESP"
"Rowing Men's Coxed Fours","EUN"
"Rowing Men's Coxed Fours","FIN"
"Rowing Men's Coxed Fours","FRA"
"Rowing Men's Coxed Fours","FRG"
"Rowing Men's Coxed Fours","GBR"
"Rowing Men's Coxed Fours","GDR"
"Rowing Men's Coxed Fours","GER"
"Rowing Men's Coxed Fours","GRE"
"Rowing Men's Coxed Fours","HUN"
"Rowing Men's Coxed Fours","IRL"
"Rowing Men's Coxed Fours","ITA"
"Rowing Men's Coxed Fours","JPN"
"Rowing Men's Coxed Fours","KOR"
"Rowing Men's Coxed Fours","MEX"
"Rowing Men's Coxed Fours","MON"
"Rowing Men's Coxed Fours","NED"
"Rowing Men's Coxed Fours","NOR"
"Rowing Men's Coxed Fours","NZL"
"Rowing Men's Coxed Fours","POL"
"Rowing Men's Coxed Fours","POR"
"Rowing Men's Coxed Fours","ROU"
"Rowing Men's Coxed Fours","SUI"
"Rowing Men's Coxed Fours","SWE"
"Rowing Men's Coxed Fours","TCH"
"Rowing Men's Coxed Fours","URS"
"Rowing Men's Coxed Fours","URU"
"Rowing Men's Coxed Fours","USA"
"Rowing Men's Coxed Fours","YUG"
"Rowing Men's Coxed Fours, Inriggers","DEN"
"Rowing Men's Coxed Fours, Inriggers","FRA"
"Rowing Men's Coxed Fours, Inriggers","NOR"
"Rowing Men's Coxed Fours, Inriggers","SWE"
"Rowing Men's Coxed Fours, Outriggers","AUT"
"Rowing Men's Coxed Fours, Outriggers","BEL"
"Rowing Men's Coxed Fours, Outriggers","DEN"
"Rowing Men's Coxed Fours, Outriggers","FIN"
"Rowing Men's Coxed Fours, Outriggers","FRA"
"Rowing Men's Coxed Fours, Outriggers","GBR"
"Rowing Men's Coxed Fours, Outriggers","GER"
"Rowing Men's Coxed Fours, Outriggers","NOR"
"Rowing Men's Coxed Fours, Outriggers","SWE"
"Rowing Men's Coxed Pairs","ARG"
"Rowing Men's Coxed Pairs","AUS"
"Rowing Men's Coxed Pairs","AUT"
"Rowing Men's Coxed Pairs","BEL"
"Rowing Men's Coxed Pairs","BRA"
"Rowing Men's Coxed Pairs","BUL"
"Rowing Men's Coxed Pairs","CAN"
"Rowing Men's Coxed Pairs","CHI"
"Rowing Men's Coxed Pairs","CUB"
"Rowing Men's Coxed Pairs","DEN"
"Rowing Men's Coxed Pairs","EGY"
"Rowing Men's Coxed Pairs","ESP"
"Rowing Men's Coxed Pairs","EUN"
"Rowing Men's Coxed Pairs","FIN"
"Rowing Men's Coxed Pairs","FRA"
"Rowing Men's Coxed Pairs","FRG"
"Rowing Men's Coxed Pairs","GBR"
"Rowing Men's Coxed Pairs","GDR"
"Rowing Men's Coxed Pairs","GER"
"Rowing Men's Coxed Pairs","GRE"
"Rowing Men's Coxed Pairs","HUN"
"Rowing Men's Coxed Pairs","IRL"
