Event,Number of Athletes
Rowing Men's 17-Man Naval Rowing Boats,16
Rowing Men's 6-Man Naval Rowing Boats,6
Rowing Men's Coxed Eights,9
Rowing Men's Coxed Fours,5
"Rowing Men's Coxed Fours, Inriggers",5
"Rowing Men's Coxed Fours, Outriggers",5
Rowing Men's Coxed Pairs,3
Rowing Men's Coxed Pairs (1 kilometres),3
Rowing Men's Coxed Pairs (1 mile),3
Rowing Men's Coxless Fours,4
Rowing Men's Coxless Pairs,2
Rowing Men's Double Sculls,2
Rowing Men's Lightweight Coxless Fours,4
Rowing Men's Lightweight Double Sculls,2
Rowing Men's Quadruple Sculls,4
Rowing Men's Single Sculls,1
Rowing Women's Coxed Eights,9
Rowing Women's Coxed Fours,5
Rowing Women's Coxed Quadruple Sculls,5
Rowing Women's Coxless Fours,4
Rowing Women's Coxless Pairs,2
Rowing Women's Double Sculls,2
Rowing Women's Lightweight Double Sculls,2
Rowing Women's Quadruple Sculls,4
Rowing Women's Single Sculls,1
