"Id","AthleteId","RecruitType","Year","Ranking","Player","School","CommittedTo","Position","Height","Weight","Stars","Rating","City","StateProvince","Country","HometownInfo Latitude","HometownInfo Longitude","HometownInfo FipsCode"
31870,3925357,"HighSchool",2015,12,"Calvin Ridley","Monarch","Alabama","WR",72,170,5,0.9932,"Pompano Beach","FL","USA",26.2378597,-80.1247667,12011
31877,3728254,"HighSchool",2015,18,"Deon Cain","Tampa Bay Tech","Clemson","WR",73.5,194,5,0.9902,"Tampa","FL","USA",27.9477595,-82.458444,12057
31878,3692942,"HighSchool",2015,19,"George Campbell","East Lake","Florida State","WR",75,184,5,0.9902,"Tarpon Springs","FL","USA",28.14808295,-82.743801597179,12103
31884,3895856,"HighSchool",2015,25,"Christian Kirk","Saguaro","Texas A&M","WR",70,191,5,0.9886,"Scottsdale","AZ","USA",33.4942189,-111.9260184,4013
31886,3894912,"HighSchool",2015,28,"Tyron Johnson","Warren Easton","LSU","WR",73,191,5,0.9879,"New Orleans","LA","USA",29.9499323,-90.0701156,22071
31902,-1021698,"HighSchool",2015,42,"Damarkus Lodge","Cedar Hill","Ole Miss","WR",74.5,190,4,0.9817,"Cedar Hill","TX","USA",32.5888072,-96.9553675,48113
31907,3915399,"HighSchool",2015,47,"Preston Williams","Lovejoy","Tennessee","WR",76,191,4,0.9769,"Hampton","GA","USA",33.3870578,-84.2829784,13151
31929,NA,"HighSchool",2015,70,"Trent Irwin","Hart","Stanford","WR",73.5,189,4,0.9629,"Newhall","CA","USA",37.3485422,-121.920398806921,6085
31949,3925343,"HighSchool",2015,92,"Daylon Charlot","Patterson","Alabama","WR",72,193,4,0.957,"Patterson","LA","USA",29.6933,-91.3021,6099
31958,3692779,"HighSchool",2015,100,"Da'Vante Phillips","Miami Central","Florida State","WR",74,204,4,0.9533,"Miami","FL","USA",25.7742658,-80.1936589,12086
31967,3930066,"HighSchool",2015,106,"Van Jefferson","Ravenwood","Ole Miss","WR",74,183,4,0.9517,"Brentwood","TN","USA",36.0325687,-86.7825235,47187
31976,3886838,"HighSchool",2015,120,"Alex Ofodile","Rock Bridge","Oregon","WR",74,185,4,0.9454,"Columbia","MO","USA",38.951883,-92.3337366,29019
31988,3929645,"HighSchool",2015,128,"Juwan Johnson","Glassboro","Penn State","WR",76,216,4,0.9428,"Glassboro","NJ","USA",39.7027677,-75.1119434,34015
31997,3929844,"HighSchool",2015,137,"John Burt","Lincoln","Texas","WR",75,180,4,0.9392,"Tallahassee","FL","USA",30.4380832,-84.2809332,12073
32000,3916945,"HighSchool",2015,140,"Darius Slayton","Greater Atlanta Christian School","Auburn","WR",73,182,4,0.938,"Norcross","GA","USA",33.9412127,-84.2135309,13135
32011,3915522,"HighSchool",2015,153,"K.J. Hill","North Little Rock","Ohio State","WR",72,188,4,0.933,"North Little Rock","AR","USA",34.769536,-92.2670941,5119
32015,3916069,"HighSchool",2015,159,"Jovon Durante","Miramar","West Virginia","WR",72,162,4,0.9314,"Miami","FL","USA",25.7742658,-80.1936589,12086
32019,3932442,"HighSchool",2015,162,"Equanimeous St. Brown","Servite","Notre Dame","WR",77,205,4,0.9298,"Anaheim","CA","USA",33.8347516,-117.911732,6059
32024,-1006248,"HighSchool",2015,163,"Carlos Strickland","Skyline","California","WR",77,194,4,0.9291,"Dallas","TX","USA",32.7762719,-96.7968559,48113
32027,3843469,"HighSchool",2015,166,"Derrick Dillon","Pine","LSU","WR",71,173,4,0.9272,"Franklinton","LA","USA",30.8471283,-90.153141,22117
32046,3916946,"HighSchool",2015,178,"Ryan Davis","Lakewood","Auburn","WR",70.5,172,4,0.9235,"Saint Petersburg","FL","USA",27.7703796,-82.6695085,12103
32036,NA,"HighSchool",2015,188,"JF Thomas","South Oak Cliff","Texas Tech","WR",76,185,4,0.9217,"Dallas","TX","USA",32.7762719,-96.7968559,48113
32044,3892773,"HighSchool",2015,196,"Blake Lynch","Gilmer","Baylor","WR",75,195,4,0.9199,"Gilmer","TX","USA",32.7312256,-94.9469309,48459
32054,3932423,"HighSchool",2015,203,"Miles Boykin","Providence Catholic","Notre Dame","WR",76,220,4,0.9177,"New Lenox","IL","USA",41.5119761,-87.9656098,17197
32075,NA,"HighSchool",2015,218,"Desean Holmes","Bishop Alemany","San Diego State","WR",70.5,170,4,0.9127,"Pasadena","CA","USA",34.1476452,-118.1444779,6037
32083,3929853,"HighSchool",2015,220,"Ryan Newsome","Aledo","Texas","WR",68,170,4,0.9119,"Aledo","TX","USA",32.69900905,-97.6039662977449,48367
32080,NA,"HighSchool",2015,222,"Cordell Broadus","Bishop Gorman","UCLA","WR",74,195,4,0.9117,"Las Vegas","NV","USA",36.1672559,-115.1485163,32003
32103,3915190,"HighSchool",2015,244,"Jayson Stanley","Creekside","Georgia","WR",74,198,4,0.9055,"Fairburn","GA","USA",33.5670562,-84.5810418,13121
32108,3929047,"HighSchool",2015,254,"Tristan Payton","First Coast","UCF","WR",72,182,4,0.9063,"Jacksonville","FL","USA",30.3321838,-81.655651,12031
32123,3921564,"HighSchool",2015,273,"Auden Tate","Wharton","Florida State","WR",76.5,215,4,0.9025,"Tampa","FL","USA",27.9477595,-82.458444,12057
32140,3917317,"HighSchool",2015,274,"Kemah Siverand","Cy Ridge","Texas A&M","WR",72,187,4,0.9024,"Houston","TX","USA",29.7589382,-95.3676974,48201
32126,3858276,"HighSchool",2015,276,"Jaylinn Hawkins","Buena Park","California","WR",73,180,4,0.9019,"Buena Park","CA","USA",33.870413,-117.9962165,6059
66934,NA,"HighSchool",2015,285,"Ahmad Wagner","Wayne",NA,"WR",79,190,4,0.9,"Dayton","OH","USA",39.7589478,-84.1916069,39113
32139,3932440,"HighSchool",2015,288,"CJ Sanders","Notre Dame","Notre Dame","WR",69,177,4,0.8997,"Sherman Oaks","CA","USA",34.1508718,-118.4489865,6037
32141,-1011317,"HighSchool",2015,290,"L.J. Reed","Cosumnes Oaks","Fresno State","WR",75,200,4,0.8994,"Elk Grove","CA","USA",38.4087993,-121.3716178,6067
32152,3843603,"HighSchool",2015,301,"Jazz Ferguson","West Feliciana","LSU","WR",77,205,4,0.8983,"Saint Francisville","LA","USA",30.7881,-91.3768,29045
32157,3915534,"HighSchool",2015,305,"Alex Stump","St. Edward","Ohio State","WR",75.5,195,4,0.8973,"Lakewood","OH","USA",41.4819932,-81.7981908,39035
66938,3929636,"HighSchool",2015,307,"Irvin Charles","Paul VI","Penn State","WR",76,212,4,0.8971,"Haddonfield","NJ","USA",39.8915022,-75.0376707,34007
32172,3929652,"HighSchool",2015,317,"Brandon Polk","Briar Woods","Penn State","WR",69,163,4,0.8947,"Ashburn","VA","USA",39.0437192,-77.4874899,51107
32206,3916417,"HighSchool",2015,328,"Devante Peete","St. Thomas Aquinas","Louisville","WR",77.5,195,4,0.8922,"Pompano Beach","FL","USA",26.2378597,-80.1247667,12011
32202,NA,"HighSchool",2015,329,"Kanya Bell","Long Beach Poly","San José State","WR",72,160,4,0.8914,"Diamond Bar","CA","USA",34.0286226,-117.8103367,6037
32207,3917007,"HighSchool",2015,330,"Chad President","Temple","Tulsa","WR",75,195,4,0.8914,"Temple","TX","USA",31.098207,-97.3427847,48027
32212,3915097,"HighSchool",2015,342,"Antonio Callaway","Booker T. Washington","Florida","WR",71,185,4,0.8902,"Miami","FL","USA",25.7742658,-80.1936589,12086
32195,3886828,"HighSchool",2015,345,"Isaiah Renfro","Sierra Canyon","Washington","WR",74,185,3,0.8898,"Chatsworth","CA","USA",34.2595715,-118.6023247,6037
32197,3917849,"HighSchool",2015,347,"Lawrence Cager","Calvert Hall College","Miami","WR",77,195,3,0.8895,"Towson","MD","USA",39.4018552,-76.602388,24005
32209,NA,"HighSchool",2015,348,"Brandon Martin","Prime Prep Academy","LSU","WR",76.5,200,3,0.8894,"Dallas","TX","USA",32.7762719,-96.7968559,48113
32210,3915416,"HighSchool",2015,355,"D.J. Moore","Imhotep Institute","Maryland","WR",72,180,3,0.8872,"Philadelphia","PA","USA",39.9527237,-75.1635262,42101
32245,3675229,"HighSchool",2015,372,"Terrell Chatman","Central","Arizona State","WR",75,180,3,0.8852,"Baton Rouge","LA","USA",30.4459596,-91.18738,22033
32229,3915167,"HighSchool",2015,377,"Michael Chigbu","Holy Cross","Georgia","WR",74,211,3,0.8838,"New Orleans","LA","USA",29.9499323,-90.0701156,22071
32230,3932430,"HighSchool",2015,378,"Jalen Guyton","Allen","Notre Dame","WR",73,190,3,0.8838,"Allen","TX","USA",33.1031744,-96.6705503,48085
32260,3928935,"HighSchool",2015,380,"Pooh Stricklin","Midway","Baylor","WR",75,180,3,0.8834,"Waco","TX","USA",31.549333,-97.1466695,48309
32236,-1023322,"HighSchool",2015,383,"Lavan Alston","St. Bonaventure","Nebraska","WR",72,170,3,0.8832,"Ventura","CA","USA",34.3435092,-119.295604231637,6111
32284,3699902,"HighSchool",2015,397,"Stanley Morgan","St. Augustine","Nebraska","WR",72,185,3,0.8806,"New Orleans","LA","USA",29.9499323,-90.0701156,22071
32258,3676529,"HighSchool",2015,413,"Jarrison Stewart","Horn","TCU","WR",71,172,3,0.8786,"Mesquite","TX","USA",32.7666103,-96.599472,48113
32282,3676928,"HighSchool",2015,434,"Jaelan Austin","South Grand Prairie","TCU","WR",74.5,190,3,0.8767,"Grand Prairie","TX","USA",32.657368,-97.0284662417503,48113
32288,3915821,"HighSchool",2015,437,"Tony Brown","La Mirada","Texas Tech","WR",73,175,3,0.8762,"La Mirada","CA","USA",33.9060971,-118.0107092,6037
32325,-1032041,"HighSchool",2015,470,"Christian Owens","Griffin","South Carolina","WR",77,207,3,0.8727,"Griffin","GA","USA",33.2467807,-84.2640904,13255
32326,3895826,"HighSchool",2015,471,"Juval Mollette","Randleman","North Carolina","WR",76,187,3,0.8727,"Randleman","NC","USA",35.8179143,-79.8030873,37151
32328,3924369,"HighSchool",2015,473,"D.J. Neal","Stephenson","South Carolina","WR",76,200,3,0.8727,"Stone Mountain","GA","USA",33.8080924,-84.1706273,13089
32333,3728242,"HighSchool",2015,478,"Shadell Bell","Columbia","Clemson","WR",75,190,3,0.8721,"Decatur","GA","USA",33.7737582,-84.296069,13089
32337,3929817,"HighSchool",2015,482,"Felton Davis III","Highland Springs","Michigan State","WR",75,175,3,0.8717,"Highland Springs","VA","USA",37.5460121,-77.3278441,51087
