"Name","Age","Reg_Tm","Lg","Reg_G","Reg_PA","Reg_AB","Reg_R","Reg_H","Reg_Doubles","Reg_Triples","Reg_HR","Reg_RBI","Reg_SB","Reg_CS","Reg_BB","Reg_SO","Reg_BA","Reg_OBP","Reg_SLG","Reg_OPS","OPS+","Reg_TB","Reg_GDP","Reg_HBP","Reg_SH","Reg_SF","Reg_IBB","OppQual","Spring_G","Spring_PA","Spring_AB","Spring_R","Spring_H","Spring_Doubles","Spring_Triples","Spring_HR","Spring_RBI","Spring_SB","Spring_CS","Spring_BB","Spring_SO","Spring_BA","Spring_OBP","Spring_SLG","Spring_OPS","Spring_TB","Spring_GDP","Spring_HBP","Spring_SH","Spring_SF","Spring_IBB"
"CJ Abrams",22,"WSN","NL",151,614,563,83,138,28,6,18,64,47,4,32,118,0.245,0.3,0.412,0.712,96,232,7,13,3,3,2,8.3,17,53,51,5,14,3,0,2,6,4,1,1,7,0.275,0.302,0.451,0.753,23,0,1,0,0,0
"José Abreu",36,"HOU","AL",141,594,540,62,128,23,1,18,90,0,1,42,130,0.237,0.296,0.383,0.68,87,207,16,6,0,6,1,8.3,10,31,26,2,8,2,0,1,4,0,0,4,6,0.308,0.419,0.5,0.919,13,1,1,0,0,0
"Wilyer Abreu",24,"BOS","AL",28,85,76,10,24,6,0,2,14,3,1,9,23,0.316,0.388,0.474,0.862,132,36,0,0,0,0,0,7.4,26,77,63,6,8,1,1,2,8,0,1,14,26,0.127,0.286,0.27,0.556,17,2,0,0,0,0
"Ronald Acuña Jr.",25,"ATL","NL",159,735,643,149,217,35,4,41,106,73,14,80,84,0.337,0.416,0.596,1.012,169,383,15,9,0,3,3,7.8,11,32,29,2,8,3,0,0,6,0,1,2,6,0.276,0.313,0.379,0.692,11,0,0,0,1,0
"Willy Adames",27,"MIL","NL",149,638,553,73,120,29,2,24,80,5,3,71,165,0.217,0.31,0.407,0.717,93,225,12,6,0,6,1,7.6,15,50,45,11,15,0,1,6,15,0,0,5,14,0.333,0.4,0.778,1.178,35,0,0,0,0,0
"Jordyn Adams",23,"LAA","AL",17,40,39,1,5,0,0,0,1,1,2,0,16,0.128,0.125,0.128,0.253,-30,5,0,0,0,1,0,7.1,13,26,19,5,4,2,1,0,0,2,0,7,6,0.211,0.423,0.421,0.844,8,0,0,0,0,0
"Riley Adams",27,"WSN","NL",44,158,143,8,39,13,2,4,21,0,0,11,45,0.273,0.331,0.476,0.807,121,68,5,2,1,1,0,7.7,11,31,28,6,8,2,0,1,4,0,1,2,5,0.286,0.355,0.464,0.819,13,2,1,0,0,0
"Jo Adell",24,"LAA","AL",17,62,58,7,12,3,1,3,6,1,0,4,25,0.207,0.258,0.448,0.706,88,26,1,0,0,0,0,7.2,26,53,47,10,11,3,2,2,6,6,0,5,18,0.234,0.302,0.511,0.813,24,1,0,0,1,0
"Ehire Adrianza",33,"ATL","NL",5,11,10,0,0,0,0,0,0,0,0,1,4,0,0.091,0,0.091,-72,0,0,0,0,0,0,7,20,38,34,5,7,0,0,2,4,0,0,3,5,0.206,0.27,0.382,0.653,13,1,0,1,0,0
"Nick Ahmed",33,"ARI","NL",72,210,198,14,42,10,1,2,17,5,1,12,52,0.212,0.257,0.303,0.56,54,60,0,0,0,0,0,7.4,13,37,31,6,11,1,1,2,7,1,0,5,6,0.355,0.459,0.645,1.105,20,1,1,0,0,0
"Ozzie Albies",26,"ATL","NL",148,660,596,96,167,30,5,33,109,13,1,46,107,0.28,0.336,0.513,0.849,125,306,9,8,0,8,2,7.6,19,54,49,7,11,3,0,2,5,1,0,5,8,0.224,0.296,0.408,0.704,20,1,0,0,0,0
"Jorge Alfaro",30,"TOT","MLB",18,52,48,2,7,4,0,1,4,0,0,2,15,0.146,0.212,0.292,0.503,32,14,3,2,0,0,0,7.2,15,29,28,2,6,2,0,0,1,0,0,0,14,0.214,0.241,0.286,0.527,8,0,1,0,0,0
"Jorge Alfaro",30,"COL","NL",10,32,31,2,5,4,0,1,4,0,0,0,12,0.161,0.188,0.387,0.575,45,12,2,1,0,0,0,7.2,15,29,28,2,6,2,0,0,1,0,0,0,14,0.214,0.241,0.286,0.527,8,0,1,0,0,0
"Jorge Alfaro",30,"BOS","AL",8,20,17,0,2,0,0,0,0,0,0,2,3,0.118,0.25,0.118,0.368,5,2,1,1,0,0,0,7.2,15,29,28,2,6,2,0,0,1,0,0,0,14,0.214,0.241,0.286,0.527,8,0,1,0,0,0
"Greg Allen",30,"NYY","AL",22,28,23,6,5,1,1,1,1,3,1,2,10,0.217,0.333,0.478,0.812,119,11,0,2,1,0,0,7.1,16,31,26,1,5,1,1,0,4,3,0,2,7,0.192,0.323,0.308,0.63,8,0,3,0,0,0
"Nick Allen",24,"OAK","AL",106,329,303,29,67,4,2,4,20,5,1,17,52,0.221,0.263,0.287,0.55,56,87,8,1,6,2,0,7.4,11,28,23,2,6,0,2,1,7,1,0,4,2,0.261,0.357,0.565,0.922,13,1,0,0,1,0
