"rank","Player","begin_year","end_year","Pos","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","DP","BA","OBP","SLG","OPS","OPS+"
1,"Oscar Charleston",1915,1941,"CF",1358,5815,4978,1174,1733,327,113,187,1150,310,7,657,21,0,38,141,1,0,0.348,0.428,0.572,0,172
2,"Cool Papa Bell",1922,1946,"CF",1297,5849,5135,1227,1658,279,83,58,634,304,1,586,19,1,17,110,1,0,0.323,0.394,0.443,0.837,119
3,"Turkey Stearnes",1923,1940,"CF",1061,4612,4068,983,1413,252,124,200,1078,143,3,441,15,0,33,69,1,0,0.347,0.415,0.618,1.033,173
4,"Willie Wells",1924,1948,"SS",1115,4866,4210,986,1375,279,72,149,916,164,3,515,14,1,37,103,1,0,0.327,0.405,0.533,0.938,142
5,"Jud Wilson",1922,1945,"3B",1123,4486,3870,804,1372,256,64,100,888,122,6,488,7,1,57,67,4,0,0.355,0.434,0.531,0.965,156
6,"John Henry Lloyd",1906,1932,"SS",995,4208,3783,650,1301,206,66,30,678,135,2,284,6,NA,10,131,0,NA,0.344,0.391,0.457,0.848,142
7,"Biz Mackey",1920,1947,"C",1066,4152,3673,602,1206,207,67,66,710,71,11,365,21,4,20,92,2,0,0.328,0.392,0.475,0.867,132
8,"Mule Suttles",1923,1944,"1B",1000,4028,3550,780,1196,234,84,193,950,93,1,406,22,5,19,53,0,2,0.337,0.408,0.613,1.021,165
9,"Newt Allen",1923,1947,"2B",1086,4681,4187,702,1193,188,60,23,525,163,3,346,32,0,22,126,0,1,0.285,0.343,0.375,0.718,104
10,"Ben Taylor",1909,1929,"1B",946,3924,3474,559,1147,194,67,35,670,100,0,348,5,2,18,83,1,NA,0.33,0.394,0.455,0.849,139
11,"Judy Johnson",1918,1936,"3B",1007,4115,3732,626,1103,193,62,38,612,94,9,263,30,0,11,107,2,2,0.296,0.344,0.411,0.755,100
12,"Cristóbal Torriente",1913,1932,"CF",904,3739,3195,647,1084,200,77,64,713,145,4,439,19,0,27,72,6,0,0.339,0.423,0.51,0.933,174
13,"Josh Gibson",1930,1946,"C",815,3411,2932,764,1061,176,74,202,896,46,2,435,23,21,11,29,4,1,0.362,0.446,0.679,1.125,201
14,"Dewey Creacy",1924,1938,"3B",984,4079,3607,611,1049,149,62,87,643,53,1,343,7,NA,19,109,1,NA,0.291,0.355,0.439,0.794,101
15,"Hurley McNair",1910,1937,"RF",848,3645,3189,633,1025,147,77,48,567,134,4,340,11,2,21,92,3,0,0.321,0.39,0.461,0.851,139
16,"Chaney White",1920,1936,"CF",857,3670,3260,658,1012,146,54,35,527,79,1,317,15,0,22,70,1,2,0.31,0.375,0.421,0.796,111
17,"Dick Lundy",1916,1937,"SS",857,3522,3140,562,1001,171,53,50,594,111,3,289,15,2,20,72,1,1,0.319,0.38,0.455,0.834,126
18,"Frank Warfield",1914,1932,"2B",983,4301,3675,683,963,131,52,14,382,167,7,390,31,0,26,205,5,2,0.262,0.337,0.337,0.674,83
19,"Clint Thomas",1920,1938,"CF",859,3619,3189,598,962,177,65,65,581,165,12,277,19,0,27,124,2,2,0.302,0.362,0.459,0.821,116
20,"Vic Harris",1922,1947,"LF",840,3548,3136,618,952,149,64,41,500,40,3,331,12,0,24,54,3,3,0.304,0.374,0.431,0.805,113
21,"Crush Holloway",1921,1939,"RF",883,3824,3472,582,944,131,52,30,410,149,2,247,9,0,15,89,1,NA,0.272,0.323,0.365,0.688,83
22,"Jerry Benjamin",1932,1948,"CF",777,3511,3100,645,914,109,41,28,364,139,2,313,10,1,16,81,1,3,0.295,0.362,0.384,0.746,103
23,"George Scales",1921,1946,"2B",849,3336,2777,575,909,214,51,73,619,58,0,463,28,2,23,71,2,5,0.327,0.427,0.52,0.947,143
24,"Branch Russell",1922,1936,"RF",789,3473,2956,645,908,135,75,57,502,72,NA,385,3,NA,22,110,0,NA,0.307,0.391,0.461,0.852,114
