"last_name, first_name","player_id","year","pa","k_percent","bb_percent"
"Flexen, Chris",623167,2024,707,17.4,8.9
"Corbin, Patrick",571578,2024,764,18.2,7.1
"Anderson, Tyler",542881,2024,765,18.6,9.5
"Assad, Javier",665871,2024,638,19.4,9.9
"Sale, Chris",519242,2024,702,32.1,5.6
"Crochet, Garrett",676979,2024,595,35.1,5.5
"Ragans, Cole",666142,2024,762,29.3,8.8
"Bassitt, Chris",605135,2024,758,22.2,9.2
"King, Michael",650633,2024,726,27.7,8.7
"Crawford, Kutter",676710,2024,759,23.1,6.7
"Fedde, Erick",607200,2024,726,21.2,7.2
"Heaney, Andrew",571760,2024,693,22.9,5.9
"Fried, Max",608331,2024,714,23.2,8
"Estes, Joey",683155,2024,543,16.9,5
"Suárez, Albert",544150,2024,565,19.1,7.6
"Pallante, Andre",669467,2024,509,18.5,9.4
"Miller, Bryce",682243,2024,704,24.3,6.4
"Burnes, Corbin",669203,2024,784,23.1,6.1
"López, Reynaldo",625643,2024,543,27.3,7.7
"Civale, Aaron",650644,2024,689,21.6,7.5
"Gallen, Zac",668678,2024,621,25.1,8.7
"Wacha, Michael",608379,2024,685,21.2,6.6
"Rea, Colin",607067,2024,714,18.9,6
"Greene, Hunter",668881,2024,611,27.7,9.3
"Gilbert, Logan",669302,2024,803,27.4,4.6
"Bradley, Taj",671737,2024,578,26.6,8.1
"Spence, Mitch",687765,2024,651,19.4,6.8
"Lugo, Seth",607625,2024,836,21.7,5.7
"Myers, Tobias",668964,2024,569,22.3,6.3
"Canning, Griffin",656288,2024,739,17.6,8.9
"Peterson, David",656849,2024,510,19.8,9
"Lively, Ben",594902,2024,632,18.7,7.8
"Nola, Aaron",605400,2024,820,24,6.1
"Ober, Bailey",641927,2024,709,26.9,6.1
"Pepiot, Ryan",686752,2024,539,26.3,8.9
"Marsh, Alec",679525,2024,548,22.4,7.1
"Taillon, Jameson",592791,2024,675,18.5,4.9
"Stroman, Marcus",573186,2024,675,16.7,8.9
"Montas, Frankie",593423,2024,655,22.6,10.1
"Littell, Zack",641793,2024,656,21.5,4.7
"Kikuchi, Yusei",579328,2024,736,28,6
"Woods Richardson, Simeon",680573,2024,569,20.6,8.4
"Kirby, George",669923,2024,778,23,3
"Irvin, Jake",663623,2024,769,20.3,6.8
"Feltner, Ryan",663372,2024,692,19.9,7.5
"Cortes Jr., Nestor",641482,2024,710,22.8,5.5
"Ortiz, Luis",682847,2024,556,19.2,7.6
"Brown, Hunter",686613,2024,712,25.1,8.4
"Jones, Jared",683003,2024,504,26.2,7.7
"Berríos, José",621244,2024,786,19.5,6.9
"Peralta, Freddy",642547,2024,725,27.6,9.4
"Flaherty, Jack",656427,2024,649,29.9,5.9
"Gibson, Kyle",502043,2024,722,20.9,9.4
"Montgomery, Jordan",656756,2024,532,15.6,8.3
"Arrighetti, Spencer",681293,2024,632,27.1,10.3
"Suárez, Ranger",624133,2024,626,23.2,6.5
"Ryan, Joe",657746,2024,538,27.3,4.3
"Eovaldi, Nathan",543135,2024,696,23.9,6
"Harrison, Kyle",690986,2024,532,22.2,7.9
"Martinez, Nick",607259,2024,570,20.4,3.2
"Skenes, Paul",694973,2024,514,33.1,6.2
"Morton, Charlie",450203,2024,701,23.8,9.3
"Nelson, Ryne",669194,2024,630,20,5.4
"Steele, Justin",657006,2024,555,24.3,6.7
"Gomber, Austin",596295,2024,696,16.7,5.5
"Wheeler, Zack",554430,2024,787,28.5,6.6
"Valdez, Framber",664285,2024,703,24,7.8
"Cease, Dylan",656302,2024,762,29.4,8.5
"Keller, Mitch",656605,2024,773,21.5,6.5
"López, Pablo",641154,2024,772,25.6,5.3
"Houck, Tanner",656557,2024,743,20.7,6.5
"Rodón, Carlos",607074,2024,736,26.5,7.7
"Pivetta, Nick",601713,2024,595,28.9,6.1
"Gray, Sonny",543243,2024,671,30.3,5.8
"Manaea, Sean",640455,2024,738,24.9,8.5
"Webb, Logan",657277,2024,841,20.5,5.9
"Pfaadt, Brandon",694297,2024,760,24.3,5.5
"Falter, Bailey",663559,2024,589,16.5,7.6
"Rogers, Trevor",669432,2024,562,17.3,10
"Abbott, Andrew",671096,2024,586,19.5,8.9
"Skubal, Tarik",669373,2024,753,30.3,4.6
"Gil, Luis",661563,2024,637,26.8,12.1
"Castillo, Luis",622491,2024,719,24.3,6.5
"Kremer, Dean",665152,2024,553,22.2,9.2
"Gore, MacKenzie",669022,2024,731,24.8,8.9
"Sánchez, Cristopher",650911,2024,754,20.3,5.8
"Sears, JP",676664,2024,758,18.1,6.5
"Mikolas, Miles",571945,2024,720,16.9,3.5
"Bello, Brayan",678394,2024,702,21.8,9.1
"Pérez, Martín",527048,2024,590,18.1,8.3
"Glasnow, Tyler",607192,2024,522,32.2,6.7
"Quantrill, Cal",615698,2024,656,16.8,10.5
"Singer, Brady",663903,2024,762,22.3,7.1
"Imanaga, Shota",684007,2024,694,25.1,4
"Severino, Luis",622663,2024,761,21.2,7.9
"Waldron, Matt",663362,2024,625,21.3,6.4
"Gausman, Kevin",592332,2024,756,21.4,7.4
"Lynn, Lance",458681,2024,511,21.3,8.6
"Eflin, Zach",621107,2024,684,19.6,3.5
"Parker, Mitchell",680730,2024,646,20.6,6.7
"Lorenzen, Michael",547179,2024,535,18.1,11
"Quintana, Jose",500779,2024,717,18.8,8.8
"Stone, Gavin",694813,2024,580,20,6.4
"Bibee, Tanner",676440,2024,710,26.3,6.2
"Hendricks, Kyle",543294,2024,567,15.3,7.6
"Blanco, Ronel",669854,2024,676,24.6,10.1
"Cannon, Jonathan",686563,2024,522,17.4,7.7
