name,team,position,height,height_inches,wingspan,wingspan_inches,wingspan_advantage,games,minutes,fg_percent,avg_dist_of_fg,2pt_rate,3pt_rate,2pt_percent,3pt_percent,e_fg_percent,ft_percent,ts_percent
AJ Johnson,WAS,SG,"6'4.25""",76.25,"6'8.5""",80.5,4.25,29,639,0.385,12,0.577,0.423,0.472,0.267,0.441,0.865,0.48
Aaron Gordon,DEN,PF,"6'7.5""",79.5,"6'11.75""",83.75,4.25,51,1447,0.531,11.8,0.654,0.346,0.582,0.436,0.607,0.81,0.65
Aaron Holiday,HOU,PG,"5'11.75""",71.75,"6'7.5""",79.5,7.75,62,792,0.437,20.8,0.325,0.675,0.517,0.398,0.571,0.829,0.594
Aaron Nesmith,IND,SF,"6'5""",77,"6'10""",82,5,45,1123,0.507,15.7,0.485,0.515,0.587,0.431,0.617,0.913,0.653
Aaron Wiggins,OKC,SG,"6'4.5""",76.5,"6'9.75""",81.75,5.25,76,1744,0.488,14.2,0.534,0.466,0.578,0.383,0.577,0.831,0.596
Adem Bona,PHI,C,"6'8.25""",80.25,"7'3.75""",87.75,7.5,58,905,0.703,2.3,0.995,0.005,0.707,0,0.703,0.67,0.714
Ajay Mitchell,OKC,SG,"6'3.25""",75.25,"6'6.25""",78.25,3,36,597,0.495,12.2,0.674,0.326,0.548,0.383,0.557,0.829,0.587
Al Horford,BOS,C,"6'8""",80,"7'0.75""",84.75,4.75,60,1659,0.423,19,0.319,0.681,0.551,0.363,0.547,0.895,0.563
Alec Burks,MIA,SG,"6'5""",77,"6'10""",82,5,49,863,0.424,20.8,0.236,0.764,0.422,0.425,0.587,0.776,0.608
Alex Caruso,OKC,PG,"6'4""",76,"6'6""",78,2,54,1041,0.446,15.2,0.459,0.541,0.556,0.353,0.541,0.824,0.568
Alex Len,LAL,C,"6'11.5""",83.5,"7'3.5""",87.5,4,46,380,0.508,7.5,0.857,0.143,0.556,0.222,0.524,0.471,0.525
Alex Sarr,WAS,PF,"6'11.75""",83.75,"7'4.25""",88.25,4.5,67,1814,0.394,14.4,0.588,0.412,0.454,0.308,0.457,0.679,0.482
Alperen Şengün,HOU,C,"6'10""",82,"7'0.5""",84.5,2.5,76,2395,0.496,7.5,0.921,0.079,0.519,0.233,0.505,0.692,0.545
Amen Thompson,HOU,SF,"6'5.75""",77.75,"7'0""",84,6.25,69,2225,0.557,7.8,0.869,0.131,0.599,0.275,0.575,0.684,0.602
Amir Coffey,LAC,SF,"6'6.75""",78.75,"6'7.25""",79.25,0.5,72,1748,0.471,16.2,0.516,0.484,0.529,0.409,0.57,0.891,0.614
Andre Drummond,PHI,C,"6'9.75""",81.75,"7'6.25""",90.25,8.5,40,751,0.5,5.4,0.915,0.085,0.533,0.15,0.506,0.622,0.535
Andre Jackson Jr.,MIL,SF,"6'5.5""",77.5,"6'9.75""",81.75,4.25,67,980,0.477,12.2,0.614,0.386,0.529,0.395,0.553,0.5,0.554
Andrew Nembhard,IND,PG,"6'3""",75,"6'5.75""",77.75,2.75,65,1881,0.458,14.9,0.675,0.325,0.538,0.291,0.506,0.794,0.545
Andrew Wiggins,MIA,SF,"6'7""",79,"7'0""",84,5,60,1842,0.448,14.5,0.585,0.415,0.501,0.374,0.526,0.763,0.566
Anfernee Simons,POR,PG,"6'2.25""",74.25,"6'9.25""",81.25,7,70,2292,0.426,17.9,0.473,0.527,0.496,0.363,0.521,0.902,0.557
Anthony Black,ORL,PG,"6'5.75""",77.75,"6'7.5""",79.5,1.75,78,1887,0.423,12,0.685,0.315,0.471,0.318,0.473,0.761,0.521
Anthony Davis,DAL,C,"6'9.25""",81.25,"7'5.5""",89.5,8.25,51,1706,0.516,10.8,0.864,0.136,0.553,0.282,0.536,0.775,0.588
Anthony Edwards,MIN,SG,"6'3""",75,"6'9""",81,6,79,2871,0.447,16.9,0.497,0.503,0.501,0.395,0.547,0.837,0.595
Anthony Gill,WAS,PF,"6'7.5""",79.5,"6'11""",83,3.5,51,397,0.489,11.8,0.648,0.352,0.579,0.323,0.545,0.66,0.586
Anton Watson,NYK,PF,"6'7""",79,"7'0""",84,5,9,22,0.444,6.4,0.889,0.111,0.5,0,0.444,NA,0.444
Ausar Thompson,DET,SF,"6'5.75""",77.75,"7'0""",84,6.25,59,1328,0.535,6,0.893,0.107,0.572,0.224,0.547,0.641,0.568
Austin Reaves,LAL,SG,"6'4.5""",76.5,"6'6.25""",78.25,1.75,73,2550,0.46,17.1,0.488,0.512,0.547,0.377,0.556,0.877,0.616
Ayo Dosunmu,CHI,SG,"6'3.5""",75.5,"6'10.25""",82.25,6.75,46,1394,0.492,12.4,0.579,0.421,0.612,0.328,0.561,0.785,0.585
Bam Adebayo,MIA,C,"6'8.75""",80.75,"7'2.75""",86.75,6,78,2674,0.485,11.4,0.801,0.199,0.517,0.357,0.521,0.765,0.561
Baylor Scheierman,BOS,SG,"6'6.25""",78.25,"6'8.25""",80.25,2,31,384,0.355,21.3,0.255,0.745,0.464,0.317,0.473,0.75,0.49
Ben Sheppard,IND,SG,"6'5.25""",77.25,"6'7.75""",79.75,2.5,63,1228,0.418,18.3,0.307,0.693,0.591,0.342,0.537,0.889,0.555
