name,team,position,height,height_inches,wingspan,wingspan_inches,wingspan_advantage,games,minutes,avg_dist_of_fg,2pt_rate,3pt_rate,fg_percent,2pt_percent,3pt_percent,ft_percent,e_fg_percent,ts_percent,pts,trb,stl,blk,d_rtg,dws,dbpm
AJ Johnson,WAS,SG,"6'4.25""",76.25,"6'8.5""",80.5,4.25,29,639,12,0.577,0.423,0.385,0.472,0.267,0.865,0.441,0.48,12.4,3.3,0.7,0.2,123,0,-2.5
Aaron Gordon,DEN,PF,"6'7.5""",79.5,"6'11.75""",83.75,4.25,51,1447,11.8,0.654,0.346,0.531,0.582,0.436,0.81,0.607,0.65,18.6,6.1,0.6,0.3,120,0.7,-1.5
Aaron Holiday,HOU,PG,"5'11.75""",71.75,"6'7.5""",79.5,7.75,62,792,20.8,0.325,0.675,0.437,0.517,0.398,0.829,0.571,0.594,15.5,3.5,0.9,0.5,114,0.8,0.1
Aaron Nesmith,IND,SF,"6'5""",77,"6'10""",82,5,45,1123,15.7,0.485,0.515,0.507,0.587,0.431,0.913,0.617,0.653,17.3,5.7,1.1,0.5,116,1,-0.5
Aaron Wiggins,OKC,SG,"6'4.5""",76.5,"6'9.75""",81.75,5.25,76,1744,14.2,0.534,0.466,0.488,0.578,0.383,0.831,0.577,0.596,18.9,6.1,1.2,0.4,110,2.7,-0.2
Adem Bona,PHI,C,"6'8.25""",80.25,"7'3.75""",87.75,7.5,58,905,2.3,0.995,0.005,0.703,0.707,0,0.67,0.703,0.714,13.4,9.7,1,2.7,115,0.9,0.2
Ajay Mitchell,OKC,SG,"6'3.25""",75.25,"6'6.25""",78.25,3,36,597,12.2,0.674,0.326,0.495,0.548,0.383,0.829,0.557,0.587,14.1,4.1,1.5,0.2,111,0.9,0.9
Al Horford,BOS,C,"6'8""",80,"7'0.75""",84.75,4.75,60,1659,19,0.319,0.681,0.423,0.551,0.363,0.895,0.547,0.563,11.7,8,0.8,1.1,111,2.4,1.1
Alec Burks,MIA,SG,"6'5""",77,"6'10""",82,5,49,863,20.8,0.236,0.764,0.424,0.422,0.425,0.776,0.587,0.608,14.9,5.2,1.2,0.3,114,0.9,0.3
Alex Caruso,OKC,PG,"6'4""",76,"6'6""",78,2,54,1041,15.2,0.459,0.541,0.446,0.556,0.353,0.824,0.541,0.568,13.2,5.5,3,1,104,2.3,3.9
Alex Sarr,WAS,PF,"6'11.75""",83.75,"7'4.25""",88.25,4.5,67,1814,14.4,0.588,0.412,0.394,0.454,0.308,0.679,0.457,0.482,17.2,8.6,0.9,2,117,1.3,-1
Alperen Şengün,HOU,C,"6'10""",82,"7'0.5""",84.5,2.5,76,2395,7.5,0.921,0.079,0.496,0.519,0.233,0.692,0.505,0.545,21.8,11.8,1.3,0.9,108,4.2,1.8
Amen Thompson,HOU,SF,"6'5.75""",77.75,"7'0""",84,6.25,69,2225,7.8,0.869,0.131,0.557,0.599,0.275,0.684,0.575,0.602,15.7,9.1,1.6,1.4,108,3.9,2.6
Amir Coffey,LAC,SF,"6'6.75""",78.75,"6'7.25""",79.25,0.5,72,1748,16.2,0.516,0.484,0.471,0.529,0.409,0.891,0.57,0.614,14.3,3.3,0.8,0.1,115,1.7,-0.2
Andre Drummond,PHI,C,"6'9.75""",81.75,"7'6.25""",90.25,8.5,40,751,5.4,0.915,0.085,0.5,0.533,0.15,0.622,0.506,0.535,14,14.9,1.9,0.9,112,1,-0.8
Andre Jackson Jr.,MIL,SF,"6'5.5""",77.5,"6'9.75""",81.75,4.25,67,980,12.2,0.614,0.386,0.477,0.529,0.395,0.5,0.553,0.554,8.4,6.7,1.2,0.5,114,1,0.2
Andrew Nembhard,IND,PG,"6'3""",75,"6'5.75""",77.75,2.75,65,1881,14.9,0.675,0.325,0.458,0.538,0.291,0.794,0.506,0.545,12.5,4.1,1.5,0.2,116,1.7,0.3
Andrew Wiggins,MIA,SF,"6'7""",79,"7'0""",84,5,60,1842,14.5,0.585,0.415,0.448,0.501,0.374,0.763,0.526,0.566,21.1,5.3,1.2,1,113,2.1,-0.3
Anfernee Simons,POR,PG,"6'2.25""",74.25,"6'9.25""",81.25,7,70,2292,17.9,0.473,0.527,0.426,0.496,0.363,0.902,0.521,0.557,21.2,3,0.9,0.1,119,1.2,-1.5
Anthony Black,ORL,PG,"6'5.75""",77.75,"6'7.5""",79.5,1.75,78,1887,12,0.685,0.315,0.423,0.471,0.318,0.761,0.473,0.521,14,4.4,1.6,0.9,110,3,1.2
Anthony Davis,DAL,C,"6'9.25""",81.25,"7'5.5""",89.5,8.25,51,1706,10.8,0.864,0.136,0.516,0.553,0.282,0.775,0.536,0.588,26.6,12.5,1.2,2.3,108,3,1.5
Anthony Edwards,MIN,SG,"6'3""",75,"6'9""",81,6,79,2871,16.9,0.497,0.503,0.447,0.501,0.395,0.837,0.547,0.595,27.3,5.6,1.1,0.6,112,3.8,0
Ausar Thompson,DET,SF,"6'5.75""",77.75,"7'0""",84,6.25,59,1328,6,0.893,0.107,0.535,0.572,0.224,0.641,0.547,0.568,16.1,8.2,2.7,1.1,108,2.4,2.5
Austin Reaves,LAL,SG,"6'4.5""",76.5,"6'6.25""",78.25,1.75,73,2550,17.1,0.488,0.512,0.46,0.547,0.377,0.877,0.556,0.616,20.8,4.6,1.1,0.3,117,2.1,-0.5
Ayo Dosunmu,CHI,SG,"6'3.5""",75.5,"6'10.25""",82.25,6.75,46,1394,12.4,0.579,0.421,0.492,0.612,0.328,0.785,0.561,0.585,14.6,4.2,1.1,0.5,118,1,-0.2
Bam Adebayo,MIA,C,"6'8.75""",80.75,"7'2.75""",86.75,6,78,2674,11.4,0.801,0.199,0.485,0.517,0.357,0.765,0.521,0.561,19,10.1,1.3,0.7,110,4,1
Ben Sheppard,IND,SG,"6'5.25""",77.25,"6'7.75""",79.75,2.5,63,1228,18.3,0.307,0.693,0.418,0.591,0.342,0.889,0.537,0.555,9.7,5.2,1.1,0.4,116,1,0.2
Bennedict Mathurin,IND,SF,"6'4.5""",76.5,"6'9""",81,4.5,72,2149,13.2,0.662,0.338,0.458,0.519,0.34,0.831,0.516,0.579,19.4,6.4,0.8,0.4,116,1.8,-1.5
Bilal Coulibaly,WAS,SF,"6'6""",78,"7'2.5""",86.5,9,59,1948,13.3,0.641,0.359,0.421,0.5,0.281,0.746,0.472,0.515,13.4,5.4,1.4,0.8,120,0.9,-0.7
Blake Wesley,SAS,PG,"6'3""",75,"6'9.25""",81.25,6.25,58,683,10.8,0.688,0.312,0.435,0.5,0.293,0.623,0.481,0.51,11.4,3.2,2,0.3,118,0.4,-0.3
Bobby Portis,MIL,PF,"6'9.5""",81.5,"7'2""",86,4.5,49,1244,14.1,0.701,0.299,0.466,0.508,0.365,0.836,0.52,0.542,19.7,11.9,1,0.8,110,1.9,-0.4
Bogdan Bogdanović,LAC,SG,"6'5.5""",77.5,"6'11""",83,5.5,54,1348,18.7,0.413,0.587,0.427,0.517,0.363,0.879,0.534,0.559,15.6,4.2,1.1,0.3,116,1.2,-0.2
Bol Bol,PHX,C,"7'0.75""",84.75,"7'7""",91,6.25,36,448,17.3,0.492,0.508,0.525,0.711,0.344,0.769,0.612,0.627,19.6,8.4,0.7,2,117,0.3,-0.9
Bradley Beal,PHX,SG,"6'3.25""",75.25,"6'8""",80,4.75,53,1702,15.2,0.62,0.38,0.497,0.565,0.386,0.803,0.571,0.598,19.1,3.7,1.2,0.6,121,0.6,-1
Brandin Podziemski,GSW,SG,"6'3.75""",75.75,"6'5.5""",77.5,1.75,64,1716,17.2,0.509,0.491,0.445,0.516,0.372,0.758,0.537,0.557,15.7,6.8,1.4,0.3,112,2.3,0.8
