id,Name,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
66998,Sonika,SBD,Raw,24,24-34,24-39,Open,56.9,57,NA,NA,NA,NA,22.5,NA,NA,NA,NA,25,NA,NA,NA,NA,60,107.5,10,123.3,124.91,110.46,25.25,Yes,NA,NA,PI,IPF,2018-09-26,India,NA,Lucknow,Indian Classic Powerlifting Championships,Yes
69873,Tatyana Butukhanova,SBD,Raw,21.5,20-23,19-23,Open,61.65,63,NA,NA,NA,NA,70,NA,NA,NA,NA,45,NA,NA,NA,NA,115,230,3,250.68,251.12,221.8,51.04,Yes,NA,NA,FPR,IPF,2016-05-20,Russia,IRK,Usolye-Sibirskoye,Irkutsk Oblast Powerlifting Cup,Yes
40279,Kortney Stock,SBD,Raw,49,45-49,50-59,M45-49,64.1,67.5,92.5,102.5,-112.5,NA,102.5,55,60,62.5,NA,62.5,117.5,125,-132.5,NA,125,290,1,308.65,307.42,271.39,62.75,Yes,USA,AZ,WRPF,WRPF,2024-08-17,USA,AZ,Flagstaff,Ponderosa Classic,Yes
17803,Daniela Prado,SBD,Raw,23.5,24-34,24-39,FR-O,56.95,57,90,97.5,105,NA,105,52.5,57.5,-62.5,NA,57.5,90,97.5,110,NA,110,272.5,1,312.38,316.42,279.8,63.96,Yes,USA,NC,USAPL,IPF,2021-05-08,USA,SC,NA,Ladies Of Steel,Yes
69331,Tamara van der Heijden,SBD,Raw,23.5,24-34,24-39,Open,61.13,63,117.5,125,130,NA,130,52.5,57.5,-62.5,NA,57.5,117.5,125,-130,NA,125,312.5,11,342.39,343.42,303.36,69.74,Yes,Netherlands,NA,KNKF-SP,IPF,2025-04-19,Netherlands,NA,Nijmegen,SBD Paascup,Yes
61929,Rosa Amelia Gonzalez Giron,SBD,Raw,43,40-44,40-49,Open,60.1,63,124.74,133.81,142.88,NA,142.88,52.16,61.23,-63.5,NA,61.23,133.81,142.88,145.15,NA,145.15,349.27,1,386.78,388.89,343.6,78.86,Yes,NA,NA,Fedepotencia,IPF,2023-03-12,Guatemala,NA,Complejo Deportivo de Escuintla,Campeonato Departamental Open Powerlifting Escuintla,Yes
5108,Amy Lundsten,SBD,Raw,36.5,35-39,24-39,FR-O,65.7,72,77.5,92.5,-100,NA,92.5,52.5,55,57.5,NA,57.5,127.5,137.5,142.5,NA,142.5,292.5,1,306.78,304.45,268.68,62.34,Yes,USA,TX,USAPL,IPF,2020-09-26,USA,TX,NA,Absolute Recomp Rookie Meet,Yes
18504,Darya Polyarzh,SBD,Single-ply,14.5,13-15,14-18,Juniors,51.1,52,NA,NA,NA,NA,45,NA,NA,NA,NA,27.5,NA,NA,NA,NA,75,147.5,2,182,186.37,165.31,30.41,Yes,NA,NA,FPR,IPF,2011-01-22,Russia,IRK,Cheremkhovo,Irkutsk Oblast Juniors Powerifting Championships,Yes
17101,Cristiana Abegail Halili,SBD,Single-ply,29.5,24-34,24-39,Novice,59.2,63,NA,NA,NA,NA,80,NA,NA,NA,NA,45,NA,NA,NA,NA,110,235,2,262.73,264.74,233.96,44,Yes,NA,NA,PAP,IPF,2024-09-28,Philippines,NA,NA,Central & Northern Luzon Equipped Powerlifting Championships,Yes
49062,Marion Vota,SBD,Single-ply,22,20-23,19-23,Espoirs,71.35,72,110,115,120,NA,120,-60,60,-65,NA,60,120,127.5,132.5,NA,132.5,312.5,1,312.68,306.87,270.37,52.82,Yes,NA,NA,FFHMFAC,IPF,2013-02-23,France,NA,Châteauroux,Championnats de France Force Athlétique Jeunes,Yes
44695,Lisa Qu,SBD,Raw,20.5,20-23,19-23,FR-Jr,61.6,63,117.5,122.5,-127.5,NA,122.5,50,55,-60,NA,55,127.5,137.5,147.5,NA,147.5,325,1,354.4,355.06,313.61,72.16,Yes,USA,MO,USAPL,IPF,2018-11-11,USA,MO,NA,Missouri Collegiate Championships,Yes
74664,Yara El Haddad,SBD,Raw,22.5,20-23,19-23,Juniors,51.75,52,140,-145,145,NA,145,80,82.5,85,NA,85,160,165,167.5,NA,167.5,397.5,1,486.14,497.38,440.97,100.79,Yes,Lebanon,NA,IPF,IPF,2024-08-28,Malta,NA,St. Paul's Bay,World Junior and Sub-Juniors Powerlifting Championships,Yes
5117,Amy Martin #2,SBD,Raw,33.5,24-34,24-39,FR-O,73.6,76,115,120,125,NA,125,50,52.5,55,NA,55,160,167.5,-170,NA,167.5,347.5,3,341.87,334.33,294.29,69.59,Yes,Scotland,NA,ScottishPL,IPF,2024-02-10,Scotland,NA,Dundee,Eastern Districs,Yes
67449,Stacyann Smillie,SBD,Raw,40,40-44,40-49,F-M1,80,80,85,90,-95,NA,90,50,52.5,-55,NA,52.5,110,115,130,NA,130,272.5,2,256.76,249.34,218.67,52.5,Yes,NA,NA,BDFPA,WDFPF,2024-11-23,UK,NA,NA,UK Masters,Yes
8147,Anne Koski,SBD,Raw,48,45-49,40-49,M45-49,57.6,60,77.5,82.5,-87.5,NA,82.5,50,52.5,55,NA,55,100,105,112.5,NA,112.5,250,1,284.48,287.73,254.38,58.19,Yes,USA,OR,WRPF,WRPF,2024-07-21,USA,OR,Portland,Drug Tested Northwest Regional Championships,Yes
55876,Nichola Kennedy,SBD,Raw,27,24-34,24-39,F-O,74.7,80,NA,NA,NA,NA,90,NA,NA,NA,NA,40,NA,NA,NA,NA,125,255,2,248.89,243.02,213.81,50.69,Yes,NA,NA,IDFPF,WDFPF,2017-09-30,Ireland,NA,Letterkenny,National Full Power Championships,Yes
76132,Zuzanna Siennicka,SBD,Raw,26.5,24-34,24-39,Seniorki,45.4,NA,75,80,-82.5,NA,80,42.5,45,47.5,NA,47.5,100,102.5,105,NA,105,232.5,4,312.69,320.46,286.51,66.76,Yes,NA,NA,PZKFiTS,IPF,2021-10-16,Poland,NA,Zielonki,VII Ogólnopolskie Mistrzostwa Małopolskiego w Trójboju Siłowym Klasycznym,Yes
6643,Angela Pistilli,SBD,Raw,22.5,20-23,19-23,FR-Jr,50.85,52,110,117.5,125,NA,125,90,95,100,NA,100,107.5,115,120,NA,120,345,1,427.16,437.55,388.21,88.83,Yes,USA,MA,USAPL,NA,2025-05-17,USA,MA,NA,Massachusetts Ladies of Iron,Yes
63715,Sara Egbom,SBD,Raw,26.5,24-34,24-39,FR-O,62.9,63,120,127.5,-137.5,NA,127.5,67.5,70,-75,NA,70,145,155,165,NA,165,362.5,10,390.25,389.78,344.19,79.39,Yes,USA,NM,USAPL,IPF,2015-10-15,USA,PA,Scranton,Raw Nationals,Yes
29521,Irina Adamson,SBD,Raw,29.5,24-34,24-39,Open,67.9,72,NA,NA,NA,NA,122.5,NA,NA,NA,NA,57.5,NA,NA,NA,NA,130,310,2,318.95,315.06,277.9,64.81,Yes,Russia,NA,FPR,IPF,2019-11-10,Russia,MUR,Murmansk,Murmansk Powerlifting Cup,Yes
69289,Tamara Levin,SBD,Raw,16,16-17,14-18,Sub-Juniors,64.4,69,105,115,120,NA,120,62.5,70,72.5,NA,72.5,107.5,120,130,NA,130,322.5,2,342.28,340.68,300.74,69.58,Yes,Israel,NA,ILPF,IPF,2024-12-29,Israel,NA,Hertzeliya,National Championship,Yes
74606,Yana Shelestovskaya,SBD,Single-ply,17.5,18-19,14-18,Juniors,85.65,84+,NA,NA,NA,NA,80,NA,NA,NA,NA,40,NA,NA,NA,NA,100,220,3,200.59,194.33,169.64,34.34,Yes,NA,NA,FPR,IPF,2014-10-31,Russia,BRY,Fokino,Bryansk Oblast Powerlifting Championships,Yes
36140,Kalli Kirisma,SBD,Raw,14.5,13-15,14-18,Sub-Juniors,67.55,69,125,-132.5,-132.5,NA,125,72.5,77.5,-80,NA,77.5,152.5,-160,160,NA,160,362.5,14,374.08,369.78,326.19,76.01,Yes,Estonia,NA,IPF,IPF,2024-08-28,Malta,NA,St. Paul's Bay,World Junior and Sub-Juniors Powerlifting Championships,Yes
59643,Priyadharshini J,SBD,Single-ply,15,13-15,14-18,Sub-Juniors,96.2,84+,90,97.5,102.5,NA,102.5,40,-45,-45,NA,40,95,102.5,-105,NA,102.5,245,7,212.32,206.48,178.21,36.71,Yes,NA,NA,PI,IPF,2019-05-27,India,NA,Gudiyatham,Indian Sub-Juniors & Masters Powerlifting Championships,Yes
73350,Victoria Propson,SBD,Raw,17.5,18-19,14-18,FR-HS,58.6,60,-95,97.5,102.5,NA,102.5,52.5,60,62.5,NA,62.5,102.5,112.5,-120,NA,112.5,277.5,10,312.28,315.11,278.51,63.78,Yes,USA,WI,USAPL,NA,2023-03-04,USA,WI,NA,WHSPA State Championship,Yes
52990,Miriam López Jiménez,SBD,Raw,39.5,35-39,40-49,M1,68.35,72,70,85,-90,NA,85,45,47.5,50,NA,50,115,125,130,NA,130,265,1,271.63,268.06,236.42,55.19,Yes,NA,NA,AEP,IPF,2020-02-08,Spain,NA,Esplugues,Campeonato de Cataluña de Powerlifting,Yes
57852,Olga Valishevskaya,SBD,Single-ply,21.5,20-23,19-23,Juniors,56,57,90,95,NA,NA,95,50,55,60,NA,60,80,90,100,NA,100,255,1,295.58,300.03,265.39,49.43,Yes,NA,NA,KPF,IPF,2011-07-01,Kazakhstan,NA,Almaty,6th Kazakhstan Sub-Juniors & Juniors Powerlifting Championships,Yes
15553,Chong Ming Xuan,SBD,Raw,21,20-23,19-23,Juniors,59.6,63,107.5,-112.5,112.5,NA,112.5,62.5,-67.5,-67.5,NA,62.5,-120,120,-125,NA,120,295,1,328.41,330.6,292.13,66.99,Yes,Singapore,NA,AsianPF,IPF,2022-09-16,Malaysia,NA,Johor Bahru,South East Asian Cup,Yes
10937,Bernadett Varga,SBD,Raw,31.5,24-34,24-39,Open,68.9,72,NA,NA,NA,NA,65,NA,NA,NA,NA,40,NA,NA,NA,NA,75,180,4,183.66,181.06,159.65,37.32,Yes,NA,NA,Hunpower,IPF,2015-05-01,Hungary,NA,Tab,Raw Hungarian National Championships,Yes
41285,Kylee Myers,SBD,Single-ply,17,16-17,14-18,T 16-17,65.32,67.5,NA,NA,NA,NA,85,NA,NA,NA,NA,60,NA,NA,NA,NA,92.5,237.5,1,249.95,248.26,219.11,42.02,Yes,USA,KS,AAU,NA,2006-07-29,USA,VA,Portsmouth,Junior Olympics,Yes
16073,Chuing-Hsueh Hsu,SBD,Single-ply,18.5,18-19,19-23,Juniors,77.1,82.5,-170,170,-185,NA,170,72.5,-80,-80,NA,72.5,170,-187.5,-187.5,NA,170,412.5,5,396.02,385.57,338.77,67.25,Yes,Taiwan,NA,IPF,IPF,1993-10-29,Canada,ON,Hamilton,World Juniors Powerlifting Championships,Yes
29179,Iman te Wildt,SBD,Raw,25.5,24-34,24-39,Open,64.56,69,110,115,117.5,NA,117.5,55,60,-62.5,NA,60,130,140,-152.5,NA,140,317.5,4,336.47,334.77,295.52,68.4,Yes,Netherlands,NA,KNKF-SP,IPF,2023-05-06,Netherlands,NA,Hoofddorp,Ro's Cup,Yes
25823,Gabrielle Lopez #1,SBD,Raw,31.5,24-34,24-39,FR-O,66.45,67.5,-112.5,-112.5,112.5,NA,112.5,62.5,-67.5,67.5,NA,67.5,125,135,-137.5,NA,135,315,4,328.18,325.16,286.91,66.68,Yes,USA,OH,USAPL,NA,2022-05-28,USA,OH,NA,Ohio Open & State Championship,Yes
4763,Amelia Anderson,SBD,Raw,23.5,24-34,24-39,FR-Jr,68.2,70,102.5,115,127.5,NA,127.5,55,62.5,-70,NA,62.5,110,125,137.5,NA,137.5,327.5,1,336.11,331.8,292.64,68.3,Yes,USA,VA,USAPL,NA,2025-03-08,USA,VA,NA,Shamrock Showdown,Yes
52579,Mikayla Deyoung-Laughlin,SBD,Raw,18.5,18-19,19-23,FR-C,53.8,57,-80,80,-85,NA,80,42.5,47.5,-55,NA,47.5,105,110,-120,NA,110,237.5,21,282.79,288.35,255.31,58.29,Yes,USA,MI,USAPL,IPF,2021-04-08,USA,LA,Baton Rouge,Collegiate and Junior Nationals,Yes
11217,Bianca Castillo,SBD,Raw,29.5,24-34,24-39,FR-O,58.2,63,77.5,85,-95,NA,85,45,50,-57.5,NA,50,97.5,107.5,112.5,NA,112.5,247.5,1,279.75,282.55,249.76,57.17,Yes,USA,FL,USAPL,IPF,2021-02-20,USA,FL,NA,3rd Annual Jacksonville Open Championships,Yes
57535,Olga Evtodiy,SBD,Raw,20.5,20-23,19-23,Juniors,60.8,63,NA,NA,NA,NA,90,NA,NA,NA,NA,50,NA,NA,NA,NA,90,230,1,252.85,253.81,224.22,51.52,Yes,NA,NA,FPR,IPF,2018-04-09,Russia,SVE,Irbit,Ural Federal District Juniors & Sub-Juniors Classic Powerlifting Championships,Yes
76465,时宏飞,SBD,Raw,41,40-44,40-49,Masters 1,50.9,52,-92.5,92.5,95,NA,95,45,50,-52.5,NA,50,95,100,107.5,NA,107.5,252.5,1,312.41,319.99,283.9,64.96,Yes,NA,NA,IPF-China,IPF,2024-12-29,China,GD,Zhongshan,4th Zhongshan Club Competition,Yes
