id,Name,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
77941,Jonathan B. Joseph Sr,SBD,Raw,57,55-59,50-59,Masters 2,62.8,66,67.5,77.5,92.5,NA,92.5,55,72.5,-80,NA,72.5,117.5,-137.5,-137.5,NA,117.5,282.5,1,229.88,231.34,225.35,45.21,Yes,NA,NA,USVIPF,IPF,2021-02-13,US Virgin Islands,NA,St. Thomas,Classic & Equipped National Championships,Yes
26731,Caleb Winter,SBD,Raw,17.5,18-19,14-18,MR-V,80.4,82.5,160,167.5,-177.5,NA,167.5,97.5,102.5,-107.5,NA,102.5,207.5,215,-222.5,NA,215,485,47,333.45,330.07,317.97,68.23,Yes,USA,NE,USAPL,NA,2025-03-20,USA,WI,NA,High School Nationals,Yes
117782,Ondřej Houžvička,SBD,Raw,24.5,24-34,24-39,Open,103.3,105,NA,NA,NA,NA,210,NA,NA,NA,NA,150,NA,NA,NA,NA,242.5,602.5,5,365.79,362.14,345.79,74.96,Yes,Czechia,NA,CSST,IPF,2015-10-24,Czechia,NA,Vltavou,Mistrovství Východních Čech v Klasickém Silovém Trojboji,Yes
335,A. Zhumalaev,SBD,Raw,17.5,18-19,14-18,Teen,51.55,53,NA,NA,NA,NA,115,NA,NA,NA,NA,77.5,NA,NA,NA,NA,140,332.5,2,321.11,329.27,324.43,59.16,Yes,NA,NA,KPF,IPF,2016-04-02,Kazakhstan,NA,Almaty,Kazakhstan Classic Powerlifting Cup,Yes
65347,Ivan Gorokhov,SBD,Single-ply,18.5,18-19,19-23,Open,82.2,83,NA,NA,NA,NA,220,NA,NA,NA,NA,120,NA,NA,NA,NA,242.5,582.5,8,395.4,391.08,376.35,67.65,Yes,NA,NA,FPR,IPF,2015-05-21,Russia,KHM,Khanty-Mansiysk,North Cup,Yes
62359,Hyung Yul Kim,SBD,Raw,29.5,24-34,24-39,MR-O,99.5,100,222.5,-232.5,-232.5,NA,222.5,127.5,132.5,-135,NA,132.5,207.5,-225,-225,NA,207.5,562.5,6,346.98,343.02,327.65,71.23,Yes,South Korea,NA,USAPL,NA,2023-04-01,South Korea,NA,NA,Korea DR. STRENGTH Spring Classic,Yes
99720,Markus Blabl,SBD,Raw,23.5,24-34,24-39,Open,82.35,83,185,195,200,NA,200,135,142.5,-147.5,NA,142.5,240,-257.5,-257.5,NA,240,582.5,7,394.99,390.65,375.91,80.95,Yes,Germany,NA,BVDK,IPF,2019-10-26,Germany,BY,Kaufbeuren,Bayerische Meisterschaften KDK Classic,Yes
23053,Brady Obrien,SBD,Raw,15.5,16-17,14-18,MR-JV,61.9,66,85,92.5,102.5,NA,102.5,42.5,47.5,50,NA,50,100,110,115,NA,115,267.5,5,220.17,221.85,216.27,43.14,Yes,USA,MA,USAPL,IPF,2018-03-11,USA,MA,NA,8th Annual Ryan Moore New England States High School Championships,Yes
127281,Rinat Ibragimov,SBD,Single-ply,26.5,24-34,24-39,Open,91.6,93,NA,NA,NA,NA,235,NA,NA,NA,NA,140,NA,NA,NA,NA,200,575,21,368.55,363.86,348.46,62.86,Yes,NA,NA,FPR,IPF,2015-12-11,Russia,IRK,Irkutsk,Siberian Powerlifting Championships,Yes
8320,Alexander Kuzmin,SBD,Single-ply,23.5,24-34,24-39,Open,119.9,120,NA,NA,NA,NA,390,NA,NA,NA,NA,250,NA,NA,NA,NA,360,1000,3,574.47,575.03,551.03,96.68,Yes,Russia,NA,FPR,NA,2022-11-12,Russia,NA,Tula,Commonwealth of Nations,Yes
98970,Mario Saab,SBD,Raw,27,24-34,24-39,Open,81.85,83,-220,220,-230,NA,220,122.5,127.5,-135,NA,127.5,240,-250,-250,NA,240,587.5,2,399.76,395.45,380.64,81.9,Yes,Lebanon,NA,IPF,IPF,2023-07-18,Lebanon,NA,Beirut,Arab Cup,Yes
151867,Viktor Anatolin,SBD,Raw,27.5,24-34,24-39,Open,82.2,83,NA,NA,NA,NA,160,NA,NA,NA,NA,137.5,NA,NA,NA,NA,175,472.5,4,320.73,317.22,305.28,65.73,Yes,Russia,NA,FPR,IPF,2021-11-13,Russia,ME,Yoshkar-Ola,Mari El Classic Powerlifting Championships,Yes
