"team_id","season","wins","losses","tot_games","half_wins","half_losses","half_games","win_percent","half_percent","rank","playoffs"
1,2003,15,14,29,9,5,14,51.72,64.29,8,FALSE
1,2004,15,16,31,9,6,15,48.39,60,7,FALSE
1,2005,6,26,32,3,13,16,18.75,18.75,13,FALSE
1,2006,11,23,34,4,16,20,32.35,20,11,FALSE
2,2003,15,15,30,6,6,12,50,50,9,FALSE
3,2003,27,8,35,9,4,13,77.14,69.23,1,TRUE
3,2004,18,14,32,9,9,18,56.25,50,3,FALSE
3,2005,16,19,35,7,8,15,45.71,46.67,9,TRUE
3,2006,30,14,44,13,6,19,68.18,68.42,3,TRUE
3,2007,30,14,44,14,5,19,68.18,73.68,2,TRUE
3,2008,27,14,41,12,6,18,65.85,66.67,1,TRUE
3,2009,21,18,39,3,7,10,53.85,30,4,TRUE
3,2010,6,27,33,3,14,17,18.18,17.65,12,FALSE
3,2011,3,31,34,1,12,13,8.82,7.69,12,FALSE
3,2012,9,25,34,3,15,18,26.47,16.67,10,FALSE
3,2013,11,23,34,3,13,16,32.35,18.75,10,FALSE
3,2014,12,22,34,7,13,20,35.29,35,11,FALSE
3,2015,18,18,36,10,4,14,50,71.43,7,TRUE
3,2017,16,19,35,8,11,19,45.71,42.11,7,TRUE
3,2018,15,20,35,12,8,20,42.86,60,8,TRUE
3,2019,10,24,34,5,11,16,29.41,31.25,10,FALSE
3,2021,14,19,33,8,12,20,42.42,40,7,FALSE
3,2022,19,20,39,9,11,20,48.72,45,6,TRUE
4,2003,17,10,27,6,5,11,62.96,54.55,2,FALSE
4,2004,13,20,33,8,11,19,39.39,42.11,12,FALSE
4,2005,21,18,39,10,6,16,53.85,62.5,5,TRUE
4,2006,18,18,36,13,9,22,50,59.09,8,TRUE
4,2007,13,21,34,6,14,20,38.24,30,11,FALSE
4,2008,16,17,33,9,11,20,48.48,45,8,FALSE
5,2003,14,15,29,8,6,14,48.28,57.14,10,FALSE
5,2004,13,18,31,10,9,19,41.94,52.63,11,FALSE
5,2005,22,14,36,9,5,14,61.11,64.29,3,TRUE
5,2006,20,15,35,12,7,19,57.14,63.16,5,TRUE
5,2007,24,16,40,15,4,19,60,78.95,3,TRUE
5,2008,16,19,35,9,9,18,45.71,50,11,TRUE
5,2009,28,16,44,9,2,11,63.64,81.82,2,TRUE
5,2010,22,15,37,11,5,16,59.46,68.75,4,TRUE
5,2011,25,16,41,11,3,14,60.98,78.57,2,TRUE
5,2012,28,15,43,10,7,17,65.12,58.82,4,TRUE
5,2013,18,20,38,5,8,13,47.37,38.46,7,TRUE
5,2014,19,20,39,10,9,19,48.72,52.63,4,TRUE
5,2015,26,19,45,7,6,13,57.78,53.85,5,TRUE
5,2017,9,25,34,7,9,16,26.47,43.75,11,FALSE
5,2018,6,28,34,2,19,21,17.65,9.52,12,FALSE
5,2019,13,21,34,6,12,18,38.24,33.33,9,FALSE
5,2021,6,26,32,4,14,18,18.75,22.22,12,FALSE
5,2022,5,31,36,3,16,19,13.89,15.79,12,TRUE
6,2003,17,12,29,10,2,12,58.62,83.33,3,FALSE
6,2004,22,9,31,11,5,16,70.97,68.75,1,FALSE
6,2005,17,19,36,10,7,17,47.22,58.82,8,TRUE
6,2006,27,12,39,17,5,22,69.23,77.27,2,TRUE
6,2007,10,23,33,7,12,19,30.3,36.84,12,FALSE
6,2008,23,16,39,12,8,20,58.97,60,5,TRUE
6,2009,21,19,40,4,8,12,52.5,33.33,5,TRUE
6,2010,13,23,36,5,11,16,36.11,31.25,11,TRUE
6,2011,15,19,34,5,6,11,44.12,45.45,9,FALSE
6,2012,26,12,38,14,6,20,68.42,70,3,TRUE
6,2013,25,12,37,10,4,14,67.57,71.43,2,TRUE
6,2014,16,20,36,8,10,18,44.44,44.44,6,TRUE
6,2015,15,22,37,2,10,12,40.54,16.67,10,TRUE
6,2017,31,11,42,12,5,17,73.81,70.59,2,TRUE
6,2018,20,16,36,13,9,22,55.56,59.09,6,TRUE
6,2019,23,15,38,9,7,16,60.53,56.25,3,TRUE
6,2021,12,20,32,6,12,18,37.5,33.33,8,FALSE
6,2022,13,23,36,8,11,19,36.11,42.11,11,TRUE
8,2003,16,13,29,6,6,12,55.17,50,5,FALSE
8,2004,17,18,35,10,9,19,48.57,52.63,6,TRUE
8,2005,13,20,33,8,8,16,39.39,50,11,FALSE
8,2006,10,24,34,7,12,19,29.41,36.84,13,FALSE
8,2007,9,24,33,5,16,21,27.27,23.81,13,FALSE
8,2008,16,18,34,9,10,19,47.06,47.37,10,FALSE
8,2009,14,20,34,9,5,14,41.18,64.29,11,FALSE
8,2010,13,21,34,6,10,16,38.24,37.5,10,FALSE
8,2011,34,8,42,7,4,11,80.95,63.64,1,TRUE
8,2012,32,11,43,15,4,19,74.42,78.95,1,TRUE
8,2013,33,8,41,11,3,14,80.49,78.57,1,TRUE
8,2014,28,11,39,14,6,20,71.79,70,2,TRUE
8,2015,29,15,44,10,3,13,65.91,76.92,1,TRUE
8,2017,33,9,42,12,2,14,78.57,85.71,1,TRUE
8,2018,18,17,35,12,9,21,51.43,57.14,7,TRUE
8,2019,18,17,35,10,7,17,51.43,58.82,7,TRUE
8,2021,22,11,33,12,5,17,66.67,70.59,3,FALSE
8,2022,14,22,36,8,12,20,38.89,40,9,TRUE
9,2003,5,16,21,2,6,8,23.81,25,13,FALSE
9,2004,14,15,29,8,8,16,48.28,50,9,FALSE
9,2005,15,18,33,6,7,13,45.45,46.15,10,FALSE
9,2006,11,23,34,4,15,19,32.35,21.05,11,FALSE
9,2007,17,20,37,10,9,19,45.95,52.63,9,TRUE
9,2008,22,17,39,10,8,18,56.41,55.56,6,TRUE
9,2009,13,21,34,4,7,11,38.24,36.36,12,FALSE
9,2010,24,15,39,7,9,16,61.54,43.75,2,TRUE
9,2011,20,17,37,8,5,13,54.05,61.54,6,TRUE
9,2012,15,21,36,6,12,18,41.67,33.33,8,TRUE
9,2013,11,23,34,6,8,14,32.35,42.86,10,FALSE
9,2014,15,19,34,6,12,18,44.12,33.33,9,FALSE
9,2015,26,14,40,7,5,12,65,58.33,2,TRUE
9,2017,22,13,35,7,8,15,62.86,46.67,3,TRUE
9,2018,7,27,34,6,14,20,20.59,30,11,FALSE
9,2019,10,24,34,7,10,17,29.41,41.18,10,FALSE
9,2021,12,21,33,7,11,18,36.36,38.89,10,FALSE
9,2022,17,22,39,8,11,19,43.59,42.11,7,TRUE
11,2003,6,19,25,2,8,10,24,20,12,FALSE
11,2004,15,16,31,7,10,17,48.39,41.18,7,FALSE
11,2005,16,17,33,6,10,16,48.48,37.5,7,FALSE
11,2006,18,16,34,8,11,19,52.94,42.11,6,FALSE
11,2007,29,13,42,11,9,20,69.05,55,1,TRUE
11,2008,16,17,33,9,10,19,48.48,47.37,8,FALSE
11,2009,30,15,45,10,4,14,66.67,71.43,1,TRUE
11,2010,17,21,38,6,12,18,44.74,33.33,7,TRUE
11,2011,21,18,39,9,4,13,53.85,69.23,7,TRUE
11,2012,7,26,33,4,15,19,21.21,21.05,11,FALSE
11,2013,21,18,39,8,7,15,53.85,53.33,4,TRUE
11,2014,36,6,42,14,3,17,85.71,82.35,1,TRUE
11,2015,22,16,38,9,5,14,57.89,64.29,4,TRUE
11,2017,20,19,39,10,6,16,51.28,62.5,5,TRUE
11,2018,24,17,41,13,8,21,58.54,61.9,5,TRUE
11,2019,15,20,35,7,8,15,42.86,46.67,8,TRUE
11,2021,25,18,43,7,9,16,58.14,43.75,5,TRUE
11,2022,15,23,38,9,13,22,39.47,40.91,8,TRUE
13,2003,17,15,32,4,9,13,53.12,30.77,6,FALSE
13,2004,17,19,36,6,10,16,47.22,37.5,10,TRUE
13,2005,32,10,42,12,5,17,76.19,70.59,1,TRUE
13,2006,26,16,42,11,8,19,61.9,57.89,4,TRUE
13,2007,20,17,37,12,8,20,54.05,60,5,TRUE
13,2008,19,17,36,9,11,20,52.78,45,7,TRUE
13,2009,12,22,34,3,10,13,35.29,23.08,13,FALSE
14,2003,16,12,28,9,4,13,57.14,69.23,4,FALSE
14,2004,26,13,39,11,6,17,66.67,64.71,2,TRUE
14,2005,20,16,36,7,10,17,55.56,41.18,4,TRUE
14,2006,19,18,37,11,9,20,51.35,55,7,TRUE
14,2007,17,19,36,11,9,20,47.22,55,7,TRUE
14,2008,23,14,37,13,7,20,62.16,65,3,TRUE
14,2009,21,16,37,8,5,13,56.76,61.54,3,TRUE
14,2010,34,6,40,16,2,18,85,88.89,1,TRUE
