"Rank","Number","Bib","Name","Nat","Total","Pr","Run_1_Time","Run_1_Rank","Run_2_Time","Run_2_Rank"
"1","30","4","BRIGNONE Federica","ITA",134.95,0,66.5,1,68.45,3
"2","27","6","VLHOVA Petra","SVK",135.16,2,66.9,4,68.26,1
"3","26","3","SHIFFRIN Mikaela","USA",135.24,2,66.97,5,68.27,2
"4","29","5","HECTOR Sara","SWE",135.51,-2,66.61,2,68.9,8
"5","28","1","GUT-BEHRAMI Lara","SUI",135.54,-2,66.85,3,68.69,7
"6","24","7","BASSINO Marta","ITA",135.99,1,67.46,7,68.53,5
"7","22","18","GOGGIA Sofia","ITA",136.57,2,67.91,9,68.66,6
"8","25","2","GRENIER Valerie","CAN",136.8,-2,67.27,6,69.53,19
"9","16","12","STJERNESUND Thea Louise","NOR",137.19,6,68.7,15,68.49,4
"10","21","42","DIREZ Clara","FRA",137.3,0,68.26,10,69.04,11
"11","23","13","GRITSCH Franziska","AUT",137.33,-3,67.89,8,69.44,17
"12","18","11","ROBINSON Alice","NZL",137.81,1,68.67,13,69.14,12
"13","20","14","MOLTZAN Paula","USA",137.84,-2,68.28,11,69.56,20
"14","14","28","LJUTIC Zrinka","CRO",137.85,3,68.83,17,69.02,10
"15","19","31","RICHARDSON Britt","CAN",138.05,-3,68.62,12,69.43,16
"16","10","22","BRUNNER Stephanie","AUT",138.1,5,69.15,21,68.95,9
"16","15","20","LIENSBERGER Katharina","AUT",138.1,0,68.79,16,69.31,13
"18","17","40","MELESI Roberta","ITA",138.11,-4,68.69,14,69.42,15
"19","11","15","MOWINCKEL Ragnhild","NOR",138.55,1,69.11,20,69.44,17
"20","9","21","SCHEIB Julia","AUT",138.63,2,69.27,22,69.36,14
"21","13","10","GASIENICA-DANIEL Maryna","POL",138.74,-3,69.02,18,69.72,22
"22","12","29","WILD Simone","SUI",138.83,-3,69.09,19,69.74,23
"23","3","48","TRUPPE Katharina","AUT",139.21,5,69.65,28,69.56,20
"24","7","34","GRAY Cassidy","CAN",139.23,0,69.36,24,69.87,24
"25","6","58","LYSDAHL Kristin","NOR",139.41,0,69.39,25,70.02,25
"26","5","26","KAPPAURER Elisabeth","AUT",139.96,0,69.43,26,70.53,26
"27","4","16","HOLDENER Wendy","SUI",140.51,-1,69.43,26,71.08,27
"","1","35","PLATINO Elisa","ITA",NA,NA,69.73,30,NA,NA
"","2","54","MOERZINGER Elisa","AUT",NA,NA,69.67,29,NA,NA
"","8","19","HAASER Ricarda","AUT",NA,NA,69.31,23,NA,NA
