name,wins,looses,draws,ko_rate,stance,age,height,reach,country
Azizbek Abdumuxtar Abdugofurov,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Uzbekistan
Franco Fernando Altamiranda,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Joaquin Saul Alvarez,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Venezuela, Bolivarian Republic of"
Saul Alvarez,54,1,2,63.2%,Orthodox,32,5.74 ft (1.75 m),70.47 inches (179 cm),Mexico
Sukru Altay,0,0,0,0%,Orthodox,38,Unknown,Unknown,Germany
Margarita Dionicio Alvarado,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Mexico
rene alvarado,32,8,0,52.5%,Orthodox,33,5.58 ft (1.70 m),72.05 inches (183 cm),Nicaragua
armando alvarez,20,2,0,54.5%,Orthodox,33,6.04 ft (1.84 m),Unknown,United States
Everlides Ester Altamar,2,3,0,0%,Orthodox,Unknown,Unknown,Unknown,Colombia
chris alvarado,13,6,0,31.6%,Orthodox,57,5.74 ft (1.75 m),Unknown,United States
Miguel Edgardo Almiron,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Jorge Eliecer Almanza,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Venezuela, Bolivarian Republic of"
daniel alicea,30,7,2,56.4%,Orthodox,49,5.68 ft (1.73 m),70.08 inches (178 cm),Puerto Rico
sadam ali,27,3,0,46.7%,Orthodox,33,5.74 ft (1.75 m),72.83 inches (185 cm),United States
muhammad ali,56,5,0,60.7%,Orthodox,80,6.27 ft (1.91 m),77.95 inches (198 cm),United States
Wes Hanson,0,0,0,0%,Orthodox,34,Unknown,Unknown,United States
leigh wood,16,1,0,47.1%,Orthodox,34,Unknown,Unknown,United Kingdom
alfonso zvenyika lambarda,17,12,2,31.3%,Orthodox,46,5.74 ft (1.75 m),Unknown,Zimbabwe
terrence alli,52,15,2,30%,Orthodox,62,5.61 ft (1.71 m),Unknown,Guyana
Veronica Zuluaga,3,0,0,33.3%,Orthodox,Unknown,Unknown,Unknown,Colombia
Yamil David Zubiate Ortiz,0,0,0,0%,Orthodox,29,Unknown,Unknown,Peru
Juan Rolando Zorrilla,1,0,0,100%,Orthodox,24,Unknown,Unknown,Paraguay
juan zurita,130,23,1,29.9%,Orthodox,105,5.41 ft (1.65 m),66.14 inches (168 cm),Mexico
Danielito Zorrilla,0,0,0,0%,Orthodox,28,Unknown,Unknown,Puerto Rico
Marija Zivkovic,0,1,0,0%,Orthodox,Unknown,Unknown,Unknown,Serbia
Artur Ziyatdinov,10,1,0,63.6%,Orthodox,26,6.17 ft (1.88 m),Unknown,Russian Federation
dejan zlaticanin,24,2,0,61.5%,Southpaw,38,Unknown,Unknown,Montenegro
fritzie zivic,158,65,10,35.2%,Orthodox,109,5.84 ft (1.78 m),70.87 inches (180 cm),United States
steve zouski,31,18,0,30.6%,Orthodox,68,6.00 ft (1.83 m),Unknown,United States
Natalie Zimmermann,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Germany
Serhii Zhuk,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Ukraine
samir ziani,31,3,1,16.7%,Southpaw,32,5.51 ft (1.68 m),Unknown,France
zhang zhilei,1,0,0,33.3%,Southpaw,39,6.50 ft (1.98 m),Unknown,China
tyron zeuge,25,1,1,48.3%,Orthodox,30,5.81 ft (1.77 m),Unknown,Germany
mikael zewski,34,2,0,62.2%,Orthodox,33,5.84 ft (1.78 m),Unknown,Canada
jose zepeda,32,2,0,67.6%,Orthodox,33,5.68 ft (1.73 m),Unknown,United States
michael zerafa,27,4,0,51.6%,Orthodox,30,Unknown,Unknown,Australia
William Zepeda,10,0,0,100%,Orthodox,26,Unknown,Unknown,Mexico
Juan Ramon Zeballos,0,0,0,0%,Orthodox,27,Unknown,Unknown,Argentina
Johan Zavala,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Venezuela, Bolivarian Republic of"
rudy zavala,25,8,2,60%,Orthodox,53,5.58 ft (1.70 m),68.11 inches (173 cm),United States
Xander Zayas,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Puerto Rico
carlos zarate,66,4,0,90%,Orthodox,71,5.68 ft (1.73 m),66.93 inches (170 cm),Mexico
Alan Zaracho,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Maximiliano Zarate,1,2,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Raul Antonio Zapa,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Colombia
carlos zambrano,26,1,0,40.7%,Orthodox,38,5.71 ft (1.74 m),Unknown,Peru
Mirleny Zambrano,0,1,0,0%,Orthodox,Unknown,Unknown,Unknown,"Venezuela, Bolivarian Republic of"
Nabil Zaky,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Egypt
Florencia Nicole Zalazar,3,0,0,0%,Orthodox,27,Unknown,Unknown,Argentina
tony zale,67,18,2,51.7%,Orthodox,108,5.61 ft (1.71 m),68.90 inches (175 cm),United States
Daniel Agustin Zabala,0,3,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Junior Yon,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Vanuatu
daud cino yordan,40,4,0,62.2%,Orthodox,35,5.58 ft (1.70 m),68.11 inches (173 cm),Indonesia
Daniela Yomeye Melgar,0,0,0,0%,Orthodox,30,Unknown,Unknown,"Bolivia, Plurinational State of"
tony yoka,0,0,0,0%,Unknown,30,Unknown,Unknown,Unknown
Hector Adolfo Ynocente,0,2,0,0%,Orthodox,26,Unknown,Unknown,Peru
Juan Yin Yan,0,0,0,0%,Orthodox,31,Unknown,Unknown,Spain
anthony yigit,23,1,1,32%,Southpaw,30,Unknown,Unknown,Sweden
avni yildirim,21,2,0,50%,Orthodox,Unknown,5.97 ft (1.82 m),70.08 inches (178 cm),Turkey
Leila Omari Yazidu,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Tanzania, United Republic of"
Daniyar Yeleussinov,2,0,0,50%,Orthodox,31,Unknown,Unknown,Kazakhstan
brian yates,13,86,3,5.9%,Orthodox,48,Unknown,Unknown,United States
Aidos Yerbossynuly,8,0,0,50%,Orthodox,30,Unknown,Unknown,Kazakhstan
teddy yarosz,107,18,3,13.3%,Orthodox,112,5.84 ft (1.78 m),72.44 inches (184 cm),United States
tommy yarosz,81,10,1,18.5%,Orthodox,100,5.97 ft (1.82 m),Unknown,United States
anthony yarde,19,1,0,90%,Orthodox,31,6.00 ft (1.83 m),Unknown,United Kingdom
Mukhammadkhuja Yaqubov,11,0,0,54.5%,Orthodox,27,5.41 ft (1.65 m),Unknown,Unknown
Shogo Yamamoto,0,0,0,0%,Orthodox,30,Unknown,Unknown,Japan
kenya yamashita,5,4,0,44.4%,Orthodox,26,Unknown,Unknown,Japan
can xu,18,2,0,15%,Unknown,221,Unknown,Unknown,China
Luvo Xhomfo,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,South Africa
gamal yafai,17,1,0,55.6%,Orthodox,31,5.51 ft (1.68 m),Unknown,United Kingdom
Kandi Renae Wyatt,0,0,0,0%,Orthodox,31,Unknown,Unknown,Canada
ricci wynne,11,4,1,50%,Unknown,Unknown,Unknown,Unknown,United States
ronald wright,51,6,1,43.1%,Southpaw,50,5.87 ft (1.79 m),72.05 inches (183 cm),United States
billy wright,51,4,0,76.4%,Orthodox,57,6.33 ft (1.93 m),Unknown,United States
chalky wright,162,45,19,36.2%,Orthodox,110,5.54 ft (1.69 m),68.90 inches (175 cm),United States
pongsaklek wonjongkam,89,5,2,47.9%,Southpaw,45,5.31 ft (1.62 m),63.39 inches (161 cm),Thailand
Patrick Wojcicki,3,0,0,0%,Orthodox,31,Unknown,Unknown,Germany
krzysztof wlodarczyk,58,4,1,61.9%,Orthodox,40,6.10 ft (1.86 m),75.20 inches (191 cm),Poland
midget wolgast,163,37,15,7.9%,Orthodox,112,5.28 ft (1.61 m),Unknown,United States
howard winstone,61,6,0,40.3%,Orthodox,83,Unknown,Unknown,United Kingdom
Lucas Winter,1,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Liam Wilson,0,0,0,0%,Orthodox,26,Unknown,Unknown,Australia
jackie wilson,101,45,8,12.9%,Orthodox,113,5.41 ft (1.65 m),64.96 inches (165 cm),United States
california jackie wilson,63,19,6,42.7%,Orthodox,104,5.87 ft (1.79 m),75.98 inches (193 cm),United States
darroll wilson,27,10,2,53.8%,Orthodox,56,6.00 ft (1.83 m),79.13 inches (201 cm),United States
mark wills,14,18,1,27.3%,Orthodox,62,6.07 ft (1.85 m),74.02 inches (188 cm),United States
roderick willis,14,7,1,36.4%,Orthodox,49,6.50 ft (1.98 m),81.89 inches (208 cm),United States
julian williams,27,2,1,51.6%,Orthodox,32,5.84 ft (1.78 m),72.44 inches (184 cm),United States
karl willis,25,26,2,31.5%,Orthodox,53,Unknown,Unknown,United States
Dewayne Williams,0,0,0,0%,Orthodox,28,Unknown,Unknown,United States
roy williams,30,6,0,61.1%,Orthodox,77,6.43 ft (1.96 m),Unknown,United States
