date,place,opponent_1,opponent_2,opponent_1_estimated_punch_power,opponent_2_estimated_punch_power,opponent_1_estimated_punch_resistance,opponent_2_estimated_punch_resistance,opponent_1_estimated_ability_to_take_punch,opponent_2_estimated_ability_to_take_punch,opponent_1_rounds_boxed,opponent_2_rounds_boxed,opponent_1_round_ko_percentage,opponent_2_round_ko_percentage,opponent_1_has_been_ko_percentage,opponent_2_has_been_ko_percentage,opponent_1_avg_weight,opponent_2_avg_weight,verdict
31 August 2019,Unknown,Vasyl Lomachenko ,Luke Campbell,72,72,73.9,60.5,78,73,119,130,8.4,12.31,0,0,127.11,135.24,Lomachenko won via UD in round 12
19 September 2019,Unknown,Orlando Fiordigiglio ,Sam Eggington,59,59,55.4,54.5,68,66,200,177,6.5,8.47,3.03,6.25,152.5,148.93,Eggington won via KO in round 2
5 October 2019,Unknown,Gennady Golovkin ,Sergiy Derevyanchenko,82,82,68,63.3,84,75,200,81,17.5,12.35,0,0,159.66,164.04,Golovkin won via UD in round 12
12 October 2019,Unknown,Chazz Witherspoon ,Oleksandr Usyk,69,69,59.6,68.9,79,80,182,125,15.93,9.6,4.76,,292.71,200.1,Usyk won via RTD in round 7
27 September 2019,Unknown,Ebenezer Tetteh ,Daniel Dubois,46,46,,44.4,50,69,38,39,23.68,30.77,0,0,178.67,230.38,Dubois won via TKO in round 1
28 September 2019,Unknown,Shawn Porter ,Errol Spence Jr,66,66,63.8,62.3,80,77,219,108,7.76,19.44,0,0,152.53,148.47,Spence Jr won via SD in round 12
13 September 2019,Unknown,Zaur Abdullaev ,Devin Haney,64,64,58.4,47,72,73,60,110,8.33,12.73,0,0,0,0,Haney won via RTD in round 4
14 September 2019,Unknown,Tyson Fury ,Otto Wallin,72,72,66.5,57.4,86,77,174,90,11.49,14.44,0,0,247.5,240.54,Fury won via UD in round 12
31 August 2019,Unknown,Alexander Povetkin ,Hughie Fury,74,74,72.6,60,81,77,231,130,10.39,10,2.78,,235.57,235.4,Povetkin won via UD in round 12
18 October 2019,Unknown,Artur Beterbiev ,Oleksandr Gvozdyk,88,88,68.4,67.5,81,78,52,88,26.92,15.91,0,0,178.65,174.95,Beterbiev won via TKO in round 10
26 October 2019,Unknown,Regis Prograis ,Josh Taylor,78,78,57.9,54.4,79,75,98,79,20.41,16.46,0,0,142.75,,Taylor won via MD in round 12
19 October 2019,Unknown,Ted Cheesman ,Scott Fitzgerald,66,66,50.9,42.9,64,60,103,59,8.74,15.25,0,0,,153.5,Fitzgerald won via UD in round 12
26 October 2019,Unknown,Dereck Chisora ,David Price,65,65,63.9,65.6,78,70,252,105,8.73,18.1,7.5,20.69,238.35,246.75,Chisora won via TKO in round 4
9 November 2019,Unknown,Olajide William Olatunji ,Logan Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Olatunji won via SD in round 6
22 November 2019,Unknown,Kieran Gething ,Jeff Ofori,51,51,51.7,,53,,74,,2.7,,0,0,0,0,Draw - 10 round SD decision
2 November 2019,Unknown,Sergey Kovalev ,Saul Alvarez,78,78,61.3,60.7,78,85,173,391,16.76,8.95,5.26,,174.99,153.27,Alvarez won via KO in round 11
22 November 1986,Unknown,Mike Tyson ,Trevor Berbick,82,82,56.8,60.4,80,82,74,253,33.78,,,2.78,355.57,213.29,Tyson won via TKO in round 2
30 October 1974,Unknown,George Foreman ,Muhammad Ali,83,83,61.6,70.6,81,87,120,365,30.83,,0,0,213.42,201.63,Ali won via KO in round 8
26 July 1986,Unknown,Mike Tyson ,Marvis Frazier,82,82,54.5,58.1,79,76,61,106,36.07,,,5.88,342.78,405.34,Tyson won via TKO in round 1
6 April 1987,Unknown,Sugar Ray Leonard ,Marvin Hagler,73,73,66.9,62,82,89,244,386,9.84,13.47,0,0,151.51,177.35,Leonard won via SD in round 12
27 June 1988,Unknown,Mike Tyson ,Michael Spinks,83,83,61.8,65.3,82,83,119,225,25.21,9.33,0,0,369.29,321.86,Tyson won via KO in round 1
5 December 2008,Unknown,Raul Pinzon ,Saul Alvarez,70,70,39.6,41.1,72,71,60,129,25,11.63,0,0,149.6,156.18,Alvarez won via TKO in round 1
20 April 2002,Unknown,Jose Luis Castillo ,Floyd Mayweather Jr,79,79,50.9,61,75,80,230,154,17.83,12.99,8,,180.4,130.9,Mayweather Jr won via UD in round 12
6 December 2008,Unknown,Bela Gyongyosi ,Tyson Fury,45,45,52.1,,43,,56,,1.79,,28.57,,182.69,,Fury won via TKO in round 1
16 March 1996,Unknown,Frank Bruno ,Mike Tyson,82,82,69.7,65,78,86,167,161,22.75,22.98,9.09,,432.86,391.47,Tyson won via TKO in round 3
28 February 2009,Unknown,Daniil Peretyatko ,Tyson Fury,48,48,49.1,51.5,70,58,190,,,50,14.29,,272.7,246.75,Fury won via RTD in round 2
17 January 2009,Unknown,Saul Alvarez ,Antonio Fitch,67,67,42.4,26.7,76,50,130,42,12.31,23.81,0,0,155.67,142.28,Alvarez won via TKO in round 1
11 April 2009,Unknown,Mathew Ellis ,Tyson Fury,54,54,56.6,58.8,61,60,113,,,40,22.22,,402.4,247.95,Fury won via KO in round 1
6 March 2009,Unknown,Deontay Wilder ,Shannon Gray,77,77,32,50,50,50,2,4,50,,0,0,201.8,661.5,Wilder won via TKO in round 1
24 April 2009,Unknown,Joseph Rabotte ,Deontay Wilder,56,56,48.1,27.3,,50,18,,,75,62.5,,272.5,266.43,Wilder won via KO in round 1
23 May 2009,Unknown,Scott Belshaw ,Tyson Fury,63,63,49.7,59,56,63,38,11,18.42,45.45,0,0,235.48,249.06,Fury won via TKO in round 2
26 June 2009,Unknown,Deontay Wilder ,Kelsey Arnold,80,80,28.2,48.8,51,41,6,19,83.33,,,20,258.66,239.56,Wilder won via KO in round 1
14 August 2009,Unknown,Travis Allen ,Deontay Wilder,62,62,32.1,29.3,35,51,18,7,,85.71,28.57,,307.97,254.38,Wilder won via TKO in round 1
15 September 2009,Unknown,Carlos Leonardo Herrera ,Saul Alvarez,57,57,49,46.4,62,81,116,163,6.9,12.88,0,0,148.8,153.77,Alvarez won via TKO in round 1
5 March 2010,Unknown,Tyson Fury ,Hans-Joerg Blasko,75,75,58.9,28,67,49,32,34,21.88,17.65,,25,247.92,236.3,Fury won via TKO in round 1
26 May 2012,Unknown,Jesse Oltmanns ,Deontay Wilder,58,58,34.3,49.2,55,67,40,35,17.5,60,8.33,,337.93,244.08,Wilder won via TKO in round 1
26 November 2011,Unknown,Deontay Wilder ,David Long,89,89,47.2,40.6,67,54,30,46,63.33,,,7.14,246.43,276.56,Wilder won via KO in round 1
8 September 2012,Unknown,Damon Mccreary ,Deontay Wilder,73,73,44.7,52.1,60,71,41,40,24.39,60,0,0,177.41,243.21,Wilder won via KO in round 2
5 October 2013,Unknown,Emanuele Leo ,Anthony Joshua,63,63,53.6,,51,,31,,9.68,,0,0,202.25,,Joshua won via TKO in round 1
15 December 2012,Unknown,Deontay Wilder ,Kelvin Price,89,89,52.7,43.7,71,66,42,53,59.52,,0,0,243.98,250.62,Wilder won via KO in round 3
26 October 2013,Unknown,Paul Butlin ,Anthony Joshua,46,46,52.6,46,62,50,167,,,100,24.24,,314.36,230.5,Joshua won via TKO in round 2
14 November 2013,Unknown,Hrvoje Kisicek ,Anthony Joshua,48,48,46.6,53.5,48,51,46,,,66.67,9.09,,215.82,233.15,Joshua won via TKO in round 2
24 November 2013,Unknown,Andy Ruiz Jr ,Tor Hamer,73,73,45.5,51.3,72,72,67,67,20.9,20.9,,4.35,254.07,228.01,Ruiz Jr won via RTD in round 3
1 March 2014,Unknown,Hector Alfredo Avila ,Anthony Joshua,60,60,59.1,48.3,65,51,178,,,57.14,28.95,,277.59,231.7,Joshua won via KO in round 1
1 February 2014,Unknown,Dorian Darch ,Anthony Joshua,50,50,52.1,50.3,46,51,33,,,60,11.11,,235.89,228.6,Joshua won via TKO in round 2
31 May 2014,Unknown,Matt Legg ,Anthony Joshua,55,55,47.1,51.4,46,54,27,8,,62.5,22.22,,322.42,231.36,Joshua won via KO in round 1
12 July 2014,Unknown,Matt Skelton ,Anthony Joshua,67,67,62.3,49.8,73,54,197,,,66.67,11.11,,359.76,230.72,Joshua won via TKO in round 2
13 September 2014,Unknown,Konstantin Airich ,Anthony Joshua,66,66,60.3,53,72,58,153,,,63.64,12.5,,233.99,231.9,Joshua won via TKO in round 3
11 October 2014,Unknown,Denis Bakhtov ,Anthony Joshua,63,63,54.7,55.3,78,63,264,,,57.14,8.51,,232.26,231.08,Joshua won via TKO in round 2
22 November 2014,Unknown,Michael Sprott ,Anthony Joshua,57,57,62.6,57.7,77,67,357,,,56.25,18.75,,237,230.73,Joshua won via TKO in round 1
4 April 2015,Unknown,Jason Gavern ,Anthony Joshua,55,55,60.6,59.6,80,69,267,,,58.82,18.37,,236.42,231.96,Joshua won via KO in round 3
30 May 2015,Unknown,Kevin Johnson ,Anthony Joshua,60,60,63.6,62.7,82,72,227,,,54.55,0,0,292.87,233.3,Joshua won via TKO in round 2
9 May 2015,Unknown,Raphael Zumbano Love ,Anthony Joshua,65,65,42.6,61.4,78,69,230,,,55,6.38,,224.61,233.05,Joshua won via TKO in round 2
9 May 2015,Unknown,Saul Alvarez ,James Kirkland,72,72,57.2,57.8,83,78,310,110,10,25.45,,3.03,152.59,206.32,Alvarez won via KO in round 3
12 September 2015,Unknown,Gary Cornish ,Anthony Joshua,63,63,56.8,64,70,72,93,,,54.17,0,0,225.49,234.2,Joshua won via TKO in round 1
7 November 2015,Unknown,Callum Smith ,Rocky Fielding,77,77,59.6,55.8,63,72,64,88,18.75,13.64,0,0,169.11,170,Smith won via TKO in round 1
26 September 2015,Unknown,Andy Ruiz Jr ,Joell Godfrey,73,73,49.8,51.5,75,85,83,178,20.48,,,6.25,251.09,209.94,Ruiz Jr won via UD in round 8
28 November 2015,Unknown,Tyson Fury ,Wladimir Klitschko,74,74,64.8,72.4,77,85,134,346,13.43,15.32,,4.48,249.05,234.75,Fury won via UD in round 12
12 December 2015,Unknown,Dillian Whyte ,Anthony Joshua,75,75,54.3,64.3,72,73,44,25,29.55,56,0,0,225.84,235.76,Joshua won via TKO in round 7
20 August 2016,Unknown,Shakur Stevenson ,Robeisy Ramirez Carrazana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown Result
