Player,PlayerIOC,Surface,Matches,EloRank,Elo,EloRankSurface,Wins,Losses,WinPercentage,Titles,PointsWonPercentage,GamesWonPercentage,SetsWonPercentage,DecSets,DecSetWins,DecSetWinPercentage,TieBreaks,TieBreaksWon,TieBreaksWonPercentage,ServiceGamesWonPercentage,ReturnGamesWonPercentage,EloServeRank,EloServe,FirstServePercentage,FirstServeWonPercentage,SecondServeWonPercentage,ServicePointsWonPercentage,Aces,AcePercentage,AcesPerServiceGame,DoubleFaultPercentage,DoubleFaultsPerServiceGame,AcesPerDoubleFault,BreakPointsFacedPerServiceGame,BreakPointsSavedPercentage,EloReturnRank,EloReturn,FirstServeReturnPointsWonPercentage,SecondServeReturnPointsWonPercentage,ReturnPointsWonPercentage,AceAgainstPercentage,AcesAgainstPerReturnGame,BreakPointChancesPerReturnGame,BreakPointsConvertedPercentage
Jannik Sinner,ITA,All,77,1,2159,,65,12,0.84416,6,0.54358,0.59739,0.7732,22,17,0.77273,26,14,0.53846,0.9087,0.27784,4,1714,0.60838,0.77826,0.57111,0.69714,490,0.08663,0.52632,0.02298,0.13963,3.76923,0.36305,0.74852,2,1662,0.32379,0.5327,0.40023,0.0817,0.54576,0.68137,0.40777
Jannik Sinner,ITA,Clay,10,1,2159,7,7,3,0.7,0,0.55071,0.61441,0.72,4,2,0.5,4,1,0.25,0.89167,0.32759,4,1714,0.60249,0.78391,0.56098,0.69529,37,0.05125,0.30833,0.01801,0.10833,2.84615,0.36667,0.70455,2,1662,0.35205,0.50987,0.4146,0.05346,0.35345,0.75,0.43678
Jannik Sinner,ITA,Grass,11,1,2159,15,8,3,0.72727,0,0.53657,0.57047,0.67742,2,2,1,3,1,0.33333,0.90604,0.2349,4,1714,0.57851,0.8,0.58824,0.71074,99,0.11688,0.66443,0.02715,0.15436,4.30435,0.34228,0.72549,2,1662,0.31122,0.52417,0.39279,0.07797,0.53691,0.77852,0.30172
Jannik Sinner,ITA,Hard,56,1,2159,1,50,6,0.89286,6,0.54388,0.60046,0.80435,16,13,0.8125,19,12,0.63158,0.91239,0.27882,4,1714,0.61561,0.77305,0.56906,0.69464,354,0.08662,0.53474,0.023,0.14199,3.76596,0.36707,0.76132,2,1662,0.32192,0.53947,0.39944,0.08767,0.58255,0.64642,0.43133
Carlos Alcaraz,ESP,All,67,2,2085,,53,14,0.79104,3,0.538,0.57637,0.74576,15,10,0.66667,29,19,0.65517,0.85816,0.29391,9,1654,0.66194,0.72442,0.57233,0.67301,278,0.05395,0.33135,0.02853,0.17521,1.89116,0.39333,0.63939,1,1666,0.3431,0.54912,0.41686,0.04963,0.3405,0.77778,0.37788
Carlos Alcaraz,ESP,Clay,14,2,2085,3,10,4,0.71429,0,0.54863,0.59877,0.75,2,1,0.5,5,3,0.6,0.81481,0.38272,9,1654,0.7001,0.67583,0.58784,0.64944,29,0.02938,0.17901,0.02736,0.16667,1.07407,0.47531,0.61039,1,1666,0.37907,0.60051,0.45818,0.03909,0.26543,0.89506,0.42759
Carlos Alcaraz,ESP,Grass,12,2,2085,2,12,0,1,2,0.54174,0.5864,0.86111,2,2,1,5,4,0.8,0.90449,0.26286,9,1654,0.64279,0.76184,0.55138,0.68666,73,0.06535,0.41011,0.03491,0.2191,1.87179,0.34831,0.72581,1,1666,0.34319,0.52346,0.4049,0.05495,0.37143,0.74857,0.35115
Carlos Alcaraz,ESP,Hard,41,2,2085,4,31,10,0.7561,1,0.53326,0.56557,0.70476,11,7,0.63636,19,12,0.63158,0.85571,0.276,9,1654,0.65661,0.72777,0.57593,0.67563,176,0.05772,0.35271,0.02657,0.16232,2.17284,0.38277,0.62304,1,1666,0.33152,0.54134,0.4078,0.05116,0.354,0.75,0.368
Novak Djokovic,SRB,All,59,3,2055,,50,9,0.84746,5,0.54616,0.58765,0.78107,15,9,0.6,32,26,0.8125,0.87606,0.28984,8,1669,0.63498,0.76352,0.56674,0.69169,438,0.08746,0.5322,0.02875,0.17497,3.04167,0.38518,0.67823,5,1645,0.32047,0.55636,0.4076,0.08707,0.57465,0.67503,0.42937
Novak Djokovic,SRB,Clay,16,3,2055,2,13,3,0.8125,1,0.55716,0.60769,0.81395,2,0,0,6,6,1,0.80808,0.40104,8,1669,0.65279,0.71961,0.53394,0.65515,79,0.06206,0.39899,0.02907,0.18687,2.13514,0.59596,0.67797,5,1645,0.41221,0.53571,0.46047,0.04031,0.27083,0.84375,0.47531
Novak Djokovic,SRB,Grass,7,3,2055,1,6,1,0.85714,0,0.53632,0.57031,0.8,1,0,0,7,6,0.85714,0.93893,0.184,8,1669,0.6461,0.77583,0.60854,0.71662,68,0.08564,0.51908,0.01385,0.08397,6.18182,0.29008,0.78947,5,1645,0.25918,0.51171,0.35488,0.11787,0.744,0.552,0.33333
Novak Djokovic,SRB,Hard,36,3,2055,2,31,5,0.86111,4,0.5441,0.58419,0.76238,12,9,0.75,19,14,0.73684,0.88664,0.27292,8,1669,0.62428,0.77996,0.56923,0.70078,291,0.09895,0.58907,0.03264,0.19433,3.03125,0.32591,0.65217,5,1645,0.29985,0.57719,0.39925,0.0984,0.65208,0.63958,0.42671
Daniil Medvedev,RUS,All,71,4,2032,,51,20,0.71831,0,0.51962,0.54444,0.65285,21,14,0.66667,34,21,0.61765,0.81964,0.2707,30,1606,0.62943,0.74408,0.47943,0.64601,498,0.08253,0.53148,0.05568,0.35859,1.48214,0.49626,0.63656,7,1638,0.31723,0.53262,0.39561,0.0522,0.34076,0.61996,0.43664
Daniil Medvedev,RUS,Clay,10,4,2032,12,6,4,0.6,0,0.50511,0.49213,0.56,4,3,0.75,5,4,0.8,0.74603,0.24219,30,1606,0.59763,0.71287,0.47353,0.61657,41,0.04852,0.3254,0.05917,0.39683,0.82,0.65079,0.60976,7,1638,0.31881,0.50476,0.39024,0.04268,0.27344,0.50781,0.47692
Daniil Medvedev,RUS,Grass,10,4,2032,6,7,3,0.7,0,0.51895,0.53061,0.63333,3,2,0.66667,4,2,0.5,0.84138,0.22819,30,1606,0.67114,0.76167,0.47279,0.66667,98,0.10962,0.67586,0.04474,0.27586,2.45,0.4069,0.61017,7,1638,0.30051,0.50888,0.37648,0.05717,0.3557,0.53691,0.425
Daniil Medvedev,RUS,Hard,51,4,2032,3,38,13,0.7451,0,0.52253,0.55748,0.67391,14,9,0.64286,25,15,0.6,0.82883,0.28571,30,1606,0.62701,0.74601,0.4819,0.6475,359,0.08359,0.53904,0.05728,0.36937,1.45935,0.48649,0.64815,7,1638,0.32044,0.54322,0.40064,0.05292,0.35038,0.66015,0.4328
Alexander Zverev,GER,All,89,5,1975,,67,22,0.75281,4,0.52652,0.54948,0.67094,25,19,0.76,45,26,0.57778,0.88338,0.21732,7,1678,0.72196,0.74476,0.53357,0.68604,720,0.10182,0.62663,0.02729,0.16797,3.73057,0.36554,0.68095,26,1565,0.29154,0.51074,0.37508,0.0643,0.41472,0.58788,0.36966
Alexander Zverev,GER,Clay,27,5,1975,6,22,5,0.81481,2,0.54206,0.57521,0.76562,2,2,1,8,7,0.875,0.87417,0.27723,7,1678,0.70985,0.75613,0.50281,0.68263,157,0.08547,0.51987,0.03974,0.24172,2.15068,0.39735,0.68333,26,1565,0.31683,0.56159,0.41078,0.04067,0.26403,0.70957,0.3907
Alexander Zverev,GER,Grass,7,5,1975,13,5,2,0.71429,0,0.52248,0.54787,0.66667,0,0,,4,2,0.5,0.95745,0.1383,7,1678,0.69273,0.80052,0.56805,0.72909,80,0.14545,0.85106,0.03273,0.19149,4.44444,0.25532,0.83333,26,1565,0.21387,0.49074,0.32028,0.11388,0.68085,0.38298,0.36111
Alexander Zverev,GER,Hard,55,5,1975,5,40,15,0.72727,2,0.52082,0.53938,0.63158,23,17,0.73913,33,17,0.51515,0.87782,0.20317,7,1678,0.73015,0.73421,0.54193,0.68232,483,0.10312,0.64143,0.02178,0.13546,4.73529,0.36653,0.66667,26,1565,0.2903,0.49251,0.36707,0.06809,0.44195,0.56464,0.35981
