tourney_name,surface,result,player,hand,height,country,age,best_of,minutes,numAces,numDF,servePoints,first_serve_won,second_serve_won,serve_games_won,breakPoints_saved,first_serve_in,rank,breakPoints_faced
United Cup,Hard,Winner,Taylor Fritz,R,193,USA,25.1,3,135,15,2,85,45,16,12,0,52,9,0
United Cup,Hard,Loser,Matteo Berrettini,R,196,ITA,26.7,3,135,7,2,97,47,15,12,9,62,16,9
United Cup,Hard,Winner,Frances Tiafoe,R,188,USA,24.9,3,34,3,1,27,15,3,4,3,19,19,3
United Cup,Hard,Loser,Lorenzo Musetti,R,185,ITA,20.8,3,34,0,0,21,8,3,4,1,12,23,3
United Cup,Hard,Winner,Taylor Fritz,R,193,USA,25.1,3,104,11,0,80,44,19,12,4,50,9,4
United Cup,Hard,Loser,Hubert Hurkacz,R,196,POL,25.8,3,104,17,1,82,51,7,12,2,62,10,2
United Cup,Hard,Winner,Frances Tiafoe,R,188,USA,24.9,3,79,5,4,61,31,11,9,5,37,19,5
United Cup,Hard,Winner,Stefanos Tsitsipas,R,193,GRE,24.3,3,155,9,1,98,43,28,16,1,52,4,2
United Cup,Hard,Loser,Matteo Berrettini,R,196,ITA,26.7,3,155,7,2,89,48,18,16,1,58,16,2
United Cup,Hard,Winner,Lorenzo Musetti,R,185,ITA,20.8,3,62,2,1,41,18,12,7,1,25,23,1
United Cup,Hard,Winner,Stefanos Tsitsipas,R,193,GRE,24.3,3,151,20,1,94,45,20,15,5,60,4,6
United Cup,Hard,Loser,Borna Coric,R,188,CRO,26.1,3,151,7,2,88,44,10,15,2,59,26,7
United Cup,Hard,Winner,Borna Gojo,R,196,CRO,24.8,3,89,4,1,50,27,11,9,1,30,144,1
United Cup,Hard,Winner,Matteo Berrettini,R,196,ITA,26.7,3,116,11,1,77,37,18,14,2,49,16,4
United Cup,Hard,Loser,Hubert Hurkacz,R,196,POL,25.8,3,116,12,1,79,36,16,14,1,49,10,4
United Cup,Hard,Winner,Lorenzo Musetti,R,185,ITA,20.8,3,57,8,0,31,17,11,7,0,18,23,0
United Cup,Hard,Winner,Cameron Norrie,L,188,GBR,27.3,3,136,7,0,91,53,9,16,5,69,14,8
United Cup,Hard,Loser,Taylor Fritz,R,193,USA,25.1,3,136,16,2,95,39,21,16,4,58,9,8
United Cup,Hard,Winner,Frances Tiafoe,R,188,USA,24.9,3,132,10,1,87,32,24,15,7,46,19,10
United Cup,Hard,Loser,Daniel Evans,R,175,GBR,32.6,3,132,9,3,82,35,17,15,5,46,27,9
United Cup,Hard,Winner,Stefanos Tsitsipas,R,193,GRE,24.3,3,78,12,1,61,27,12,9,4,39,4,5
United Cup,Hard,Loser,David Goffin,R,180,BEL,32,3,78,2,1,49,22,4,8,2,33,53,6
United Cup,Hard,Loser,Zizou Bergs,R,185,BEL,23.5,3,133,1,5,86,33,16,14,3,52,129,7
United Cup,Hard,Winner,Stefanos Tsitsipas,R,193,GRE,24.3,3,NA,12,1,95,56,12,15,8,72,4,9
United Cup,Hard,Loser,Grigor Dimitrov,R,188,BUL,31.6,3,NA,11,2,87,44,19,15,6,55,28,8
United Cup,Hard,Winner,Grigor Dimitrov,R,188,BUL,31.6,3,102,10,7,72,38,9,11,6,48,28,8
United Cup,Hard,Loser,David Goffin,R,180,BEL,32,3,102,2,2,64,22,16,11,3,33,53,7
United Cup,Hard,Loser,Zizou Bergs,R,185,BEL,23.5,3,87,4,4,56,13,11,7,2,31,129,7
United Cup,Hard,Winner,Hubert Hurkacz,R,196,POL,25.8,3,99,11,0,62,25,23,11,1,32,10,2
