Player,Surface,EloRank,WinPercentage,DoubleFaultPercentage,ReturnPointsWonPercentage
Jannik Sinner,Clay,1,0.7,0.01801,0.4146
Jannik Sinner,Grass,1,0.72727,0.02715,0.39279
Jannik Sinner,Hard,1,0.89286,0.023,0.39944
Carlos Alcaraz,Clay,2,0.71429,0.02736,0.45818
Carlos Alcaraz,Grass,2,1,0.03491,0.4049
Carlos Alcaraz,Hard,2,0.7561,0.02657,0.4078
Novak Djokovic,Clay,3,0.8125,0.02907,0.46047
Novak Djokovic,Grass,3,0.85714,0.01385,0.35488
Novak Djokovic,Hard,3,0.86111,0.03264,0.39925
Daniil Medvedev,Clay,4,0.6,0.05917,0.39024
Daniil Medvedev,Grass,4,0.7,0.04474,0.37648
Daniil Medvedev,Hard,4,0.7451,0.05728,0.40064
Alexander Zverev,Clay,5,0.81481,0.03974,0.41078
Alexander Zverev,Grass,5,0.71429,0.03273,0.32028
Alexander Zverev,Hard,5,0.72727,0.02178,0.36707
Grigor Dimitrov,Clay,6,0.63636,0.05335,0.40641
Grigor Dimitrov,Grass,6,0.71429,0.05282,0.40957
Grigor Dimitrov,Hard,6,0.75,0.03692,0.3663
Alex De Minaur,Clay,7,0.58333,0.04208,0.42135
Alex De Minaur,Grass,7,0.66667,0.03641,0.38875
Alex De Minaur,Hard,7,0.70968,0.02866,0.41467
Andrey Rublev,Clay,8,0.73684,0.03212,0.39583
Andrey Rublev,Grass,8,0.8,0.01836,0.36302
Andrey Rublev,Hard,8,0.65957,0.02188,0.37685
Casper Ruud,Clay,9,0.8,0.0255,0.41808
Casper Ruud,Hard,9,0.66667,0.02663,0.35537
Hubert Hurkacz,Clay,10,0.76471,0.0138,0.37081
Hubert Hurkacz,Grass,10,0.66667,0.02241,0.31399
Hubert Hurkacz,Hard,10,0.68627,0.01821,0.34266
Stefanos Tsitsipas,Clay,11,0.80952,0.04284,0.39186
Stefanos Tsitsipas,Grass,11,0.5,0.02225,0.29393
Stefanos Tsitsipas,Hard,11,0.61364,0.02806,0.35077
Taylor Fritz,Clay,12,0.66667,0.01592,0.37509
Taylor Fritz,Grass,12,0.42857,0.02987,0.33437
Taylor Fritz,Hard,12,0.70455,0.02775,0.38533
Tomas Machac,Clay,13,0.66667,0.03665,0.39856
Tomas Machac,Hard,13,0.65217,0.02527,0.37313
Karen Khachanov,Clay,14,0.73333,0.01649,0.40042
Karen Khachanov,Hard,14,0.63889,0.02312,0.3654
Tommy Paul,Clay,15,0.66667,0.02706,0.41176
Tommy Paul,Grass,15,0.58333,0.03923,0.373
Tommy Paul,Hard,15,0.6383,0.02775,0.39889
Holger Rune,Clay,16,0.66667,0.04282,0.36378
Holger Rune,Grass,16,0.77778,0.04757,0.34308
Holger Rune,Hard,16,0.53846,0.03742,0.34467
Ugo Humbert,Clay,17,0.5,0.01938,0.39077
Ugo Humbert,Grass,17,0.42857,0.05225,0.37138
Ugo Humbert,Hard,17,0.69811,0.02047,0.3729
Jiri Lehecka,Clay,18,0.66667,0.02479,0.35656
Jiri Lehecka,Grass,18,0.625,0.02857,0.34665
Jiri Lehecka,Hard,18,0.56098,0.03082,0.3555
Ben Shelton,Clay,19,0.6,0.06036,0.34793
Ben Shelton,Grass,19,0.4,0.05,0.32995
Ben Shelton,Hard,19,0.63415,0.04695,0.3447
Tallon Griekspoor,Clay,20,0.5,0.04188,0.33746
Tallon Griekspoor,Grass,20,0.77778,0.02432,0.3415
Tallon Griekspoor,Hard,20,0.54762,0.03986,0.31887
Nicolas Jarry,Clay,21,0.6,0.02382,0.3581
Nicolas Jarry,Grass,21,0.57143,0.02568,0.36193
Nicolas Jarry,Hard,21,0.6,0.02501,0.34362
Jakub Mensik,Hard,22,0.6875,0.03125,0.33751
Felix Auger Aliassime,Clay,23,0.66667,0.05447,0.38049
Felix Auger Aliassime,Hard,23,0.51515,0.06026,0.36418
Alexander Bublik,Clay,24,0.54545,0.08355,0.3542
Alexander Bublik,Grass,24,0.81818,0.09169,0.3692
Alexander Bublik,Hard,24,0.57143,0.09644,0.36988
Jan Lennard Struff,Clay,25,0.69231,0.03842,0.41674
Jan Lennard Struff,Grass,25,0.71429,0.05751,0.33821
Jan Lennard Struff,Hard,25,0.4,0.03329,0.34447
Hamad Medjedovic,Clay,26,0.54545,0.06235,0.35821
Hamad Medjedovic,Hard,26,0.8,0.02394,0.32842
Sebastian Korda,Clay,27,0.44444,0.01606,0.37926
Sebastian Korda,Grass,27,0.6,0.04278,0.3392
Sebastian Korda,Hard,27,0.57143,0.0269,0.36566
Matteo Arnaldi,Clay,28,0.58824,0.0453,0.38501
Matteo Arnaldi,Hard,28,0.58333,0.03329,0.35802
Jack Draper,Clay,29,0.4,0.03121,0.34367
Jack Draper,Hard,29,0.62069,0.03483,0.38753
Sebastian Baez,Clay,30,0.71429,0.02334,0.43411
Sebastian Baez,Hard,30,0.5,0.01838,0.37643
Cameron Norrie,Clay,31,0.5625,0.0316,0.40675
Cameron Norrie,Grass,31,0.6,0.03233,0.3766
Cameron Norrie,Hard,31,0.39286,0.02795,0.3505
Matteo Berrettini,Clay,32,0.83333,0.02519,0.40093
Matteo Berrettini,Grass,32,0.6,0.02016,0.28571
Matteo Berrettini,Hard,32,0.33333,0.01584,0.34228
Marton Fucsovics,Clay,33,0.72727,0.03444,0.41733
Marton Fucsovics,Grass,33,0.71429,0.05183,0.36842
Marton Fucsovics,Hard,33,0.43478,0.02881,0.35022
Flavio Cobolli,Clay,34,0.53333,0.03262,0.38007
Flavio Cobolli,Hard,34,0.5,0.03761,0.36439
Gael Monfils,Clay,35,0.375,0.03541,0.3643
Gael Monfils,Hard,35,0.61538,0.05531,0.37003
Fabian Marozsan,Clay,36,0.375,0.01779,0.37728
Fabian Marozsan,Hard,36,0.58065,0.02878,0.38171
Alejandro Tabilo,Clay,37,0.61111,0.02611,0.37461
Alejandro Tabilo,Hard,37,0.64286,0.03137,0.34653
Adrian Mannarino,Grass,38,0.75,0.04248,0.39123
Adrian Mannarino,Hard,38,0.60465,0.02709,0.37268
Frances Tiafoe,Clay,39,0.54545,0.02053,0.36417
Frances Tiafoe,Grass,39,0.77778,0.03836,0.34749
Frances Tiafoe,Hard,39,0.48485,0.03068,0.35175
Tomas Martin Etcheverry,Clay,40,0.61765,0.01946,0.4
Tomas Martin Etcheverry,Hard,40,0.40909,0.01387,0.35166
Emil Ruusuvuori,Clay,41,0.28571,0.02941,0.41225
Emil Ruusuvuori,Grass,41,0.42857,0.04223,0.33391
Emil Ruusuvuori,Hard,41,0.58065,0.03231,0.38087
Alejandro Davidovich Fokina,Clay,42,0.41667,0.02213,0.4053
Alejandro Davidovich Fokina,Grass,42,0.4,0.01866,0.37094
Alejandro Davidovich Fokina,Hard,42,0.54545,0.02258,0.38524
Jordan Thompson,Clay,43,0.375,0.01408,0.33632
Jordan Thompson,Grass,43,0.64286,0.01306,0.3624
Jordan Thompson,Hard,43,0.55263,0.01397,0.36476
Francisco Cerundolo,Clay,45,0.55172,0.03475,0.4167
Francisco Cerundolo,Grass,45,0.75,0.05165,0.39774
Francisco Cerundolo,Hard,45,0.42857,0.03698,0.34967
Mariano Navone,Clay,46,0.63158,0.02334,0.43945
Lukas Klein,Hard,47,0.375,0.04248,0.3365
Rafael Nadal,Clay,48,0.625,0.02515,0.40112
Roman Safiullin,Clay,49,0.2,0.04872,0.32781
Roman Safiullin,Grass,49,0.625,0.04743,0.37353
Roman Safiullin,Hard,49,0.5,0.04369,0.36667
Giovanni Mpetshi Perricard,Clay,50,0.83333,0.04957,0.37205
Luciano Darderi,Clay,51,0.70833,0.0223,0.39719
Alexei Popyrin,Clay,52,0.58333,0.03784,0.35191
Alexei Popyrin,Hard,52,0.52,0.03349,0.34853
Pavel Kotov,Clay,53,0.6,0.03173,0.40616
Pavel Kotov,Hard,53,0.5,0.03627,0.3559
Thiago Seyboth Wild,Clay,54,0.5,0.04444,0.38229
Thiago Seyboth Wild,Hard,54,0.35714,0.03939,0.30975
Roberto Bautista Agut,Clay,55,0.5,0.0216,0.40694
Roberto Bautista Agut,Grass,55,0.6,0.01591,0.36017
Roberto Bautista Agut,Hard,55,0.375,0.01806,0.34733
Milos Raonic,Hard,56,0.54545,0.06422,0.31341
Botic Van De Zandschulp,Clay,57,0.44444,0.05851,0.4075
Botic Van De Zandschulp,Hard,57,0.4375,0.03628,0.35796
Christopher Oconnell,Clay,58,0,0.04662,0.32708
Christopher Oconnell,Grass,58,0.57143,0.01987,0.3156
Christopher Oconnell,Hard,58,0.5,0.02013,0.34109
Marcos Giron,Clay,59,0.45455,0.01858,0.38587
Marcos Giron,Grass,59,0.2,0.02772,0.34524
Marcos Giron,Hard,59,0.47059,0.01998,0.36267
Alexander Shevchenko,Clay,60,0.42857,0.02427,0.3755
Alexander Shevchenko,Hard,60,0.5,0.03168,0.34626
Juncheng Shang,Clay,61,0.2,0.02899,0.35941
Juncheng Shang,Hard,61,0.5,0.02967,0.35611
Lorenzo Musetti,Clay,62,0.52941,0.02019,0.39969
Lorenzo Musetti,Grass,62,0.66667,0.06168,0.37295
Lorenzo Musetti,Hard,62,0.39394,0.02722,0.34912
Arthur Fils,Clay,63,0.42105,0.05422,0.3924
Arthur Fils,Hard,63,0.5625,0.04535,0.33402
Dominik Koepfer,Clay,64,0.4,0.03946,0.36563
Dominik Koepfer,Hard,64,0.57692,0.03643,0.36932
Miomir Kecmanovic,Clay,65,0.4375,0.01926,0.38179
