tourney_name,surface,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,loser_rank
United Cup,Hard,Jessica Pegula,R,170,USA,28.8,Martina Trevisan,L,160,ITA,29.1,6-4 6-2,3,89,2,2,48,24,17,12,9,0,3,0,0,69,43,20,12,9,3,9,3,27
United Cup,Hard,Madison Keys,R,178,USA,27.8,Lucia Bronzetti,R,NA,ITA,24,6-3 6-2,3,73,6,2,60,38,25,9,9,5,8,0,2,49,32,14,6,8,5,11,11,54
United Cup,Hard,Jessica Pegula,R,170,USA,28.8,Iga Swiatek,R,176,POL,21.5,6-2 6-2,3,71,2,1,53,29,24,11,8,1,2,1,2,41,26,10,5,8,2,7,3,1
United Cup,Hard,Madison Keys,R,178,USA,27.8,Magda Linette,R,171,POL,30.8,6-4 6-2,3,86,2,1,57,38,26,11,9,0,1,0,2,65,47,29,5,9,4,8,11,48
United Cup,Hard,Martina Trevisan,L,160,ITA,29.1,Maria Sakkari,R,172,GRE,27.4,6-3 6-7(4) 7-5,3,194,1,2,110,75,50,15,16,5,9,5,7,106,53,37,22,17,2,9,27,6
United Cup,Hard,Lucia Bronzetti,R,NA,ITA,24,Valentini Grammatikopoulou,U,NA,GRE,25.8,6-2 6-3,3,78,0,2,51,31,26,10,8,3,3,3,0,54,34,19,10,9,1,5,54,199
United Cup,Hard,Maria Sakkari,R,172,GRE,27.4,Petra Martic,R,181,CRO,31.9,6-3 6-3,3,99,3,0,49,33,24,10,9,2,3,8,5,86,48,27,17,9,9,13,6,38
United Cup,Hard,Donna Vekic,R,179,CRO,26.5,Despina Papamichail,R,178,GRE,29.8,6-2 6-0,3,64,1,4,41,27,22,7,7,0,0,0,2,49,33,17,4,7,5,10,67,158
United Cup,Hard,Iga Swiatek,R,176,POL,21.5,Martina Trevisan,L,160,ITA,29.1,6-2 6-4,3,111,1,1,59,44,31,9,9,3,4,0,4,77,50,29,11,9,7,11,1,27
United Cup,Hard,Magda Linette,R,171,POL,30.8,Lucia Bronzetti,R,NA,ITA,24,6-1 6-2,3,73,2,1,48,28,23,11,8,0,0,2,3,47,25,16,7,7,7,11,48,54
United Cup,Hard,Jessica Pegula,R,170,USA,28.8,Harriet Dart,R,175,GBR,26.4,6-2 6-0,3,57,1,2,37,22,18,11,7,0,0,0,2,45,26,14,4,7,3,8,3,98
United Cup,Hard,Madison Keys,R,178,USA,27.8,Katie Swan,R,170,GBR,23.7,2-6 6-3 6-4,3,138,3,3,96,70,45,10,14,8,12,1,7,84,51,33,16,13,6,10,11,145
United Cup,Hard,Maria Sakkari,R,172,GRE,27.4,Elise Mertens,R,179,BEL,27.1,6-1 7-5,3,83,5,0,50,28,22,10,10,0,3,0,4,57,39,19,6,9,5,11,6,29
United Cup,Hard,Alison Van Uytvanck,R,173,BEL,28.7,Despina Papamichail,R,178,GRE,29.8,7-5 2-6 6-3,3,150,3,5,100,62,39,14,15,6,12,0,2,96,63,37,16,14,7,13,72,158
United Cup,Hard,Maria Sakkari,R,172,GRE,27.4,Viktoriya Tomova,R,170,BUL,27.8,6-3 6-2,3,87,3,5,55,32,27,10,9,1,2,1,3,56,33,20,6,8,4,8,6,90
United Cup,Hard,Despina Papamichail,R,178,GRE,29.8,Isabella Shinikova,R,184,BUL,31.1,3-6 6-4 6-1,3,139,2,3,91,61,38,14,13,1,6,1,4,89,50,28,15,13,5,12,158,379
United Cup,Hard,Elise Mertens,R,179,BEL,27.1,Gergana Topalova,R,NA,BUL,22.8,6-4 3-6 6-0,3,115,2,8,74,44,32,12,12,7,11,2,1,73,48,28,9,13,5,12,29,324
United Cup,Hard,Alison Van Uytvanck,R,173,BEL,28.7,Isabella Shinikova,R,184,BUL,31.1,6-1 3-6 6-3,3,103,3,0,75,47,33,17,13,4,6,3,8,82,49,30,15,12,3,7,72,379
United Cup,Hard,Iga Swiatek,R,176,POL,21.5,Belinda Bencic,R,175,SUI,25.8,6-3 7-6(3),3,121,2,0,65,44,31,13,11,1,3,3,2,77,50,29,14,10,4,7,1,12
United Cup,Hard,Magda Linette,R,171,POL,30.8,Jil Teichmann,L,170,SUI,25.4,5-7 6-4 6-1,3,162,5,4,108,78,54,13,15,7,10,1,4,96,63,42,15,14,8,13,48,35
United Cup,Hard,Iga Swiatek,R,176,POL,21.5,Yulia Putintseva,R,163,KAZ,27.9,6-1 6-3,3,64,1,0,42,30,22,11,8,1,1,0,3,49,33,19,6,8,1,5,1,51
United Cup,Hard,Magda Linette,R,171,POL,30.8,Zhibek Kulambayeva,R,172,KAZ,22.7,6-2 6-1,3,67,1,0,48,26,21,12,8,3,4,0,2,42,31,10,6,7,4,9,48,464
