Rank,Name,Points,Keqiao,Curitiba,Salt Lake City,Prague,Bern,Innsbruck
1,Japan,21812.5,3950,3950,4260,3295,3070,3287.5
2,France,18465.75,2478.75,3675,2920,4195,2815,2382
3,United Kingdom,9182.75,1441.5,241,1446,1956.5,1721.75,2376
4,United States,8535.98,1994.16,1144.33,2100.5,666.33,1699,931.66
5,Solvenia,5427.53,970.83,745,300,1010,478.7,1923
6,Korea,5035.82,1431.5,300,862,619.5,983.16,839.66
7,Italy,4818.83,162.3,1402,602,535.5,702.25,1414.83
8,Belgium,3791.15,171.5,740,524,889,705.25,761.4
9,Germany,3785.82,848.83,940,428,669,645,254.99
10,Austria,3264.18,417.75,978.33,351.5,631.75,396.75,488.1
