Team,Pld,W,L,PF,PA,EW,EL,SE,S%,DSC,Sex,Rank
Great Britian,9,8,1,63,44,39,31,5,88,18.81,Male,1
Sweden,9,7,2,64,44,43,30,10,85.7,14.02,Male,2
Canada,9,5,4,58,50,34,38,7,84.4,26.49,Male,3
United States,9,5,4,58,61,35,41,4,83,32.29,Male,4
China,9,4,5,59,62,39,36,6,85.4,23.55,Male,5
Norway,9,4,5,58,53,40,36,0,84.4,20.96,Male,6
Switzerland,9,4,5,51,54,33,38,13,84.5,15.74,Male,7
ROC,9,4,5,58,58,33,38,6,81.2,33.72,Male,8
Italy,9,3,6,58,65,36,35,3,81.7,30.72,Male,9
Denmark,9,1,8,36,71,30,39,3,78.1,32.84,Male,10
Switzerland,9,8,1,67,46,44,36,12,81.6,19.14,Female,1
Sweden,9,7,2,64,49,39,35,12,82,25.02,Female,2
Great Britian,9,5,4,63,47,39,33,9,80.6,35.27,Female,3
Japan,9,5,4,64,62,40,36,13,82.3,36,Female,4
Canada,9,5,4,71,59,42,41,14,80.4,45.55,Female,5
United States,9,4,5,60,64,40,39,12,79.5,33.87,Female,6
China,9,4,5,56,67,38,41,10,79.6,30.06,Female,7
South Korea,9,4,5,62,66,40,42,10,80.8,27.79,Female,8
Denmark,9,2,7,50,68,33,41,0,77.2,23.36,Female,9
ROC,9,1,8,50,79,34,45,7,78.9,29.34,Female,10
Italy,9,9,0,79,48,43,28,17,79,25.34,Mixed,1
Norway,9,6,3,68,50,40,28,15,82,24.48,Mixed,2
Great Britian,9,6,3,60,50,38,33,12,79,22.48,Mixed,3
Sweden,9,5,4,55,54,35,33,10,76,21.77,Mixed,4
Canada,9,5,4,57,54,33,39,8,78,53.73,Mixed,5
Czech Republic,9,4,5,50,65,29,39,7,75,33.41,Mixed,6
Switzerland,9,3,6,55,58,32,39,6,73,39.04,Mixed,7
United States,9,3,6,50,67,34,36,9,74,27.29,Mixed,8
China,9,2,7,51,64,34,36,7,74,17.81,Mixed,9
Australia,9,2,7,52,67,31,38,8,72,50.51,Mixed,10
