Finish,Program Number,Horse,Qualifying Points,Trainer,Jockey,Morning Line Odds,Final Odds,Margin Lengths,Winnings
1,18,Sovereignty,110,William I. Mott,Junior Alvarado,5,7.98,0,3100000
2,8,Journalism,122.5,Michael W. McCarthy,Umberto Rispoli,3,3.42,1.5,1000000
3,21,Baeza,37.5,John Shirreffs,Flavien Prat,12,13.86,1.75,500000
4,3,Final Gambit,100,Brad H. Cox,Luan Machado,30,17.55,4.25,250000
5,20,Owen Almighty,65,Brian A. Lynch,Javier Castellano,30,40.27,9,150000
6,9,Burnham Square,130,Ian R. Wilkes,Brain Hernandez Jr.,12,19.65,10.5,0
7,17,Sandman,129,Mark E. Casse,Jose Ortiz,6,5.77,12.5,0
8,12,East Avenue,60,Brendan P. Walsh,Manuel Franco,20,41.97,13.5,0
9,19,Chunk of Gold,75,Ethan West,Jareth Loverberry,30,29.06,15.75,0
10,14,Tiztastic,119,Steven M. Asmussen,Joel Rosario,20,24.8,16.5,0
11,16,Coal Battle,95,Lonnie Briley,Juan Vargas,30,28.4,17,0
12,7,Luxor Café,70,Noriyuki Hori,Joao Moreira,30,8.24,18.75,0
13,2,Neoequos,40,Saffie Joseph Jr. ,Luis Saez,30,42.58,27,0
14,13,Publisher,60,Steven M. Asmussen,Irad Ortiz Jr.,20,33.39,32.25,0
15,1,Citizen Bull,71.25,Bob Baffert,Martin Garcia,20,13.98,33.5,0
16,5,American Promise,55,D. Wayne Lukas,Mik Juarez,30,12.51,38.5,0
17,15,Render Judgment,39,Kenneth G. McPeek,Julien Peparous,30,20.57,39.75,0
18,11,Flying Mohawk,50,Whit Beckham,Joseph Ramos,30,28.39,42.25,0
19,6,Admire Dayotna,100,Yukihiro Kato,Chistophe Lemaire,30,42.85,54.75,0
