"","First Name","Last Name","Overall Reliability","Singles Reliability","Doubles Reliability","Mixed Reliability"
"1","Abigail","Nolan",0.38,0.34,0.38,0.42
"2","Addi","Morris",0.32,0.15,0.38,0.42
"3","Addison","Joyce",0.37,0.28,0.29,0.53
"4","Alexa","Tueller",0.26,0.26,0.27,0.24
"5","Alexa","Medellin",0.25,0,0.32,0.44
"6","Alexandra","Mcdonald",0.45,0.36,0.48,0.5
"7","Alivia","Lubenow",0.41,0.42,0.34,0.48
"8","Ally","Duke",0.41,0,0.62,0.6
"9","Aly","Evanson",0.39,0.15,0.5,0.53
"10","Alyssa","Perkins",0.19,0,0.24,0.33
"11","amanda","seigle",0.42,0,0.64,0.62
"12","Amy","Fei",0.53,0.52,0.53,0.53
"13","Anna","Nichols",0.19,0,0.27,0.29
"14","Ariel","Tobiasson",0.21,0,0.32,0.31
"15","Armelle","Worrel",0.47,0.3,0.55,0.55
"16","Ashley","Poshard",0.46,0,0.73,0.65
"17","Aubrey","Wagner",0.44,0.28,0.52,0.52
"18","Averee","Beck",0.66,0.69,0.59,0.69
"19","Belani","Soto",0.21,0,0.31,0.31
"20","Brenna","Murray",0.63,0.68,0.61,0.6
"21","Brenna","Gross",0.21,0,0,0.62
"22","Brice","Howe",0.47,0.3,0.55,0.55
"23","Bridget","Nelson",0.19,0,0.27,0.29
"24","Brinley","Horton",0.29,0,0.5,0.36
"25","brisa","cortes",0.32,0.15,0.34,0.46
"26","Caraline","Cox",0.5,0.37,0.56,0.56
"27","Carley","Anderson",0.42,0.26,0.5,0.5
"28","Carly","Mcnatt",0.51,0.5,0.51,0.53
"29","Caroline","Walton",0.19,0,0,0.58
"30","Caroline","Houck",0.26,0.26,0.26,0.27
"31","Cate","Osika",0.54,0.55,0.54,0.54
"32","Chardan","Bonheur",0.28,0.28,0.28,0.28
"33","Charlee","Laffey",0.35,0.35,0.35,0.34
"34","Christianna","Hornigold",0.56,0.55,0.56,0.56
"35","Cindy","Cook",0.18,0,0,0.55
"36","Claire","Latham",0.27,0.29,0.26,0.27
"37","Colleen","White",0.26,0.26,0.26,0.27
"38","Danielle","Halpin",0.21,0,0.31,0.33
"39","Dasha","Terson",0.21,0,0,0.62
"40","Denby","Nagata",0.19,0,0.29,0.29
"41","Diya","Rao",0.25,0.26,0.24,0.26
"42","Dodo","Kong",0.63,0.69,0.61,0.6
"43","Dylan","Ciampini",0.44,0.27,0.52,0.53
"44","Eden","Wilson",0.27,0.28,0.27,0.26
"45","Elaina","Schilt",0.45,0.52,0.54,0.3
"46","Elise","Gattey",0.26,0.26,0.26,0.25
"47","Elitza","Lopez",0.55,0.48,0.49,0.68
"48","Elizabeth","Herren",0.48,0.44,0.49,0.52
"49","Elizabeth","Hardie",0.17,0,0.29,0.23
"50","Ella","Barclay",0.39,0.15,0.52,0.5
"51","Elle","Koch",0.28,0.28,0.28,0.27
"52","Elle beth","Isabell",0.26,0.26,0.26,0.26
"53","Elli","Carroll",0.19,0,0.31,0.27
"54","Emiliana","Marquez",0.21,0,0.32,0.32
"55","emily","lara",0.53,0.53,0.53,0.53
"56","Emily","Miller",0.46,0.11,0.54,0.73
