"","Player","Pos","GP","GS","MIN","G","A","G+A","YC","RC","MOTM","Career Caps","Career Goals","Career Assists","Career G+A"
"1","Player","Pos","GP","GS","MIN","G","A","G+A","YC","RC","MOTM","Career Caps","Career Goals","Career Assists","Career G+A"
"2","Aaronson, Brenden","F","9","4","396","0","0","0","0","0","0","47","8","6","14"
"3","Adams, Tyler","M","6","4","276","1","0","1","1","0","1","42","2","0","2"
"4","Atencio, Josh","M","1","1","61","0","0","0","0","0","0","1","0","0","0"
"5","Bajraktarevic, Esmir","M","1","0","29","0","0","0","0","0","0","1","0","0","0"
"6","Balogun, Folarin","F","9","7","536","2","2","4","1","0","1","17","5","4","9"
"7","Busio, Gianluca","M","4","2","169","0","0","0","0","0","0","17","1","3","4"
"8","Cardoso, Johnny","M","9","3","329","0","0","0","0","0","0","18","0","0","0"
"9","Carter-Vickers, Cameron","D","2","0","73","0","0","0","0","0","0","18","0","0","0"
"10","Cowell, Cade","F","3","0","33","0","0","0","0","0","0","11","1","1","2"
"11","de la Torre, Luca","M","4","0","92","1","0","1","1","0","1","24","1","5","6"
"12","Dest, Sergiño","D","1","1","90","0","0","0","0","0","0","33","2","5","7"
"13","Fossey, Marlon","D","1","1","90","0","0","0","0","0","0","1","0","0","0"
"14","Horvath, Ethan","GK","1","0","45","0","0","0","0","0","0","10","0","0","0"
"15","Jackson, Aziel","F","1","0","1","0","0","0","0","0","0","1","0","0","0"
"16","Jones, DeJuan","D","1","1","90","0","0","0","0","0","0","8","0","3","3"
"17","Kamungo, Bernard","F","1","1","61","0","0","0","0","0","0","1","0","0","0"
"18","Luna, Diego","F","1","1","77","0","0","0","0","0","0","1","0","0","0"
"19","Lund, Kristoffer","D","4","2","224","0","0","0","0","0","0","7","0","0","0"
"20","McGlynn, Jack","M","1","0","29","0","0","0","0","0","0","1","0","0","0"
"21","McGuire, Duncan","F","1","0","28","0","0","0","0","0","0","1","0","0","0"
"22","McKennie, Weston","M","9","9","770","0","2","2","3","0","0","58","11","7","18"
"23","McKenzie, Mark","D","4","4","360","0","0","0","0","0","1","17","0","1","1"
"24","Moore, Shaq","D","2","1","66","0","0","0","0","0","0","19","1","0","1"
"25","Morris, Aidan","M","5","4","377","0","1","1","1","0","0","9","0","1","1"
"26","Musah, Yunus","M","12","9","707","1","1","2","0","0","0","45","1","3","4"
"27","Pepi, Ricardo","F","11","4","497","3","0","3","0","0","1","33","13","3","16"
"28","Pulisic, Christian","F","12","11","963","4","3","7","0","0","3","76","32","18","50"
"29","Ream, Tim","D","11","11","955","0","0","0","0","1","0","66","1","4","5"
"30","Reyna, Gio","M","7","6","482","1","2","3","0","0","0","31","8","5","13"
"31","Richards, Chris","D","9","9","840","0","0","0","2","0","0","23","1","0","1"
"32","Robinson, Antonee","D","11","11","952","0","2","2","2","0","0","50","4","8","12"
"33","Robinson, Miles","D","3","3","300","0","0","0","0","0","0","30","3","0","3"
"34","Sargent, Josh","F","4","2","154","0","0","0","0","0","0","27","5","1","6"
"35","Scally, Joe","D","11","11","929","0","0","0","1","0","0","19","0","0","0"
"36","Schulte, Patrick","GK","2","2","180","0","0","0","0","0","0","2","0","0","0"
"37","Tessmann, Tanner","M","4","2","227","0","0","0","0","0","0","6","0","0","0"
"38","Tillman, Malik","M/F","9","3","335","0","0","0","0","0","0","17","0","0","0"
"39","Tillman, Timmy","M","1","1","89","0","0","0","0","0","1","1","0","0","0"
"40","Tolkin, John","D","1","0","29","0","0","0","0","0","0","4","0","0","0"
"41","Trusty, Auston","D","2","0","10","0","0","0","0","0","0","4","0","1","1"
"42","Turner, Matt","GK","12","12","1065","0","0","0","1","0","1","49","0","0","0"
"43","Vazquez, brandon","F","3","0","58","0","0","0","0","0","0","11","4","0","4"
"44","Weah, Tim","F","7","7","495","2","1","3","0","1","0","42","7","5","12"
"45","White, Brian","F","1","1","62","0","0","0","1","0","0","1","0","0","0"
"46","Wiley, Caleb","D","2","0","37","0","0","0","0","0","0","3","0","0","0"
"47","Wright, Haji","F","8","2","305","2","1","3","0","0","1","15","4","1","5"
"48","Zawadzki, Sean","D","1","1","90","0","0","0","0","0","0","1","0","0","0"
"49","Zendejas, Alex","F","4","0","55","0","0","0","1","0","0","11","1","1","2"
"50","OWN GOAL","","","","","2","","","","","","","","",""
"51","TOTALS","","14","14","1290","19","15","32","15","2","11","","","",""
"52","OPPONENT TOTALS","","14","14","1290","18","6","24","27","2","","","","",""
