"","Name","Pos.","GP","GS","Min","G","A","Y","R","Career Caps","Goals"
"1","Name","Pos.","GP","GS","Min","G","A","Y","R","Career Caps","Goals"
"2","Albert, Korbin","M","21","11","1162","1","1","1","","22","1"
"3","Bethune, Croix","M","3","0","25","0","0","0","","3","0"
"4","Campbell, Jane","GK","1","1","90","0","0","0","","8",""
"5","Coffey, Sam","M","21","19","1589","0","2","4","","28","1"
"6","Dahlkemper, Abby","D","4","3","253","0","0","0","","84","0"
"7","Davidson, Tierna","D","14","14","1151","2","0","0","","65","3"
"8","Dunn, Crystal","D","15","12","1095","1","1","0","","155","25"
"9","Fox, Emily","D","23","18","1703","0","1","0","","62","1"
"10","Gaetino, Eva","D","1","1","69","0","0","0","","1","0"
"11","Girma, Naomi","D","18","18","1637","2","0","0","","44","2"
"12","Haught, Mandy","GK","1","1","90","0","0","0","","1",""
"13","Hershfelt, Hal","M","3","1","134","0","0","0","","3","0"
"14","Horan, Lindsey","M","22","21","1804","5","3","2","","161","36"
"15","Krueger, Casey","D","18","4","559","0","2","0","","60","0"
"16","Lavelle, Rose","M","18","14","1130","0","3","0","","110","24"
"17","Macario, Catarina","F","2","1","73","0","1","0","","19","8"
"18","Mace, Hailie","D","1","1","60","0","0","0","","9","0"
"19","Malonson, Alyssa","D","1","1","69","0","0","0","","1","0"
"20","Morgan, Alex","F","9","7","515","2","1","2","","224","123"
"21","Moultrie, Olivia","M","3","2","129","2","0","0","","5","2"
"22","Murphy, Casey","GK","3","3","270","0","0","0","","20",""
"23","Naeher, Alyssa","GK","18","18","1710","0","0","1","","115",""
"24","Nighswonger, Jenna","D","16","10","857","2","1","0","","18","2"
"25","Purce, Margaret","F","4","1","150","0","2","0","","30","4"
"26","Rodman, Trinity","F","18","15","1289","3","4","2","","46","10"
"27","Ryan, Yazmeen","F","4","2","209","0","1","1","","4","0"
"28","Sams, Emily","D","2","1","111","0","0","0","","2","0"
"29","Sanchez, Ashley","M","1","1","90","0","0","0","","28","3"
"30","Sauerbrunn, Becky","D","2","2","180","0","0","0","","219","0"
"31","Sears, Emma","F","3","2","170","1","1","0","","3","1"
"32","Sentnor, Ally","F","2","0","10","0","0","0","","2","0"
"33","Shaw, Jaedyn","F","17","9","764","6","1","1","","21","8"
"34","Smith, Sophia","F","20","12","1194","9","4","0","","58","24"
"35","Sonnett, Emily","D","20","8","1126","0","0","2","","103","2"
"36","Staab, Sam","D","2","1","120","0","0","0","","2","0"
"37","Swanson, Mallory","F","15","12","1113","6","4","0","","103","38"
"38","Thompson, Alyssa","F","4","2","232","1","0","0","","13","1"
"39","Williams, Lynn","F","16","4","695","4","1","0","","75","21"
"40","Yohannes, Lily","M","2","0","43","1","0","0","","2","1"
"41","Own Goal","","","","","2","","","","",""
"42","TOTAL","","23","23","2160","50","33","16","0","",""
"43","Opponents","","23","23","2160","12","4","24","2","",""
