"","Rnk","GC","hours","minutes","seconds","BIB","Specialty","Rider","Age","Team","UCI","Pnt","Time","year","tot_seconds"
"1",1,166,4,10,8,197,"Sprint","KITTEL Marcel   Team Argos - Shimano",25,"Team Argos - Shimano",20,100,"3:06:14",2013,15008
"2",2,129,3,32,7,24,"Sprint","GREIPEL André   Lotto Belisol Team",31,"Lotto Belisol Team",10,70,",,0:00",2013,12727
"3",3,148,3,52,4,151,"Sprint","CAVENDISH Mark   Omega Pharma - Quick-Step",28,"Omega Pharma - Quick-Step",6,50,",,0:00",2013,13924
"4",4,82,2,38,51,11,"Sprint","SAGAN PeterCannondale Pro Cycling Team",23,"Cannondale Pro Cycling Team",4,40,",,0:00",2013,9531
"5",5,157,4,2,9,145,"Sprint","FERRARI Roberto   Lampre - Merida",30,"Lampre - Merida",2,32,",,0:00",2013,14529
"6",6,147,3,49,50,103,"Classic","KRISTOFF Alexander   Team Katusha",26,"Team Katusha",NA,26,",,0:00",2013,13790
"7",7,134,3,38,31,57,"Hills","REZA Kévin   Team Europcar",25,"Team Europcar",NA,22,",,0:00",2013,13111
"8",8,158,4,3,6,55,"Sprint","GÈNE Yohann   Team Europcar",32,"Team Europcar",NA,18,",,0:00",2013,14586
"9",9,107,3,5,55,92,"Sprint","BENNATI Daniele   Team Saxo - Tinkoff",32,"Team Saxo - Tinkoff",NA,14,",,0:00",2013,11155
"10",10,133,3,37,48,75,"Sprint","FISCHER Murilo Antonio   FDJ.fr",34,"FDJ.fr",NA,10,",,0:00",2013,13068
"11",11,74,2,26,37,185,"Hills","IMPEY Daryl   Orica GreenEDGE",28,"Orica GreenEDGE",NA,8,",,0:00",2013,8797
"12",12,152,3,57,24,184,"Sprint","GOSS Matthew   Orica GreenEDGE",26,"Orica GreenEDGE",NA,6,",,0:00",2013,14244
"13",13,139,3,43,15,118,"Sprint","PÉREZ Rubén   Euskaltel - Euskadi",31,"Euskaltel - Euskadi",NA,4,",,0:00",2013,13395
"14",14,108,3,7,12,22,"GC","BAK Lars Ytting   Lotto Belisol Team",33,"Lotto Belisol Team",NA,2,"0:040:04",2013,11232
"15",15,165,4,7,59,115,"Sprint","LOBATO Juan José   Euskaltel - Euskadi",24,"Euskaltel - Euskadi",NA,1,",,0:04",2013,14879
"16",16,138,3,40,55,193,"GC","DE KORT Koen   Team Argos - Shimano",30,"Team Argos - Shimano",NA,NA,",,0:04",2013,13255
"17",17,144,3,48,15,207,"Sprint","VAN POPPEL Boy   Vacansoleil - DCM",25,"Vacansoleil - DCM",NA,NA,",,0:04",2013,13695
"18",18,143,3,47,11,84,"Sprint","DUMOULIN Samuel   AG2R La Mondiale",32,"AG2R La Mondiale",NA,NA,",,0:04",2013,13631
"19",19,79,2,34,5,129,"Sprint","ROJAS José Joaquín   Movistar Team",28,"Movistar Team",NA,NA,",,0:04",2013,9245
"20",20,115,3,16,28,134,"Sprint","GARCÍA Egoitz   Cofidis, Solutions Crédits",27,"Cofidis, Solutions Crédits",NA,NA,",,0:04",2013,11788
"21",21,81,2,36,28,213,"GC","EL FARES Julien   Sojasun",28,"Sojasun",NA,NA,",,0:04",2013,9388
"22",22,131,3,34,33,168,"Classic","VANMARCKE Sep   Belkin-Pro Cycling Team",24,"Belkin-Pro Cycling Team",NA,NA,",,0:04",2013,12873
"23",23,37,1,27,57,89,"GC","RIBLON Christophe   AG2R La Mondiale",32,"AG2R La Mondiale",NA,NA,",,0:04",2013,5277
"24",24,62,2,7,11,34,"Classic","GILBERT Philippe   BMC Racing Team",31,"BMC Racing Team",NA,NA,",,0:04",2013,7631
"25",25,162,4,4,26,26,"Sprint","HENDERSON Gregory   Lotto Belisol Team",36,"Lotto Belisol Team",NA,NA,"0:100:10",2013,14666
"26",26,120,3,21,29,177,"TT","NAVARDAUSKAS Ramūnas   Garmin Sharp",25,"Garmin Sharp",NA,NA,",,0:10",2013,12089
"27",27,7,0,12,17,63,"GC","FUGLSANG Jakob   Astana Pro Team",28,"Astana Pro Team",NA,NA,",,0:10",2013,737
"28",28,15,0,26,42,82,"Climber","BARDET Romain   AG2R La Mondiale",22,"AG2R La Mondiale",NA,NA,",,0:10",2013,1602
"29",29,119,3,21,6,107,"TT","SMUKULIS Gatis   Team Katusha",26,"Team Katusha",NA,NA,",,0:10",2013,12066
"30",30,8,0,15,26,121,"Climber","VALVERDE Alejandro   Movistar Team",33,"Movistar Team",NA,NA,",,0:10",2013,926
"31",31,5,0,7,27,94,"GC","KREUZIGER Roman   Team Saxo - Tinkoff",27,"Team Saxo - Tinkoff",NA,NA,",,0:10",2013,447
"32",32,124,3,24,28,88,"Classic","MINARD Sébastien   AG2R La Mondiale",31,"AG2R La Mondiale",NA,NA,",,0:10",2013,12268
"33",33,105,3,2,52,161,"TT","BOOM Lars   Belkin-Pro Cycling Team",27,"Belkin-Pro Cycling Team",NA,NA,",,0:10",2013,10972
"34",34,14,0,23,38,47,"GC","MONFORT Maxime   RadioShack - Leopard",30,"RadioShack - Leopard",NA,NA,",,0:10",2013,1418
"35",35,4,0,6,27,91,"GC","CONTADOR Alberto   Team Saxo - Tinkoff",30,"Team Saxo - Tinkoff",NA,NA,",,0:10",2013,387
"36",36,95,2,53,36,64,"Classic","GASPAROTTO Enrico   Astana Pro Team",31,"Astana Pro Team",NA,NA,",,0:10",2013,10416
"37",37,153,3,59,14,156,"Sprint","STEEGMANS Gert   Omega Pharma - Quick-Step",32,"Omega Pharma - Quick-Step",NA,NA,",,0:10",2013,14354
"38",38,48,1,42,41,109,"GC","VORGANOV Eduard   Team Katusha",30,"Team Katusha",NA,NA,",,0:10",2013,6161
"39",39,10,0,17,39,178,"GC","TALANSKY AndrewGarmin Sharp",24,"Garmin Sharp",NA,NA,",,0:10",2013,1059
"40",40,6,0,11,42,164,"Climber","MOLLEMA Bauke   Belkin-Pro Cycling Team",26,"Belkin-Pro Cycling Team",NA,NA,",,0:10",2013,702
"41",41,89,2,44,13,212,"Classic","DELAPLACE Anthony   Sojasun",23,"Sojasun",NA,NA,",,0:10",2013,9853
"42",42,42,1,36,27,112,"GC","ASTARLOZA Mikel   Euskaltel - Euskadi",33,"Euskaltel - Euskadi",NA,NA,",,0:10",2013,5787
"43",43,154,4,0,19,186,"TT","LANCASTER Brett   Orica GreenEDGE",33,"Orica GreenEDGE",NA,NA,",,0:10",2013,14419
"44",44,80,2,34,36,181,"Classic","GERRANS Simon   Orica GreenEDGE",33,"Orica GreenEDGE",NA,NA,",,0:10",2013,9276
"45",45,130,3,32,14,187,"GC","MEYER Cameron   Orica GreenEDGE",25,"Orica GreenEDGE",NA,NA,",,0:10",2013,12734
"46",46,161,4,3,27,188,"Sprint","O'GRADY Stuart   Orica GreenEDGE",39,"Orica GreenEDGE",NA,NA,",,0:10",2013,14607
"47",47,22,0,46,0,86,"GC","GADRET John   AG2R La Mondiale",34,"AG2R La Mondiale",NA,NA,",,0:10",2013,2760
"48",48,2,0,4,20,128,"GC","QUINTANA NairoMovistar Team",23,"Movistar Team",NA,NA,",,0:10",2013,260
"49",49,118,3,19,12,125,"GC","ERVITI Imanol   Movistar Team",29,"Movistar Team",NA,NA,",,0:10",2013,11952
"50",50,69,2,21,32,114,"GC","IZAGIRRE Ion   Euskaltel - Euskadi",24,"Euskaltel - Euskadi",NA,NA,",,0:10",2013,8492
"51",51,3,0,5,4,101,"Climber","RODRÍGUEZ Joaquim   Team Katusha",34,"Team Katusha",NA,NA,",,0:10",2013,304
"52",52,12,0,20,1,116,"Climber","NIEVE Mikel   Euskaltel - Euskadi",29,"Euskaltel - Euskadi",NA,NA,",,0:10",2013,1201
"53",53,20,0,41,46,41,"GC","SCHLECK Andy   RadioShack - Leopard",28,"RadioShack - Leopard",NA,NA,",,0:10",2013,2506
"54",54,54,1,58,59,122,"GC","AMADOR Andrey   Movistar Team",26,"Movistar Team",NA,NA,",,0:10",2013,7139
"55",55,39,1,30,14,31,"GC","EVANS Cadel   BMC Racing Team",36,"BMC Racing Team",NA,NA,",,0:10",2013,5414
"56",56,100,2,57,3,15,"Classic","KOREN Kristijan   Cannondale Pro Cycling Team",26,"Cannondale Pro Cycling Team",NA,NA,",,0:10",2013,10623
"57",57,110,3,9,47,102,"Sprint","BRUTT Pavel   Team Katusha",31,"Team Katusha",NA,NA,",,0:10",2013,11387
"58",58,27,0,54,34,124,"GC","COSTA Rui   Movistar Team",26,"Movistar Team",NA,NA,",,0:10",2013,3274
"59",59,61,2,7,1,136,"Classic","LEVARLET Guillaume   Cofidis, Solutions Crédits",27,"Cofidis, Solutions Crédits",NA,NA,",,0:10",2013,7621
"60",60,13,0,21,39,167,"GC","TEN DAM Laurens   Belkin-Pro Cycling Team",32,"Belkin-Pro Cycling Team",NA,NA,",,0:10",2013,1299
"61",61,58,2,2,59,44,"Classic","GALLOPIN Tony   RadioShack - Leopard",25,"RadioShack - Leopard",NA,NA,",,0:10",2013,7379
"62",62,11,0,18,59,153,"Classic","KWIATKOWSKI Michał   Omega Pharma - Quick-Step",23,"Omega Pharma - Quick-Step",NA,NA,",,0:10",2013,1139
"63",63,46,1,40,5,219,"Climber","VUILLERMOZ Alexis   Sojasun",25,"Sojasun",NA,NA,",,0:10",2013,6005
"64",64,26,0,54,25,162,"GC","GESINK Robert   Belkin-Pro Cycling Team",27,"Belkin-Pro Cycling Team",NA,NA,",,0:10",2013,3265
"65",65,99,2,54,53,52,"Classic","ARASHIRO Yukiya   Team Europcar",28,"Team Europcar",NA,NA,",,0:10",2013,10493
"66",66,41,1,34,30,194,"TT","DUMOULIN Tom   Team Argos - Shimano",22,"Team Argos - Shimano",NA,NA,",,0:10",2013,5670
"67",67,17,0,32,34,106,"Climber","MORENO Daniel   Team Katusha",31,"Team Katusha",NA,NA,",,0:10",2013,1954
"68",68,35,1,20,39,36,"GC","MORABITO Steve   BMC Racing Team",30,"BMC Racing Team",NA,NA,",,0:10",2013,4839
"69",69,38,1,28,6,23,"GC","DE CLERCQ Bart   Lotto Belisol Team",26,"Lotto Belisol Team",NA,NA,",,0:10",2013,5286
"70",70,72,2,23,15,25,"GC","HANSEN Adam   Lotto Belisol Team",32,"Lotto Belisol Team",NA,NA,",,0:10",2013,8595
"71",71,36,1,24,22,49,"GC","ZUBELDIA Haimar   RadioShack - Leopard",36,"RadioShack - Leopard",NA,NA,",,0:10",2013,5062
"72",72,91,2,45,5,32,"GC","BOOKWALTER Brent   BMC Racing Team",29,"BMC Racing Team",NA,NA,",,0:10",2013,9905
"73",73,9,0,15,52,139,"GC","NAVARRO Daniel   Cofidis, Solutions Crédits",30,"Cofidis, Solutions Crédits",NA,NA,",,0:10",2013,952
"74",74,25,0,54,0,159,"GC","VELITS Peter   Omega Pharma - Quick-Step",28,"Omega Pharma - Quick-Step",NA,NA,",,0:10",2013,3240
"75",75,34,1,14,59,85,"GC","DUPONT Hubert   AG2R La Mondiale",32,"AG2R La Mondiale",NA,NA,",,0:10",2013,4499
"76",76,114,3,15,15,12,"TT","BODNAR Maciej   Cannondale Pro Cycling Team",28,"Cannondale Pro Cycling Team",NA,NA,",,0:10",2013,11715
"77",77,56,2,0,3,35,"GC","MOINARD Amaël   BMC Racing Team",31,"BMC Racing Team",NA,NA,",,0:10",2013,7203
