"","player","level","gender","division","team_name","statistic","value"
"1","Jacques Nissen","Division 1","Men","Division 1 Men","Brown Brownian Motion","Team Games",8
"2","Emily Kemp","Division 1","Women","Division 1 Women","Tufts EWO","Team Games",5
"3","Devin Quinn","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts","Team Games",5
"4","Matthew Gregor","Division 3","Men","Division 3 Men","Franciscan Fatal","Team Games",6
"5","Frankie Saraniti","Division 3","Women","Division 3 Women","Carleton Eclipse","Team Games",6
"6","Jacob Felton","Division 3","Men","Division 3 Men","Davenport Panthers","Team Games",6
"7","Rowan Dong","Division 3","Women","Division 3 Women","Carleton Eclipse","Team Games",6
"8","Charles Tantum","Division 3","Men","Division 3 Men","Williams WUFO","Team Games",6
"9","Will Brandt","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"10","Max Zwerin","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus","Team Games",6
"11","Faye Burdick","Division 1","Women","Division 1 Women","Colorado Quandary","Team Games",7
"12","Scott Heyman","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur","Team Games",5
"13","Mika Kurahashi","Division 1","Women","Division 1 Women","British Columbia Thunderbirds","Team Games",6
"14","Leo Farley","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus","Team Games",6
"15","Cal Nightingale","Division 1","Men","Division 1 Men","Brown Brownian Motion","Team Games",8
"16","Jordan Bacharach","Division 1","Men","Division 1 Men","Michigan Magnum","Team Games",5
"17","Henry Ing","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur","Team Games",5
"18","Tori Gray","Division 1","Women","Division 1 Women","Carleton Syzygy","Team Games",6
"19","Matthew Kompelien","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"20","Dawn Culton","Division 1","Women","Division 1 Women","North Carolina Pleiades","Team Games",7
"21","Sami Chambers","Division 1","Women","Division 1 Women","Georgia Athena","Team Games",5
"22","Dexter Clyburn","Division 1","Men","Division 1 Men","Cal Ursa Major","Team Games",5
"23","Aidan Downey","Division 1","Men","Division 1 Men","Georgia Jojah","Team Games",5
"24","Sage McGinley-Smith","Division 1","Women","Division 1 Women","Stanford Superfly","Team Games",7
"25","Rowan Jamieson","Division 3","Men","Division 3 Men","Davenport Panthers","Team Games",6
"26","Paul Krenik","Division 1","Men","Division 1 Men","Minnesota Grey Duck","Team Games",5
"27","Martin Gallant","Division 1","Men","Division 1 Men","Ottawa Gee-Gees","Team Games",5
"28","Gabriel Jagt","Division 1","Men","Division 1 Men","Minnesota Grey Duck","Team Games",5
"29","Daniel Snider","Division 3","Men","Division 3 Men","Bates Orange Whip","Team Games",6
"30","Ben Thoennes","Division 1","Men","Division 1 Men","Oregon State Beavers","Team Games",5
"31","Anton Orme","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore","Team Games",7
"32","Adam Miller","Division 1","Men","Division 1 Men","Georgia Jojah","Team Games",5
"33","Leo Gordon","Division 1","Men","Division 1 Men","Brown Brownian Motion","Team Games",8
"34","Mica Glass","Division 1","Men","Division 1 Men","Oregon EGO","Team Games",6
"35","Anna Goddu","Division 1","Women","Division 1 Women","British Columbia Thunderbirds","Team Games",6
"36","Nathan Hunt","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles","Team Games",5
"37","Henry Wayte","Division 1","Men","Division 1 Men","Oregon State Beavers","Team Games",5
