Player,Measure Names,Competition Level,Full Division Name,Full Team Name Correct,Full Team Name,Gender Division,Measure Values
Jacques Nissen,Team Games,Division 1,Division 1 Men,Brown Brownian Motion,Brown Brownian Motion,Men,8
Emily Kemp,Team Games,Division 1,Division 1 Women,Tufts EWO,Tufts EWO,Women,5
Devin Quinn,Team Games,Division 1,Division 1 Women,California - Santa Barbara Burning Skirts,California - Santa Barbara Burning Skirts,Women,5
Matthew Gregor,Team Games,Division 3,Division 3 Men,Franciscan Fatal,Franciscan Fatal,Men,6
Frankie Saraniti,Team Games,Division 3,Division 3 Women,Carleton Eclipse,Carleton Eclipse,Women,6
Jacob Felton,Team Games,Division 3,Division 3 Men,Davenport Panthers,Davenport Panthers,Men,6
Rowan Dong,Team Games,Division 3,Division 3 Women,Carleton Eclipse,Carleton Eclipse,Women,6
Charles Tantum,Team Games,Division 3,Division 3 Men,Williams WUFO,Williams WUFO,Men,6
Will Brandt,Team Games,Division 3,Division 3 Men,St Olaf Berzerkers,St Olaf Berzerkers,Men,6
Max Zwerin,Team Games,Division 3,Division 3 Men,Lewis & Clark Bacchus,Lewis & Clark Bacchus,Men,6
Faye Burdick,Team Games,Division 1,Division 1 Women,Colorado Quandary,Colorado Quandary,Women,7
Scott Heyman,Team Games,Division 1,Division 1 Men,Pittsburgh En Sabah Nur,Pittsburgh En Sabah Nur,Men,5
Mika Kurahashi,Team Games,Division 1,Division 1 Women,British Columbia Thunderbirds,British Columbia Thunderbirds,Women,6
Leo Farley,Team Games,Division 3,Division 3 Men,Lewis & Clark Bacchus,Lewis & Clark Bacchus,Men,6
Cal Nightingale,Team Games,Division 1,Division 1 Men,Brown Brownian Motion,Brown Brownian Motion,Men,8
Jordan Bacharach,Team Games,Division 1,Division 1 Men,Michigan Magnum,Michigan Magnum,Men,5
Henry Ing,Team Games,Division 1,Division 1 Men,Pittsburgh En Sabah Nur,Pittsburgh En Sabah Nur,Men,5
Tori Gray,Team Games,Division 1,Division 1 Women,Carleton Syzygy,Carleton Syzygy,Women,6
Matthew Kompelien,Team Games,Division 3,Division 3 Men,St Olaf Berzerkers,St Olaf Berzerkers,Men,6
Dawn Culton,Team Games,Division 1,Division 1 Women,North Carolina Pleiades,North Carolina Pleiades,Women,7
Sami Chambers,Team Games,Division 1,Division 1 Women,Georgia Athena,Georgia Athena,Women,5
Dexter Clyburn,Team Games,Division 1,Division 1 Men,Cal Ursa Major,Cal Ursa Major,Men,5
Aidan Downey,Team Games,Division 1,Division 1 Men,Georgia Jojah,Georgia Jojah,Men,5
Sage McGinley-Smith,Team Games,Division 1,Division 1 Women,Stanford Superfly,Stanford Superfly,Women,7
Rowan Jamieson,Team Games,Division 3,Division 3 Men,Davenport Panthers,Davenport Panthers,Men,6
Paul Krenik,Team Games,Division 1,Division 1 Men,Minnesota Grey Duck,Minnesota Grey Duck,Men,5
Martin Gallant,Team Games,Division 1,Division 1 Men,Ottawa Gee-Gees,Ottawa Gee-Gees,Men,5
Gabriel Jagt,Team Games,Division 1,Division 1 Men,Minnesota Grey Duck,Minnesota Grey Duck,Men,5
Daniel Snider,Team Games,Division 3,Division 3 Men,Bates Orange Whip,Bates Orange Whip,Men,6
Ben Thoennes,Team Games,Division 1,Division 1 Men,Oregon State Beavers,Oregon State Beavers,Men,5
Anton Orme,Team Games,Division 1,Division 1 Men,Cal Poly-SLO Slocore,Cal Poly-SLO Slocore,Men,7
Adam Miller,Team Games,Division 1,Division 1 Men,Georgia Jojah,Georgia Jojah,Men,5
Leo Gordon,Team Games,Division 1,Division 1 Men,Brown Brownian Motion,Brown Brownian Motion,Men,8
Mica Glass,Team Games,Division 1,Division 1 Men,Oregon EGO,Oregon EGO,Men,6
Anna Goddu,Team Games,Division 1,Division 1 Women,British Columbia Thunderbirds,British Columbia Thunderbirds,Women,6
Nathan Hunt,Team Games,Division 3,Division 3 Men,Oklahoma Christian Eagles,Oklahoma Christian Eagles,Men,5
Henry Wayte,Team Games,Division 1,Division 1 Men,Oregon State Beavers,Oregon State Beavers,Men,5
Aaron Bartlett,Team Games,Division 1,Division 1 Men,Michigan Magnum,Michigan Magnum,Men,5
Alex Nelson,Team Games,Division 1,Division 1 Men,Cal Poly-SLO Slocore,Cal Poly-SLO Slocore,Men,7
Miles Miller,Team Games,Division 3,Division 3 Men,Bates Orange Whip,Bates Orange Whip,Men,6
Michael Johnson,Team Games,Division 3,Division 3 Men,Berry Bucks,Berry Bucks,Men,6
Jeffy Joshy,Team Games,Division 3,Division 3 Men,Richmond Spidermonkeys,Richmond Spidermonkeys,Men,6
Ezra Weybright,Team Games,Division 1,Division 1 Women,Oregon Fugue,Oregon Fugue,Women,6
Avery Lee-Pii,Team Games,Division 1,Division 1 Women,British Columbia Thunderbirds,British Columbia Thunderbirds,Women,6
Michael Poe,Team Games,Division 1,Division 1 Men,Alabama-Huntsville Nightmares,Alabama-Huntsville Nightmares,Men,5
Felix Moren,Team Games,Division 1,Division 1 Men,Oregon State Beavers,Oregon State Beavers,Men,5
Amaya Krutsinger,Team Games,Division 1,Division 1 Women,Western Washington Chaos,Western Washington Chaos,Women,5
Stacy Gaskill,Team Games,Division 1,Division 1 Women,Colorado Quandary,Colorado Quandary,Women,7
Mallori Boddy,Team Games,Division 3,Division 3 Women,Portland UPRoar,Portland UPRoar,Women,6
Julianna Galian,Team Games,Division 3,Division 3 Women,Portland UPRoar,Portland UPRoar,Women,6
Eli Fried,Team Games,Division 1,Division 1 Men,North Carolina Darkside,North Carolina Darkside,Men,6
Danny Klein,Team Games,Division 3,Division 3 Men,Williams WUFO,Williams WUFO,Men,6
Calvin Brown,Team Games,Division 1,Division 1 Men,Cal Poly-SLO Slocore,Cal Poly-SLO Slocore,Men,7
Logan Piercy,Team Games,Division 1,Division 1 Men,Penn State Spank,Penn State Spank,Men,5
Erica Collin,Team Games,Division 3,Division 3 Women,St Olaf Vortex,St Olaf Vortex,Women,5
Abigail Shilts,Team Games,Division 1,Division 1 Women,California - San Diego D-Co,California - San Diego D-Co,Women,5
Gordon Larson,Team Games,Division 3,Division 3 Men,St Olaf Berzerkers,St Olaf Berzerkers,Men,6
Darren Dyer,Team Games,Division 3,Division 3 Men,Davenport Panthers,Davenport Panthers,Men,6
Anna Forbes,Team Games,Division 3,Division 3 Women,Union Jillz,Union Jillz,Women,6
Xavier Fuzat,Team Games,Division 1,Division 1 Men,Texas TUFF,Texas TUFF,Men,5
Willow Purvis,Team Games,Division 1,Division 1 Women,Colorado State Helle's Belles,Colorado State Helle's Belles,Women,5
Laura Blume,Team Games,Division 1,Division 1 Women,California - Santa Barbara Burning Skirts,California - Santa Barbara Burning Skirts,Women,5
Ellie McDonald,Team Games,Division 3,Division 3 Women,St Olaf Vortex,St Olaf Vortex,Women,5
Zoe Costanza,Team Games,Division 3,Division 3 Women,Haverford/Bryn Mawr Sneetches,Haverford/Bryn Mawr Sneetches,Women,6
Suhas Madiraju,Team Games,Division 1,Division 1 Men,NC State Alpha,NC State Alpha,Men,6
Reed Kendall,Team Games,Division 3,Division 3 Men,Williams WUFO,Williams WUFO,Men,6
Josh Singleton,Team Games,Division 1,Division 1 Men,North Carolina Darkside,North Carolina Darkside,Men,6
Dylan Hawkins,Team Games,Division 1,Division 1 Men,North Carolina Darkside,North Carolina Darkside,Men,6
Tobias Brooks,Team Games,Division 1,Division 1 Men,Colorado Mambird,Colorado Mambird,Men,7
Zeke Thoreson,Team Games,Division 1,Division 1 Men,Colorado Mambird,Colorado Mambird,Men,7
Theo Shapinsky,Team Games,Division 1,Division 1 Men,Michigan Magnum,Michigan Magnum,Men,5
Scott Whitley,Team Games,Division 1,Division 1 Men,Georgia Jojah,Georgia Jojah,Men,5
Robert McCabe,Team Games,Division 1,Division 1 Men,Cal Ursa Major,Cal Ursa Major,Men,5
Keziah Wilde,Team Games,Division 3,Division 3 Women,Middlebury Pranksters,Middlebury Pranksters,Women,5
Ethan Lieman,Team Games,Division 1,Division 1 Men,Massachusetts Zoodisc,Massachusetts Zoodisc,Men,5
Declan Miller,Team Games,Division 1,Division 1 Men,Carleton CUT,Carleton CUT,Men,5
Daniel Chen,Team Games,Division 1,Division 1 Men,Carleton CUT,Carleton CUT,Men,5
Audrey Stineman,Team Games,Division 3,Division 3 Women,Portland UPRoar,Portland UPRoar,Women,6
Nathan Buchholz,Team Games,Division 1,Division 1 Men,Colorado Mambird,Colorado Mambird,Men,7
Clil Phillips,Team Games,Division 1,Division 1 Women,Colorado Quandary,Colorado Quandary,Women,7
Sofia Canoutas-Nadel,Team Games,Division 3,Division 3 Women,Wesleyan Vicious Circles,Wesleyan Vicious Circles,Women,6
Julia Berard,Team Games,Division 1,Division 1 Women,Oregon Fugue,Oregon Fugue,Women,6
Elan Siegler,Team Games,Division 3,Division 3 Men,Whitman Sweets,Whitman Sweets,Men,6
Ben Dameron,Team Games,Division 1,Division 1 Men,North Carolina Darkside,North Carolina Darkside,Men,6
Aaron Kaplan,Team Games,Division 1,Division 1 Men,Oregon EGO,Oregon EGO,Men,6
Tristan Yarter,Team Games,Division 1,Division 1 Men,Pittsburgh En Sabah Nur,Pittsburgh En Sabah Nur,Men,5
Reid Duncan,Team Games,Division 1,Division 1 Men,Pittsburgh En Sabah Nur,Pittsburgh En Sabah Nur,Men,5
Peter Ngo,Team Games,Division 1,Division 1 Men,Texas TUFF,Texas TUFF,Men,5
Margot Nissen,Team Games,Division 1,Division 1 Women,California - San Diego D-Co,California - San Diego D-Co,Women,5
Joshua Gill,Team Games,Division 3,Division 3 Men,Oklahoma Christian Eagles,Oklahoma Christian Eagles,Men,5
Emmanuel Kameri,Team Games,Division 3,Division 3 Men,Oklahoma Christian Eagles,Oklahoma Christian Eagles,Men,5
Emma Smith,Team Games,Division 1,Division 1 Women,California - San Diego D-Co,California - San Diego D-Co,Women,5
Char Bokhof,Team Games,Division 1,Division 1 Women,Colorado State Helle's Belles,Colorado State Helle's Belles,Women,5
Annabel White,Team Games,Division 1,Division 1 Women,Tufts EWO,Tufts EWO,Women,5
Elliott Rosenberg,Team Games,Division 1,Division 1 Men,Brown Brownian Motion,Brown Brownian Motion,Men,8
Zach Van Dusen,Team Games,Division 3,Division 3 Men,Bates Orange Whip,Bates Orange Whip,Men,6
Zac Kuelz,Team Games,Division 1,Division 1 Men,NC State Alpha,NC State Alpha,Men,6
Wade Buchheit,Team Games,Division 3,Division 3 Men,Williams WUFO,Williams WUFO,Men,6
Tyler Shanahan,Team Games,Division 3,Division 3 Men,Davenport Panthers,Davenport Panthers,Men,6
Jonah Barer,Team Games,Division 3,Division 3 Men,Carleton CHOP,Carleton CHOP,Men,6
Dorthea Trelstad Pi-Sunyer,Team Games,Division 3,Division 3 Women,Macalester Purse Snatchers,Macalester Purse Snatchers,Women,6
Adam Kohn,Team Games,Division 3,Division 3 Men,Williams WUFO,Williams WUFO,Men,6
Savanna Tucker,Team Games,Division 1,Division 1 Women,Washington Element,Washington Element,Women,5
Peter Mans,Team Games,Division 3,Division 3 Men,Middlebury Pranksters,Middlebury Pranksters,Men,5
Owen Smith,Team Games,Division 1,Division 1 Men,Texas TUFF,Texas TUFF,Men,5
Max Dehlin,Team Games,Division 1,Division 1 Men,Minnesota Grey Duck,Minnesota Grey Duck,Men,5
Logan Keillor,Team Games,Division 1,Division 1 Men,Ottawa Gee-Gees,Ottawa Gee-Gees,Men,5
Jack Krugler,Team Games,Division 1,Division 1 Men,Georgia Jojah,Georgia Jojah,Men,5
Gavin Rice,Team Games,Division 3,Division 3 Men,Middlebury Pranksters,Middlebury Pranksters,Men,5
Gavin Abrahamsson,Team Games,Division 1,Division 1 Men,Massachusetts Zoodisc,Massachusetts Zoodisc,Men,5
Cole Chanler,Team Games,Division 1,Division 1 Men,Georgia Jojah,Georgia Jojah,Men,5
Ciona Antolin,Team Games,Division 1,Division 1 Women,Washington Element,Washington Element,Women,5
Chaily Derecskey,Team Games,Division 1,Division 1 Women,Pennsylvania Venus,Pennsylvania Venus,Women,5
Casey Thornton,Team Games,Division 1,Division 1 Men,Vermont Chill,Vermont Chill,Men,5
Brynn Freeland,Team Games,Division 1,Division 1 Women,Victoria Vikes,Victoria Vikes,Women,5
Macy Vollbrecht,Team Games,Division 1,Division 1 Women,Stanford Superfly,Stanford Superfly,Women,7
Amelia Hawkins,Team Games,Division 1,Division 1 Women,Stanford Superfly,Stanford Superfly,Women,7
Abbie Gillach,Team Games,Division 1,Division 1 Women,Colorado Quandary,Colorado Quandary,Women,7
Sebastian Williamson,Team Games,Division 3,Division 3 Men,Lewis & Clark Bacchus,Lewis & Clark Bacchus,Men,6
Maxwell Caputo,Team Games,Division 3,Division 3 Men,Richmond Spidermonkeys,Richmond Spidermonkeys,Men,6
Maryanne Maxwell,Team Games,Division 3,Division 3 Women,Portland UPRoar,Portland UPRoar,Women,6
