"ADC","SUP","Losses","Wins"
"Miss Fortune","Annie",15,12
"Miss Fortune","Lulu",8,10
"Miss Fortune","Alistar",10,15
"Miss Fortune","Janna",11,7
"Miss Fortune","Morgana",19,23
"Miss Fortune","Braum",21,16
"Miss Fortune","Leona",28,22
"Miss Fortune","Soraka",7,10
"Miss Fortune","Thresh",38,33
"Miss Fortune","Blitzcrank",29,31
"Miss Fortune","Nami",2,9
"Miss Fortune","Sona",16,16
"Miss Fortune","Tahm Kench",10,8
"Jinx","Zyra",14,14
"Jinx","Annie",49,41
"Jinx","Lulu",25,29
"Jinx","Alistar",62,58
"Jinx","Janna",65,71
"Jinx","Morgana",104,114
"Jinx","Braum",87,91
"Jinx","Leona",118,147
"Jinx","Soraka",52,72
"Jinx","Thresh",215,223
"Jinx","Blitzcrank",134,160
"Jinx","Vel'Koz",14,12
"Jinx","Nami",33,48
"Jinx","Taric",15,16
"Jinx","Bard",22,25
"Jinx","Zilean",9,9
"Jinx","Sona",42,57
"Jinx","Karma",10,18
"Jinx","Tahm Kench",43,49
"Caitlyn","Annie",26,25
"Caitlyn","Lulu",27,15
"Caitlyn","Alistar",45,37
"Caitlyn","Janna",46,30
"Caitlyn","Morgana",45,53
"Caitlyn","Braum",33,40
"Caitlyn","Leona",90,64
"Caitlyn","Soraka",25,27
"Caitlyn","Thresh",106,93
"Caitlyn","Blitzcrank",68,71
"Caitlyn","Nami",26,21
"Caitlyn","Bard",19,16
"Caitlyn","Sona",23,35
"Caitlyn","Karma",9,7
"Caitlyn","Tahm Kench",19,18
"Tristana","Zyra",15,7
"Tristana","Annie",33,27
"Tristana","Lulu",25,14
"Tristana","Alistar",54,41
"Tristana","Janna",49,49
"Tristana","Morgana",80,58
"Tristana","Braum",79,51
"Tristana","Leona",91,103
"Tristana","Soraka",35,52
"Tristana","Thresh",126,112
"Tristana","Blitzcrank",87,90
"Tristana","Nami",21,21
"Tristana","Taric",11,5
"Tristana","Bard",22,12
"Tristana","Zilean",7,5
"Tristana","Sona",27,39
"Tristana","Karma",13,10
"Tristana","Tahm Kench",26,27
"Kalista","Annie",12,13
"Kalista","Lulu",7,7
"Kalista","Alistar",22,28
"Kalista","Janna",15,14
"Kalista","Morgana",26,15
"Kalista","Braum",23,31
"Kalista","Leona",36,17
"Kalista","Soraka",5,10
"Kalista","Thresh",75,72
"Kalista","Blitzcrank",31,28
"Kalista","Bard",11,6
"Kalista","Sona",10,8
"Kalista","Tahm Kench",21,18
"Twitch","Annie",8,4
"Twitch","Alistar",7,7
"Twitch","Janna",9,3
"Twitch","Morgana",9,13
"Twitch","Braum",10,9
"Twitch","Leona",21,13
"Twitch","Thresh",23,16
"Twitch","Blitzcrank",21,14
"Sivir","Annie",23,21
"Sivir","Lulu",11,8
"Sivir","Alistar",29,34
"Sivir","Janna",29,28
"Sivir","Morgana",46,45
"Sivir","Braum",31,40
"Sivir","Leona",52,50
"Sivir","Soraka",25,22
"Sivir","Thresh",76,81
"Sivir","Blitzcrank",53,50
"Sivir","Vel'Koz",4,8
"Sivir","Nami",12,9
"Sivir","Taric",5,8
"Sivir","Bard",15,17
"Sivir","Sona",19,20
"Sivir","Karma",10,11
"Sivir","Tahm Kench",23,13
"Vayne","Zyra",18,7
"Vayne","Annie",50,46
"Vayne","Lulu",42,36
"Vayne","Alistar",78,77
"Vayne","Janna",70,80
"Vayne","Morgana",102,104
"Vayne","Braum",99,119
"Vayne","Leona",124,127
"Vayne","Soraka",67,62
"Vayne","Thresh",183,211
"Vayne","Blitzcrank",116,140
"Vayne","Vel'Koz",6,7
"Vayne","Nami",34,49
"Vayne","Taric",10,17
"Vayne","Bard",17,30
"Vayne","Zilean",5,8
"Vayne","Sona",39,48
"Vayne","Karma",10,12
"Vayne","Tahm Kench",51,30
"Graves","Annie",17,12
