"School","Points","Goal Differential","Goals Scored","Goals Conceded","Wins","Losses","Ties","Record (W-L-T)","Games","PPG","Goal Differential Per Game","Win Percentage"
"Johns Hopkins",71,88,99,11,23,0,2,"23-0-2",25,2.84,3.52,0.92
"Trinity (Texas)",65,82,86,4,21,1,2,"21-1-2",24,2.70833333333333,3.41666666666667,0.875
"Misericordia",64,91,102,11,21,1,1,"21-1-1",23,2.78260869565217,3.95652173913043,0.91304347826087
"UW-La Crosse",64,54,70,16,21,2,1,"21-2-1",24,2.66666666666667,2.25,0.875
"Messiah",63,61,74,13,20,2,3,"20-2-3",25,2.52,2.44,0.8
"Case Western Reserve",61,55,70,15,20,1,1,"20-1-1",22,2.77272727272727,2.5,0.909090909090909
"Christopher Newport",60,36,43,7,19,0,3,"19-0-3",22,2.72727272727273,1.63636363636364,0.863636363636364
"Johnson and Wales",58,67,86,19,19,3,1,"19-3-1",23,2.52173913043478,2.91304347826087,0.826086956521739
"Virginia Wesleyan",58,41,54,13,18,3,4,"18-3-4",25,2.32,1.64,0.72
"Illinois Tech",56,86,103,17,18,3,2,"18-3-2",23,2.43478260869565,3.73913043478261,0.782608695652174
"Calvin",55,46,50,4,18,1,1,"18-1-1",20,2.75,2.3,0.9
"Loras",54,63,78,15,17,1,3,"17-1-3",21,2.57142857142857,3,0.80952380952381
"Amherst",54,43,56,13,18,3,0,"18-3-0",21,2.57142857142857,2.04761904761905,0.857142857142857
"Pacific Lutheran",54,38,51,13,17,2,3,"17-2-3",22,2.45454545454545,1.72727272727273,0.772727272727273
"Concordia (Wis.)",53,45,65,20,17,4,2,"17-4-2",23,2.30434782608696,1.95652173913043,0.739130434782609
"Scranton",53,39,46,7,17,3,2,"17-3-2",22,2.40909090909091,1.77272727272727,0.772727272727273
"Montclair State",52,34,47,13,17,3,1,"17-3-1",21,2.47619047619048,1.61904761904762,0.80952380952381
"FDU-Florham",52,22,47,25,17,5,1,"17-5-1",23,2.26086956521739,0.956521739130435,0.739130434782609
"Southern Maine",51,48,65,17,17,4,0,"17-4-0",21,2.42857142857143,2.28571428571429,0.80952380952381
"Wartburg",50,43,59,16,16,3,2,"16-3-2",21,2.38095238095238,2.04761904761905,0.761904761904762
"Centre",50,40,61,21,16,3,2,"16-3-2",21,2.38095238095238,1.9047619047619,0.761904761904762
"UW-Superior",49,44,69,25,15,4,4,"15-4-4",23,2.1304347826087,1.91304347826087,0.652173913043478
"Westfield State",49,36,56,20,16,4,1,"16-4-1",21,2.33333333333333,1.71428571428571,0.761904761904762
"Mary Hardin-Baylor",49,32,40,8,16,1,1,"16-1-1",18,2.72222222222222,1.77777777777778,0.888888888888889
"Puget Sound",49,29,43,14,16,4,1,"16-4-1",21,2.33333333333333,1.38095238095238,0.761904761904762
"William Smith",48,51,62,11,14,2,6,"14-2-6",22,2.18181818181818,2.31818181818182,0.636363636363636
"MIT",48,41,52,11,15,5,3,"15-5-3",23,2.08695652173913,1.78260869565217,0.652173913043478
"Washington and Lee",47,45,59,14,14,2,5,"14-2-5",21,2.23809523809524,2.14285714285714,0.666666666666667
"Ohio Northern",47,34,43,9,14,2,5,"14-2-5",21,2.23809523809524,1.61904761904762,0.666666666666667
"Pitt-Greensburg",46,47,67,20,15,4,1,"15-4-1",20,2.3,2.35,0.75
"Rowan",46,40,46,6,14,1,4,"14-1-4",19,2.42105263157895,2.10526315789474,0.736842105263158
"TCNJ",44,55,75,20,14,3,2,"14-3-2",19,2.31578947368421,2.89473684210526,0.736842105263158
"Fontbonne",44,49,56,7,14,1,2,"14-1-2",17,2.58823529411765,2.88235294117647,0.823529411764706
"Cortland State",44,42,51,9,13,1,5,"13-1-5",19,2.31578947368421,2.21052631578947,0.684210526315789
