Bib,Name,Country,Division,Division_Rank,Overall_Time,Overall_Rank,Swim_Time,Swim_Rank,Bike_Time,Bike_Rank,Run_Time,Run_Rank,Finish_Status
761,Julie Pearson,Canada,F45-49,97,17:15:25,2122,1:16:46,926,8:57:00,2262,6:39:11,2037,Finisher
1285,Karen Bowers,United States,F45-49,96,17:07:07,2121,1:44:14,2233,8:23:33,2169,6:42:22,2057,Finisher
791,Jessie Sangster,United States,F40-44,84,17:05:05,2120,1:29:47,1860,8:21:07,2154,6:50:57,2086,Finisher
1671,Alicia Tufano,United States,F45-49,95,17:02:44,2119,1:38:14,2108,8:04:23,2040,6:54:47,2092,Finisher
2303,Lauren Alpert,United States,F40-44,83,17:00:42,2117,1:30:27,1879,8:45:28,2238,6:15:14,1868,Finisher
2361,Janet Carpenter,United States,F55-59,58,16:58:50,2113,1:23:18,1414,8:50:47,2246,6:19:15,1907,Finisher
612,Ann Benner,United States,F40-44,82,16:53:17,2104,1:27:18,1699,8:12:05,2108,6:50:15,2084,Finisher
1450,Carolyn Thieme,United States,F35-39,62,16:52:14,2100,1:36:46,2082,8:29:35,2194,6:21:17,1927,Finisher
233,Veronique St-Germain,Canada,F45-49,94,16:52:04,2098,1:35:46,2056,7:58:06,1985,6:43:46,2062,Finisher
1315,Laura Lagomasino,United States,F50-54,68,16:50:01,2095,1:50:26,2295,8:11:13,2098,6:18:08,1898,Finisher
2389,Kimbra Wellock,United States,F45-49,93,16:49:31,2094,1:15:41,847,8:43:15,2233,6:30:47,1994,Finisher
1986,Maureen Mcnamara,United States,F65-69,3,16:49:31,2093,1:24:29,1500,8:08:59,2083,6:53:26,2090,Finisher
824,Christina Cracolici,United States,F45-49,92,16:49:08,2092,1:24:06,1473,8:07:03,2068,6:57:00,2098,Finisher
298,Leslie Logan,United States,F65-69,2,16:48:56,2090,1:20:01,1170,7:37:51,1729,7:32:45,2136,Finisher
1167,Ellen Sheen,United States,F50-54,67,16:48:04,2085,1:39:38,2151,8:09:33,2086,6:32:08,2002,Finisher
1684,Akila Ogrady,United States,F40-44,81,16:44:52,2074,1:21:24,1277,8:19:36,2145,6:36:17,2019,Finisher
1893,Madison Howell,United States,F18-24,20,16:44:45,2073,1:41:32,2189,8:33:57,2208,6:06:26,1782,Finisher
1883,Epie Mojica,Dominican Republic,F60-64,22,16:42:48,2065,1:51:51,2309,8:17:51,2137,6:17:41,1891,Finisher
1331,Kelly Young,United States,F50-54,66,16:42:41,2064,1:31:59,1935,8:01:52,2017,6:37:13,2025,Finisher
1063,Sara Scott,United States,F45-49,91,16:41:47,2060,1:47:31,2267,8:09:49,2088,6:17:18,1884,Finisher
