resultId,year,raceId,eventId,boatType,bib,classID,place,primaryClass,time,allCourses,overall,byBoat,byClass,byYrOver,byYrClass,byYrBoat,courseID,notes,isRacePaddler,raceRoleId,personId,displayName,sortName,city,state,country,1_id,1_dType,1_value,teamName,status
208227,2014,CLINTON70,Downriver,Canoe,P21,oc2pro,1,TRUE,25899,1,1,1,1,1,1,1,susquehanna70,Mens Under 50,TRUE,paddler,blaisgu01,Guillame Blais,Blais Guillame,St Boniface,QC,CAN,1,T,25899,NA,NA
208227,2014,CLINTON70,Downriver,Canoe,P21,oc2pro,1,TRUE,25899,1,1,1,1,1,1,1,susquehanna70,Mens Under 50,TRUE,paddler,pellerma01,Mathieu Pellerin,Pellerin Mathieu,Shawinigan,QC,CAN,1,T,25899,NA,NA
208228,2014,CLINTON70,Downriver,Canoe,P14,oc2pro,2,TRUE,25900,2,2,2,2,2,2,2,susquehanna70,Mens Under 50,TRUE,paddler,stpiema01,Mathieu St-Pierre,St-Pierre Mathieu,Shawinigam,QC,CAN,1,T,25900,NA,NA
208228,2014,CLINTON70,Downriver,Canoe,P14,oc2pro,2,TRUE,25900,2,2,2,2,2,2,2,susquehanna70,Mens Under 50,TRUE,paddler,halstery01,Ryan Halstead,Halstead Ryan,Grayling,MI,USA,1,T,25900,NA,NA
208229,2014,CLINTON70,Downriver,Canoe,P27,oc2pro,3,TRUE,26052,3,3,3,3,3,3,3,susquehanna70,Mens Under 50,TRUE,paddler,trieboan01,Andy Triebold,Triebold Andy,Grayling,MI,USA,1,T,26052,NA,NA
208229,2014,CLINTON70,Downriver,Canoe,P27,oc2pro,3,TRUE,26052,3,3,3,3,3,3,3,susquehanna70,Mens Under 50,TRUE,paddler,frigonsa01,Samuel Frigon,Frigon Samuel,St-Bonifance De Shawinigan,QC,CAN,1,T,26052,NA,NA
256391,2019,CLINTON70,Downriver,Canoe,P32,oc2pro,1,TRUE,26123,4,4,4,4,1,1,1,susquehanna70,NA,TRUE,paddler,lajoiest01,Steve Lajoie,Lajoie Steve,Mirabel,QC,CAN,1,T,26123,NA,NA
256391,2019,CLINTON70,Downriver,Canoe,P32,oc2pro,1,TRUE,26123,4,4,4,4,1,1,1,susquehanna70,NA,TRUE,paddler,pellerja01,Jimmy Pellerin,Pellerin Jimmy,Saint-étienne-des-grès,QC,CAN,1,T,26123,NA,NA
532401,2025,CLINTON70,Downriver,Canoe,P39,oc2pro,1,TRUE,26166,5,5,5,5,1,1,1,susquehanna70,NA,TRUE,paddler,davismi01,Michael Davis,Davis Michael,Homer,MI,USA,NA,NA,NA,NA,NA
532401,2025,CLINTON70,Downriver,Canoe,P39,oc2pro,1,TRUE,26166,5,5,5,5,1,1,1,susquehanna70,NA,TRUE,paddler,blaisgu01,Guillaume Blais,Blais Guillaume,St Boniface,QC,CAN,NA,NA,NA,NA,NA
