Name,Sex,Discipline,Result,Announced,Date,Event,Continent
Talya Davidoff (South Africa),F,CNF,60 m,60 m,06.09.2024,"33rd AIDA Freediving World Championship,Corsica 2024",Africa
Walid Boudhiaf (Tunisia),M,CNF,78 m,78 m,09.05.2018,NIRVANA OCEANQUEST DEPTH CONTEST 2018,Africa
Sayuri Kinoshita (Japan),F,CNF,72 m,72 m,26.04.2016,Vertical Blue 2016,Asia
Omar Al Ghailani (Oman),M,CNF,77 m,77 m,05.10.2023,FREEDOM DEPTH COMPETITION AIDA 2023,Asia
Kateryna Sadurska (Ukraine),F,CNF,84 m,84 m,02.12.2024,Deep Dominica Depth Competition,Europe
Petar Klovar (Croatia),M,CNF,103 m,103 m,26.05.2025,Aida Freediving World Cup,Europe
Lauren Matevish (United States),F,CNF,70 m,70 m,03.05.2025,AIDA Xibalba 2025,North America
William Winram (Canada),M,CNF,86 m,86 m,03.12.2009,5th AIDA Individual World Championship 2009,North America
Amber Bourke (Australia),F,CNF,68 m,68 m,19.08.2017,Caribbean Cup 2017,Oceania
William Trubridge (New Zealand),M,CNF,102 m,102 m,14.07.2016,World Record Attempt - William Trubridge,Oceania
Sofia Gomez (Colombia),F,CNF,60 m,60 m,30.05.2016,Caribbean Cup 2016,South America
Alejandro Llinas (Colombia),M,CNF,78 m,78 m,22.08.2022,29th AIDA World Championship,South America
Talya Davidoff (South Africa),F,CWT,82 m,82 m,22.07.2023,"Vertical Blue 2023 by Garmin, AIDA",Africa
Walid Boudhiaf (Tunisia),M,CWT,112 m,112 m,26.07.2018,Vertical Blue,Africa
Jung A Kim (Republic of Korea),F,CWT,107 m,107 m,27.10.2024,AIDA Panglao Depth Championship 2024 - 2,Asia
Jin (Sendoh) Wang (China),M,CWT,123 m,123 m,28.05.2024,AIDA Asian Freediving Cup 2024,Asia
Alessia Zecchini (Italy),F,CWT,123 m,123 m,24.05.2023,AIDA OCEANQUEST PHILIPPINES,Europe
Alexey Molchanov (Russian Federation),M,CWT,130 m,130 m,18.07.2018,Vertical Blue,Europe
Enchante Gallardo (United States),F,CWT,100 m,100 m,07.10.2023,FREEDOM Depth National Record Attempt AIDA,North America
Tory George (United States),M,CWT,117 m,117 m,28.07.2023,"Vertical Blue 2023 by Garmin, AIDA",North America
Kate Middleton (New Zealand),F,CWT,97 m,97 m,10.05.2017,Vertical Blue 2017,Oceania
David Mullins (New Zealand),M,CWT,126 m,126 m,26.08.2017,AIDA World Depth Championship 2017,Oceania
Sofia Gomez (Colombia),F,CWT,96 m,96 m,25.08.2017,AIDA World Depth Championship 2017,South America
Carlos Coste (Venezuela),M,CWT,116 m,116 m,15.09.2011,AIDA Individual Depth World Championship 2011,South America
