season,tour,date,location,event,bull,score
2025,Unleash The Beast,2025-5-18,"Arlington, TX",PBR WORLD FINALS: UNLEASH THE BEAST - CHAMPIONSHIP,Night Agent,88.25
2025,Unleash The Beast,2025-5-18,"Arlington, TX",PBR WORLD FINALS: UNLEASH THE BEAST - CHAMPIONSHIP,Pegasus,87.5
2025,Unleash The Beast,2025-5-17,"Arlington, TX",PBR WORLD FINALS: UNLEASH THE BEAST - CHAMPIONSHIP,Tigger,77.75
2025,Unleash The Beast,2025-5-17,"Arlington, TX",PBR WORLD FINALS: UNLEASH THE BEAST - CHAMPIONSHIP,The Kraken,0
2025,Unleash The Beast,2025-5-11,"Fort Worth, TX",PBR WORLD FINALS: UNLEASH THE BEAST -ELIMINATIONS,Top Dollar,86.5
2025,Unleash The Beast,2025-5-10,"Fort Worth, TX",PBR WORLD FINALS: UNLEASH THE BEAST -ELIMINATIONS,Rip,0
2025,Unleash The Beast,2025-5-9,"Fort Worth, TX",PBR WORLD FINALS: UNLEASH THE BEAST -ELIMINATIONS,Fringe Minority,88.75
2025,Unleash The Beast,2025-5-8,"Fort Worth, TX",PBR WORLD FINALS: UNLEASH THE BEAST -ELIMINATIONS,July,88
2025,Unleash The Beast,2025-4-27,"Tacoma, WA",PBR TACOMA,Cool Whip,88.25
2025,Unleash The Beast,2025-4-27,"Tacoma, WA",PBR TACOMA,Big Chili,87
2025,Unleash The Beast,2025-4-26,"Tacoma, WA",PBR TACOMA,Trust Issues,0
2025,Unleash The Beast,2025-4-19,"Nampa, ID",PROGRESSIVE PBR NAMPA,Warpaint,0
2025,Unleash The Beast,2025-4-18,"Nampa, ID",PROGRESSIVE PBR NAMPA,Buttercup,0
2025,Unleash The Beast,2025-4-12,"Billings, MT",COOPER TIRES PBR BILLINGS,Rockville,87
2025,Unleash The Beast,2025-4-12,"Billings, MT",COOPER TIRES PBR BILLINGS,Country Club,83.25
2025,Unleash The Beast,2025-4-11,"Billings, MT",COOPER TIRES PBR BILLINGS,Prince Charming,87
2025,Unleash The Beast,2025-4-6,"Sioux Falls, SD",PREMIER BANKCARD PBR SIOUX FALLS PRESENTED BY COOPER TIRES,Magic Potion,0
2025,Unleash The Beast,2025-4-6,"Sioux Falls, SD",PREMIER BANKCARD PBR SIOUX FALLS PRESENTED BY COOPER TIRES,The Kraken,87.75
2025,Unleash The Beast,2025-4-5,"Sioux Falls, SD",PREMIER BANKCARD PBR SIOUX FALLS PRESENTED BY COOPER TIRES,I'm a Hostage,0
2025,Unleash The Beast,2025-4-4,"Sioux Falls, SD",PREMIER BANKCARD PBR SIOUX FALLS PRESENTED BY COOPER TIRES,Mesquite,0
2025,Unleash The Beast,2025-3-30,"Albuquerque, NM",PBR ALBUQUERQUE TY MURRAY INVITATIONAL,Big Chili,0
2025,Unleash The Beast,2025-3-30,"Albuquerque, NM",PBR ALBUQUERQUE TY MURRAY INVITATIONAL,Irish Car Bomb,0
2025,Unleash The Beast,2025-3-29,"Albuquerque, NM",PBR ALBUQUERQUE TY MURRAY INVITATIONAL,The Kraken,87.5
2025,Unleash The Beast,2025-3-28,"Albuquerque, NM",PBR ALBUQUERQUE TY MURRAY INVITATIONAL,Hunter,86.5
2025,Unleash The Beast,2025-1-11,"Chicago, IL",PBR CHICAGO,Gravedigger,0
2025,Unleash The Beast,2025-1-11,"Chicago, IL",PBR CHICAGO,Mouse Trap,0
2025,Unleash The Beast,2025-1-10,"Chicago, IL",PBR CHICAGO,Lever Action,86.75
2025,Unleash The Beast,2025-1-10,"Chicago, IL",PBR CHICAGO,Grey Fox,83.5
