Name,Position,Age,Birthdate.,Height,Weight,Height..ft.in.,Weight.st.lb,Contract,Length,Team
Denis BUCKLEY,Prop,34,09/08/1990,1.77,110,5 ft 10 in,17 st 4.51 lb; 242.51 lb,PRO,2025 +1,connacht
Finlay BEALHAM,Prop,33,09/10/1991,1.8900000000000001,123,6 ft 2 in,19 st 5.17 lb; 271.17 lb,PRO,2026,connacht
Jack AUNGIER,Prop,26,20/11/1998,1.8800000000000001,120,6 ft 2 in,18 st 12.55 lb; 264.55 lb,PRO,2026,connacht
Jordan DUGGAN,Prop,27,07/01/1998,1.85,114,6 ft 1 in,17 st 13.33 lb; 251.33 lb,PRO,2026,connacht
Peter DOOLEY,Prop,30,04/08/1994,1.83,116,6 ft,18 st; 255.74 lb,PRO,2025 +1,connacht
Sam ILLO,Prop,24,16/02/2001,1.85,121,6 ft 1 in,19 st 0.76 lb; 266.76 lb,PRO,2027,connacht
Temi LASISI,Prop,24,09/05/2001,1.83,125,6 ft,19 st; 275.58 lb,PRO,,connacht
Dave HEFFERNAN,Hooker,34,31/01/1991,1.87,111,6 ft 2 in,17 st 6.71 lb; 244.71 lb,PRO,2027,connacht
Dylan TIERNEY-MARTIN,Hooker,26,20/06/1999,1.82,101,6 ft,15 st; 222.67 lb,PRO,2026,connacht
Eoin DE BUITLÉAR,Hooker,23,09/11/2001,1.75,104,5 ft 9 in,16 st 5.28 lb; 229.28 lb,PRO,,connacht
Darragh MURRAY,Lock,23,04/07/2001,2.01,115,6 ft 7 in,18 st 1.53 lb; 253.53 lb,PRO,2026,connacht
David O'CONNOR,Lock,30,19/05/1995,1.93,110,6 ft 4 in,17 st 4.51 lb; 242.51 lb,PRO,,connacht
Joe JOYCE,Lock,31,07/02/1994,1.96,119,6 ft 5 in,18 st 10.35 lb; 262.35 lb,PRO,,connacht
Josh MURPHY,Lock,30,17/02/1995,1.98,110,6 ft 6 in,17 st 4.51 lb; 242.51 lb,PRO,2027,connacht
Niall MURRAY,Lock,25,13/10/1999,2.01,111,6 ft 7 in,17 st 6.71 lb; 244.71 lb,PRO,2027,connacht
Oisín DOWLING,Lock,28,23/06/1997,1.96,112,6 ft 5 in,17 st 8.92 lb; 246.92 lb,PRO,2026,connacht
Cian PRENDERGAST,Back row,25,23/02/2000,1.96,115,6 ft 5 in,18 st 1.53 lb; 253.53 lb,PRO,2028,connacht
Conor OLIVER,Back row,29,21/09/1995,1.83,102,6 ft,16 st; 224.87 lb,PRO,2025,connacht
Oisín MCCORMACK,Back row,24,21/02/2001,1.83,102,6 ft,16 st; 224.87 lb,PRO,2025,connacht
Paul BOYLE,Back row,28,14/01/1997,1.8900000000000001,112,6 ft 2 in,17 st 8.92 lb; 246.92 lb,PRO,2027,connacht
Seán F. O'BRIEN,Back row,24,31/07/2000,1.93,105,6 ft 4 in,16 st 7.49 lb; 231.49 lb,PRO,2026,connacht
Sean JANSEN,Back row,26,10/05/1999,1.91,118,6 ft 3 in,18 st 8.15 lb; 260.15 lb,PRO,2027,connacht
Shamus HURLEY-LANGTON,Back row,25,22/04/2000,1.85,108,6 ft 1 in,17 st 0.10 lb; 238.10 lb,PRO,2026,connacht
Ben MURPHY,Scrum-half,24,23/04/2001,1.73,80,5 ft 8 in,12 st 8.37 lb; 176.37 lb,PRO,2026,connacht
