Name,Position,Age,"Birthdate
",Height,Weight,Height (ft/in),"Weight
st/lb",Contract,Length,Team 
Denis BUCKLEY,Prop,34 y/o,09/08/1990,1.77 m,110 kg,5 ft 10 in,17 st 4.51 lb; 242.51 lb,PRO,2025 +1,connacht
Finlay BEALHAM,Prop,33 y/o,09/10/1991,1.89 m,123 kg,6 ft 2 in,19 st 5.17 lb; 271.17 lb,PRO,2026,connacht
Jack AUNGIER,Prop,26 y/o,20/11/1998,1.88 m,120 kg,6 ft 2 in,18 st 12.55 lb; 264.55 lb,PRO,2026,connacht
Jordan DUGGAN,Prop,27 y/o,07/01/1998,1.85 m,114 kg,6 ft 1 in,17 st 13.33 lb; 251.33 lb,PRO,2026,connacht
Peter DOOLEY,Prop,30 y/o,04/08/1994,1.83 m,116 kg,6 ft,18 st; 255.74 lb,PRO,2025 +1,connacht
Sam ILLO,Prop,24 y/o,16/02/2001,1.85 m,121 kg,6 ft 1 in,19 st 0.76 lb; 266.76 lb,PRO,2027,connacht
Temi LASISI,Prop,24 y/o,09/05/2001,1.83 m,125 kg,6 ft,19 st; 275.58 lb,PRO,,connacht
Dave HEFFERNAN,Hooker,34 y/o,31/01/1991,1.87 m,111 kg,6 ft 2 in,17 st 6.71 lb; 244.71 lb,PRO,2027,connacht
Dylan TIERNEY-MARTIN,Hooker,26 y/o,20/06/1999,1.82 m,101 kg,6 ft,15 st; 222.67 lb,PRO,2026,connacht
Eoin DE BUITLÉAR,Hooker,23 y/o,09/11/2001,1.75 m,104 kg,5 ft 9 in,16 st 5.28 lb; 229.28 lb,PRO,,connacht
Darragh MURRAY,Lock,23 y/o,04/07/2001,2.01 m,115 kg,6 ft 7 in,18 st 1.53 lb; 253.53 lb,PRO,2026,connacht
David O'CONNOR,Lock,30 y/o,19/05/1995,1.93 m,110 kg,6 ft 4 in,17 st 4.51 lb; 242.51 lb,PRO,,connacht
Joe JOYCE,Lock,31 y/o,07/02/1994,1.96 m,119 kg,6 ft 5 in,18 st 10.35 lb; 262.35 lb,PRO,,connacht
Josh MURPHY,Lock,30 y/o,17/02/1995,1.98 m,110 kg,6 ft 6 in,17 st 4.51 lb; 242.51 lb,PRO,2027,connacht
Niall MURRAY,Lock,25 y/o,13/10/1999,2.01 m,111 kg,6 ft 7 in,17 st 6.71 lb; 244.71 lb,PRO,2027,connacht
Oisín DOWLING,Lock,28 y/o,23/06/1997,1.96 m,112 kg,6 ft 5 in,17 st 8.92 lb; 246.92 lb,PRO,2026,connacht
Cian PRENDERGAST,Back row,25 y/o,23/02/2000,1.96 m,115 kg,6 ft 5 in,18 st 1.53 lb; 253.53 lb,PRO,2028,connacht
Conor OLIVER,Back row,29 y/o,21/09/1995,1.83 m,102 kg,6 ft,16 st; 224.87 lb,PRO,2025,connacht
Oisín MCCORMACK,Back row,24 y/o,21/02/2001,1.83 m,102 kg,6 ft,16 st; 224.87 lb,PRO,2025,connacht
Paul BOYLE,Back row,28 y/o,14/01/1997,1.89 m,112 kg,6 ft 2 in,17 st 8.92 lb; 246.92 lb,PRO,2027,connacht
Seán F. O'BRIEN,Back row,24 y/o,31/07/2000,1.93 m,105 kg,6 ft 4 in,16 st 7.49 lb; 231.49 lb,PRO,2026,connacht
Sean JANSEN,Back row,26 y/o,10/05/1999,1.91 m,118 kg,6 ft 3 in,18 st 8.15 lb; 260.15 lb,PRO,2027,connacht
Shamus HURLEY-LANGTON,Back row,25 y/o,22/04/2000,1.85 m,108 kg,6 ft 1 in,17 st 0.10 lb; 238.10 lb,PRO,2026,connacht
Ben MURPHY,Scrum-half,24 y/o,23/04/2001,1.73 m,80 kg,5 ft 8 in,12 st 8.37 lb; 176.37 lb,PRO,2026,connacht
Caolin BLADE,Scrum-half,31 y/o,29/04/1994,1.70 m,81 kg,5 ft 7 in,12 st 10.57 lb; 178.57 lb,PRO,2026,connacht
Colm REILLY,Scrum-half,25 y/o,09/08/1999,1.78 m,78 kg,5 ft 10 in,12 st 3.96 lb; 171.96 lb,PRO,2025,connacht
Matt DEVINE,Scrum-half,23 y/o,19/02/2002,1.80 m,84 kg,5 ft 11 in,13 st 3.19 lb; 185.19 lb,PRO,,connacht
Cathal FORDE,Fly-half,24 y/o,11/04/2001,1.88 m,95 kg,6 ft 2 in,14 st 13.44 lb; 209.44 lb,PRO,2026,connacht
Jack CARTY,Fly-half,32 y/o,31/08/1992,1.83 m,92 kg,6 ft,14 st; 202.83 lb,PRO,2026,connacht
JJ HANRAHAN,Fly-half,32 y/o,27/07/1992,1.83 m,93 kg,6 ft,14 st; 205.03 lb,PRO,2025,connacht
Josh IOANE,Fly-half,29 y/o,11/07/1995,1.80 m,92 kg,5 ft 11 in,14 st 6.83 lb; 202.83 lb,PRO,2027,connacht
Bundee AKI,Centre,35 y/o,07/04/1990,1.78 m,101 kg,5 ft 10 in,15 st 12.67 lb; 222.67 lb,PRO,2026,connacht
David HAWKSHAW,Centre,25 y/o,03/07/1999,1.78 m,89 kg,5 ft 10 in,14 st 0.21 lb; 196.21 lb,PRO,,connacht
Hugh GAVIN,Centre,21 y/o,10/01/2004,1.92 m,103 kg,6 ft 4 in,16 st 3.08 lb; 227.08 lb,PRO,,connacht
Piers O'CONOR,Centre,29 y/o,28/08/1995,1.88 m,102 kg,6 ft 2 in,16 st 0.87 lb; 224.87 lb,PRO,2025,connacht
Byron RALSTON,Winger,25 y/o,03/05/2000,1.84 m,94 kg,6 ft,14 st; 207.23 lb,PRO,2026,connacht
Santiago CORDERO,Winger,31 y/o,06/12/1993,1.77 m,83 kg,5 ft 10 in,13 st 0.98 lb; 182.98 lb,PRO,2025,connacht
Shane JENNINGS,Winger,24 y/o,14/01/2001,1.91 m,96 kg,6 ft 3 in,15 st 1.64 lb; 211.64 lb,PRO,2026 +1,connacht
Shayne BOLTON,Winger,25 y/o,29/06/2000,1.88 m,100 kg,6 ft 2 in,15 st 10.46 lb; 220.46 lb,PRO,2026,connacht
Chay MULLINS,Fullback,23 y/o,23/01/2002,1.91 m,95 kg,6 ft 3 in,14 st 13.44 lb; 209.44 lb,PRO,,connacht
