Place,Athlete,Year,Team,Time,Meet,Meet.Date,Event,Speed
1,"Bertrand, Leah",SR-4,Ohio State,10.94,2025 97th Clyde Littlefield Texas Relays,"Mar 26, 2025",100,9.140767824497258
2,"Walker, Shenese",JR-3,Florida State,10.99,ACC Outdoor Track & Field Championships,"May 15, 2025",100,9.099181073703367
3,"Ford, JaMeesia",SO-2,South Carolina,11.02,East Coast Relays,"May 2, 2025",100,9.074410163339383
4,"Godbless, Tima",SO-2,LSU,11.06,SEC Outdoor Track & Field Championships,"May 15, 2025",100,9.041591320072332
5,"Kitt, Aniyah",FR-1,Clemson,11.1,ACC Outdoor Track & Field Championships,"May 15, 2025",100,9.00900900900901
6,"Stoilova, Aleksandra",JR-3,Clemson,11.11,2025 97th Clyde Littlefield Texas Relays,"Mar 26, 2025",100,9.000900090009
7,"Charlton, Anthaya",JR-3,Florida,11.12,Tom Jones Invitational,"Apr 18, 2025",100,8.992805755395684
8,"Holmes, Sharmelle",FR-1,Kentucky,11.13,2025 Jim Click Shootout & Multis,"Apr 4, 2025",100,8.98472596585804
8,"Ufodiama, Kelly",FR-1,East Carolina,11.13,Florida Relays,"Apr 4, 2025",100,8.98472596585804
10,"Jackson, Kaila",JR-3,Georgia,11.16,Tom Jones Invitational,"Apr 18, 2025",100,8.960573476702509
10,"Yeast, Kiyah",SR-4,Louisville,11.16,Jim Freeman / Clark Wood Open 2025,"Apr 25, 2025",100,8.960573476702509
12,"Collins , Kailei",SR-4,Howard,11.19,2025 MEAC Outdoor Track & Field Championships,"May 15, 2025",100,8.936550491510278
13,"Washington, Shanyah",JR-3,Troy,11.2,Troy Doc Anderson Invitational & Multi 2025,"Apr 4, 2025",100,8.928571428571429
14,"James, Cynteria",SO-2,South Carolina,11.21,East Coast Relays,"May 2, 2025",100,8.920606601248885
14,"Wilson, I'Asia",SR-4,UCF,11.21,Big 12 Outdoor Track & Field Championships,"May 15, 2025",100,8.920606601248885
14,"Smith, Joyasia",JR-3,Charlotte,11.21,Charlotte 49er Classic,"Mar 20, 2025",100,8.920606601248885
17,"Blocker, Nya",SO-2,Florida A&M,11.24,SWAC Outdoor Track and Field Championship,"May 11, 2025",100,8.896797153024911
18,"Johnson, Kaniya",JR-3,Tennessee,11.25,Tom Jones Invitational,"Apr 18, 2025",100,8.88888888888889
19,"Sey, Marcia",JR-3,Howard,11.26,2025 MEAC Outdoor Track & Field Championships,"May 15, 2025",100,8.880994671403197
20,"Lloyd, Joella",SR-4,Florida State,11.27,ACC Outdoor Track & Field Championships,"May 15, 2025",100,8.873114463176575
21,"Watson, Naj",JR-3,Georgia Southern,11.3,Sun Belt Outdoor Track & Field Championships,"May 8, 2025",100,8.849557522123893
22,"Ashford, Amairi",SO-2,Louisiana,11.31,Sun Belt Outdoor Track & Field Championships,"May 8, 2025",100,8.841732979664014
23,"Clinkscale, Chante",SR-4,Auburn,11.32,LSU Invitational,"May 3, 2025",100,8.8339222614841
23,"Fields, Milan",SR-4,Tennessee,11.32,SEC Outdoor Track & Field Championships,"May 15, 2025",100,8.8339222614841
25,"Webster, Reese",JR-3,Liberty,11.33,2025 CUSA Outdoor Track & Field Championship,"May 16, 2025",100,8.8261253309797
25,"Parker, Devine",SR-4,Georgia Southern,11.33,Sun Belt Outdoor Track & Field Championships,"May 8, 2025",100,8.8261253309797
25,"Johnson, Kendall",SO-2,App State,11.33,Sun Belt Outdoor Track & Field Championships,"May 8, 2025",100,8.8261253309797
28,"Redmond, Reign",FR-1,Georgia,11.35,UCF Black & Gold Challenge,"Mar 21, 2025",100,8.81057268722467
28,"Akpan, Sarah",JR-3,Virginia,11.35,Virginia Challenge,"Apr 18, 2025",100,8.81057268722467
28,"Geiser, Abby",SR-4,Duke,11.35,2025 Jim Click Shootout & Multis,"Apr 4, 2025",100,8.81057268722467
28,"Blair, Savannah",SO-2,Northeastern,11.35,South Florida Invitational,"Apr 11, 2025",100,8.81057268722467
28,"Robinson, Brooklyn",JR-3,Norfolk State,11.35,2025 MEAC Outdoor Track & Field Championships,"May 15, 2025",100,8.81057268722467
28,"Bigam, Aniyah",SO-2,LSU,11.35,LSU Invitational,"May 3, 2025",100,8.81057268722467
34,"Perrow, Victoria",SR-4,Kentucky,11.37,Tom Jones Invitational,"Apr 18, 2025",100,8.795074758135446
34,"Perez-Tucker, Zionna",JR-3,Coastal Carolina,11.37,Sunday Night Qualifier,"May 18, 2025",100,8.795074758135446
36,"Okwose, Faith",SO-2,Tennessee,11.38,Big Orange Invite,"May 2, 2025",100,8.787346221441124
36,"Baker, Braelyn",FR-1,Duke,11.38,Raleigh Relays,"Mar 27, 2025",100,8.787346221441124
38,"Sleeman, Lucy May",FR-1,Florida State,11.39,ACC Outdoor Track & Field Championships,"May 15, 2025",100,8.779631255487269
38,"Abinusawa, Fore",JR-3,Penn,11.39,Ivy League Heptagonal Outdoor Track and Field Championships,"May 10, 2025",100,8.779631255487269
38,"Ogundiran, Blessing",FR-1,Purdue,11.39,USF Alumni Invitational,"Mar 21, 2025",100,8.779631255487269
38,"Nwokike, Joy",SR-4,Akron,11.39,Northeast Ohio Open,"May 8, 2025",100,8.779631255487269
38,"Matthews, Aniya",SR-4,Charlotte,11.39,Wake Forest Invitational 2025,"Apr 17, 2025",100,8.779631255487269
43,"Ofotan, Jade",SO-2,Georgia Tech,11.4,ACC Outdoor Track & Field Championships,"May 15, 2025",100,8.771929824561402
44,"Haywood, Jadyn",JR-3,Dayton,11.41,Pacesetter Sports Invitational,"Mar 29, 2025",100,8.76424189307625
44,"Sutton, Melanne",SO-2,N.C. Central,11.41,2025 MEAC Outdoor Track & Field Championships,"May 15, 2025",100,8.76424189307625
44,"Okpah, Elo Blessing",SO-2,Tennessee,11.41,SEC Outdoor Track & Field Championships,"May 15, 2025",100,8.76424189307625
44,"Tucker, Maya",SR-4,Towson,11.41,2025 Aggie Invitational,"Apr 18, 2025",100,8.76424189307625
44,"Phillips, Karsen",SO-2,Georgia,11.41,Tom Jones Invitational,"Apr 18, 2025",100,8.76424189307625
44,"Dorsett, Shatalya",SO-2,Georgia Southern,11.41,Sun Belt Outdoor Track & Field Championships,"May 8, 2025",100,8.76424189307625
