Name,Sex,Age,BodyweightKg,BenchKg,SquatKg,DeadliftKg
Ana Azevedo,F,25,58.6,55,122.5,140
Mel Flett,F,25,71.9,72.5,102.5,135
Elodie Lecomte,F,25,70.95,60,125,150
Shantel Bingley,F,25,66.3,80,125,160
Polina Barannik,F,25,58.8,55,90,140
Jodhi Wood,F,25,81.8,37.5,85,105
Stephanie Shea,F,25,77.8,55,92.5,117.5
Teresa Lei,F,25,69.55,60,130,152.5
Jolene Jones,F,25,66.32,67.5,112.5,130
Chelsea Woods,F,25,67.36,55,90,115
Alexa Drummond,F,25,63.5,70,125,132.5
Yasmen Muhssin,F,25,72.5,35,60,90
Toni Herrmann,F,25,56,57.5,115,122.5
Hope Lancaster,F,25,106,62.5,140,137.5
Jeanne Liu,F,25,46.58,40,100,110
Sara Crews,F,25,80.65,65,120,162.5
Hope Lancaster,F,25,103.56,60,137.5,145
Angela Lewis,F,25,73.7,90,142.5,147.5
Tenesia Samuel,F,25,67.8,75,85,115
Jeanne Liu,F,25,46.95,37.5,100,120
Jessica Sklar,F,25,58.4,65,100,117.5
Francesca Tocco,F,25,60,52.5,102.5,137.5
Julia Bassett,F,25,79.1,55,92.5,125
Robyn Homans,F,25,73.3,70,130,153
Meagan LaFave,F,25,69.9,42.5,72.5,95
Nicola McDivitt,F,25,55.5,52.5,75,120
Emili Schertzberg,F,25,58.8,67.5,97.5,127.5
Jessica Hierons,F,25,72.6,62.5,112.5,132.5
Diana McCarthy,F,25,88,65,122.5,140
Jesa Jenkins,F,25,73.48,67.5,137.5,140
Robin Callan,F,25,109.32,70,157.5,157.5
Ashley Enns,F,25,59.1,57.5,122.5,150
Tania Moon,F,25,73.1,75,122.5,162.5
Linda Lopez,F,25,101.8,70,85,137.5
Selah Nicholson,F,25,68.15,50,97.5,102.5
Tatiana Onyschtschuk,F,25,58.6,60,102.5,120
Lauren Freeman,F,25,46.31,57.5,77.5,102.5
Robin Callan,F,25,109.36,55,142.5,152.5
Erin Matheson,F,25,59.5,52.5,90,140
Katie McGeachy,F,25,66,62.5,122.5,145
Robyn Homans,F,25,74.1,75,125,155
Selena Gaudet,F,25,73.1,20,107.5,137.5
Meagan LaFave,F,25,73.5,42.5,95,122.5
Tatiana Onyschtschuk,F,25,58.95,67.5,105,125
Kelsey Horton,F,25,60.78,60,117.5,147.5
Rebecca Pell,F,25,59.92,60,117.5,137.5
Selena Gaudet,F,25,70.7,55,117.5,152.5
Skylar Yanke,F,25,55,78,120,142.5
Aubrey Mester-Webb,F,25,69.9,82.5,145,187.5
Christina Rodgers,F,25,83.37,42.5,87.5,105
Katie McGeachy,F,25,66.7,67.5,125,132.5
Selena Gaudet,F,25,72.2,55,125,160
Kaitlin Haddad,F,25,60,57.5,75,107.5
Hayley Helland,F,25,71.6,62.5,122.5,140
