"","Overall Place","Elapsed Time","Team Name","Category","Last Finish","Div Place","Team Members"
"1",1,"15:59:56","Old And In The Way","Veterans","Kayak",1,"Chris Wilton, Karen Anderson, Kirk McGowan, Dan Hooker, Jeff Fairchild, Taine Wilton, bill scott, Mike Brandenstein, Jeff McGrew, Jan Dank, Ryan Thurston, Ray Foster, Scott Anderson, Kevin Fazio, Rob Piper, John Holland,"
"2",2,"16:24:23","10 Lbs Heavier - Varsity","Recreational Open","Kayak",1,"Mike Walsh, Jason Bakke, Parry Rekers, Colton Rekers, Greg Twentey, Grant Bell, Mike Baldwin, Sarah Dowd, Jonathan Sirois, Eric Kamila, Lanette Richardson, Rory Richardson, Todd Elsworth, Andrew Walsh, Jason Story, Greg Bakke,"
"3",3,"5:33:29","Barron Heating","Competitive Open","Kayak",1,"Brad Bauer, Greg Barton, Dan Harm, Trey Parry, Brian Gregg, Torin Koos, Zsolt Szadovszki, Colin Cares,"
"4",4,"5:33:36","Team Aeromech","Competitive Open","Kayak",2,"Trevor Robinson, Ivan English, Colin Gibson, Kyle Carrick, Matt Liebsch, Max Taam, Eric Moll, Steve Fisher,"
"5",5,"5:47:57","R.B. Wick's Warriors","Competitive Open","Kayak",3,"Nick Bauer, Jeff Kolka, Jake MacArthur, Randall Wick, Brent Knight, J. Marshall Thomson, Gabe Newton, Soloman Waras,"
"6",6,"5:51:05","Team RE/MAX to the Max!","Competitive Open","Kayak",4,"Real Carriere, Solomon Carriere, Todd Gallaher, Spencer Walsh, Josh Smullin, Robert Whitney, Jan Malherbe, Alex Work,"
"7",7,"5:52:50","Barron Heating Legends","Masters","Kayak",1,"Bob Woodman, Harry James, Glenn Bunselmeyer, Chris Whan, Kent Murdoch, Micheal Hagen, Erik Borgnes, Loren Hanson,"
"8",8,"5:53:34","Klicks Running & Walking","Whatcom County Open","Kayak",1,"Alan Lipp, Eric Gerstl, Ian Crane, Charlie Sunderlage, Steve George, Jim Clevenger, Peter Marcus, Logan Wetzel,"
"9",9,"6:00:44","BEAVERS TREE SERVICE","Whatcom County Open","Kayak",2,"Brian Boatman, David Williams, Brian Ecker, Peter Oviatt, Adam Airoldi, Brent Molsberry, Brandon Nelson, Jacob Hartsoch,"
"10",10,"6:00:58","R.B. Wick's Masters Gentlemen","Masters","Kayak",2,"Darryl Spencer, Tinh Vu, Aaron Berntson, Shaun Marshall-Pryde, Chris Humbert, Chris Kroger, Erik Wermus, Mark Hanson,"
"11",11,"6:01:59","Boomer's Drive-In","Competitive Open","Kayak",5,"Graham Smith, Ron Williams, Damian Hill, Christian Borg, Sam Naney, Mike Gifford, Mischa Burnett, Steve Dempsey,"
"12",12,"6:06:29","NW Sleep Solutions","Competitive Open","Kayak",6,"Mike Norton, Jim Bauer, Alex Telitsine, Jeff Grassley, Pate Neumann, Dusty Caseria, Greg Bawden, Stew Bowerman,"
"13",13,"6:09:04","Bank of the Pacific","Veterans","Kayak",2,"Thom Prichard, Chris Cupp, John Kodin, Chad Trammell, Bruce Utsey, Stacy Moon, Dean Bumstead, Jeffery McConaughy,"
"14",14,"6:15:15","MRSAnaries","Whatcom County Open","Kayak",3,"Pete Wells, Michael Lee, Nate Reiss, Keith Lemay, Duncan McBean, Ralph Weiche, david jacobson, Erik DeRoche,"
"15",15,"6:17:53","Win Or Die","Veterans","Kayak",3,"Dwight Phillips, Dee Walker, Dave Gordon, John Berta, Grant Nelson, Shaun Koos, Donald Kiesling, Rick Heckenlaible,"
