"final_place","PP","Horse","Jockey","Trainer","Odds","Win","Place","Show","year","race","high_temp","low_temp","precipitation_24hrs","weather","track_condition","attendance"
1,"10","Giacomo","Mike Smith","John Shirreffs",51,102.6,45.8,19.8,2005,"Kentucky Derby",80,48,0,"Cloudy","Fast",156435
2,"18","Closing Argument","Cornelio Velasquez","Kiaran McLaughlin",72,0,70,24.8,2005,"Kentucky Derby",80,48,0,"Cloudy","Fast",156435
3,"12","Afleet Alex","J Rose","Tim Ritchey",5.5,0,0,4.6,2005,"Kentucky Derby",80,48,0,"Cloudy","Fast",156435
4,"17","Don't Get Mad","T C Baze","Ronald Ellis",30,0,0,0,2005,"Kentucky Derby",80,48,0,"Cloudy","Fast",156435
5,"20","Buzzards Bay","Mark Guidry","Jeff Mullins",47,0,0,0,2005,"Kentucky Derby",80,48,0,"Cloudy","Fast",156435
6,"14","Wilko","Corey Nakatani","Craig Dollase",22,0,0,0,2005,"Kentucky Derby",80,48,0,"Cloudy","Fast",156435
7,"16","Bellamy Road","J J Castellano","Nick Zito",3.5,0,0,0,2005,"Kentucky Derby",80,48,0,"Cloudy","Fast",156435
8,"2","Andromeda's Hero","Rafael Bejarano","Nick Zito",58,0,0,0,2005,"Kentucky Derby",80,48,0,"Cloudy","Fast",156435
9,"7","Flower Alley","Jorge Chavez","Todd Pletcher",42,0,0,0,2005,"Kentucky Derby",80,48,0,"Cloudy","Fast",156435
10,"11","High Fly","J.D. Bailey","Nick Zito",8,0,0,0,2005,"Kentucky Derby",80,48,0,"Cloudy","Fast",156435
11,"9","Greeley's Galaxy","Kent Desormeaux","Warren Stute",22,0,0,0,2005,"Kentucky Derby",80,48,0,"Cloudy","Fast",156435
12,"5","Coin Silver","P A Valenzuela","Todd Pletcher",39,0,0,0,2005,"Kentucky Derby",80,48,0,"Cloudy","Fast",156435
13,"8","Greater Good","J. McKee","Robert Holthus",59,0,0,0,2005,"Kentucky Derby",80,48,0,"Cloudy","Fast",156435
14,"4","Noble Causeway","Gary Stevens","Nick Zito",13,0,0,0,2005,"Kentucky Derby",80,48,0,"Cloudy","Fast",156435
15,"3","Sun King","Edgar Prado","Nick Zito",16,0,0,0,2005,"Kentucky Derby",80,48,0,"Cloudy","Fast",156435
16,"13","Spanish Chestnut","Joe Bravo","Patrick Biancone",72,0,0,0,2005,"Kentucky Derby",80,48,0,"Cloudy","Fast",156435
17,"1","Sort it out","Brice Blanc","Bob Baffert",63,0,0,0,2005,"Kentucky Derby",80,48,0,"Cloudy","Fast",156435
18,"19","Going Wild","J Valdivia","D. Wayne Lukas",60,0,0,0,2005,"Kentucky Derby",80,48,0,"Cloudy","Fast",156435
19,"15","Bandini","J R Velazquez","Todd Pletcher",8,0,0,0,2005,"Kentucky Derby",80,48,0,"Cloudy","Fast",156435
20,"6","High Limit","Ramon Dominguez","Robert Frankel",23,0,0,0,2005,"Kentucky Derby",80,48,0,"Cloudy","Fast",156435
1,"8","Barbaro","Edgar Prado","Michael Matz",7,14.2,8,6,2006,"Kentucky Derby",68,52,0,"Clear","Fast",157536
2,"13","Bluegrass Cat","Ramon Dominguez","Todd Pletcher",31,0,28.4,15.4,2006,"Kentucky Derby",68,52,0,"Clear","Fast",157536
3,"2","Steppenwolfer","Robby Albarado","Danny Peitz",31,0,0,7.8,2006,"Kentucky Derby",68,52,0,"Clear","Fast",157536
4,"*1","Jazil","Fernando Jara","Kiaran McLaughlin",31,0,0,0,2006,"Kentucky Derby",68,52,0,"Clear","Fast",157536
5,"*18","Brother Derek","Alex Solis","Dan Hendricks",4,0,0,0,2006,"Kentucky Derby",68,52,0,"Clear","Fast",157536
6,"6","Showing Up","Cornelio Velasquez","Barclay Tagg",21,0,0,0,2006,"Kentucky Derby",68,52,0,"Clear","Fast",157536
7,"11","Sweetnorthernsaint","Kent Desormeaux","Michael Trombetta",11,0,0,0,2006,"Kentucky Derby",68,52,0,"Clear","Fast",157536
8,"14","Deputy Glitters","Jose Lezcano","Tom Albertrani",51,0,0,0,2006,"Kentucky Derby",68,52,0,"Clear","Fast",157536
9,"5","Point Determined","Rafael Bejarano","Bob Baffert",13,0,0,0,2006,"Kentucky Derby",68,52,0,"Clear","Fast",157536
10,"15","Seaside Retreat","Patrick Husbands","Mark Casse",51,0,0,0,2006,"Kentucky Derby",68,52,0,"Clear","Fast",157536
11,"19","Storm Treasure","David Flores","Steve Asmussen",51,0,0,0,2006,"Kentucky Derby",68,52,0,"Clear","Fast",157536
12,"17","Lawyer Ron","John McKee","Robert Holthus",5,0,0,0,2006,"Kentucky Derby",68,52,0,"Clear","Fast",157536
13,"16","Cause to Believe","Russell Baze","Jerry Hollendorfer",51,0,0,0,2006,"Kentucky Derby",68,52,0,"Clear","Fast",157536
14,"20","Flashy Bull","Mike Smith","Kiaran McLaughlin",51,0,0,0,2006,"Kentucky Derby",68,52,0,"Clear","Fast",157536
15,"12","Private Vow","Shaun Bridgmohan","Steve Asmussen",51,0,0,0,2006,"Kentucky Derby",68,52,0,"Clear","Fast",157536
16,"4","Sinister Minister","Victor Espinoza","Bob Baffert",13,0,0,0,2006,"Kentucky Derby",68,52,0,"Clear","Fast",157536
17,"7","Bob and John","Garrett Gomez","Bob Baffert",13,0,0,0,2006,"Kentucky Derby",68,52,0,"Clear","Fast",157536
18,"10","A.P. Warrior","Corey Nakatani","John Shirreffs",16,0,0,0,2006,"Kentucky Derby",68,52,0,"Clear","Fast",157536
19,"9","Sharp Humor","Mark Guidry","Dale Romans",21,0,0,0,2006,"Kentucky Derby",68,52,0,"Clear","Fast",157536
20,"3","Keyed Entry","Pat Valenzuela","Todd Pletcher",31,0,0,0,2006,"Kentucky Derby",68,52,0,"Clear","Fast",157536
1,"7","Street Sense","Calvin Borel","Carl Nafzger",5,11.8,6.4,4.6,2007,"Kentucky Derby",78,62,0.98,"Cloudy","Fast",156635
2,"8","Hard Spun","Mario Pino","Larry Jones",16,0,9.8,7,2007,"Kentucky Derby",78,62,0.98,"Cloudy","Fast",156635
3,"2","Curlin","Robby Albarado","Steve Asmussen",4.5,0,0,5.6,2007,"Kentucky Derby",78,62,0.98,"Cloudy","Fast",156635
4,"5","Imawildandcrazyguy","Juan Leyva","William Kaplan",51,0,0,0,2007,"Kentucky Derby",78,62,0.98,"Cloudy","Fast",156635
5,"1","Sedgefield","Julien Leparoux","Darrin Miller",51,0,0,0,2007,"Kentucky Derby",78,62,0.98,"Cloudy","Fast",156635
6,"16","Circular Quay","John Velasquez","Todd Pletcher",9,0,0,0,2007,"Kentucky Derby",78,62,0.98,"Cloudy","Fast",156635
7,"15","Tiago","Mike Smith","John Shirreffs",16,0,0,0,2007,"Kentucky Derby",78,62,0.98,"Cloudy","Fast",156635
8,"18","Any Given Sunday","Garrett Gomez","Todd Pletcher",13,0,0,0,2007,"Kentucky Derby",78,62,0.98,"Cloudy","Fast",156635
9,"13","Sam P.","Ramon Dominguez","Todd Pletcher",21,0,0,0,2007,"Kentucky Derby",78,62,0.98,"Cloudy","Fast",156635
10,"12","Nobiz Like Shobiz","Cornelio Velasquez","Barclay Tagg",9,0,0,0,2007,"Kentucky Derby",78,62,0.98,"Cloudy","Fast",156635
11,"19","Dominican","Rafael Bejarano","Darrin Miller",21,0,0,0,2007,"Kentucky Derby",78,62,0.98,"Cloudy","Fast",156635
12,"3","Zanjero","Shaun Bridgmohan","Steve Asmussen",31,0,0,0,2007,"Kentucky Derby",78,62,0.98,"Cloudy","Fast",156635
13,"20","Great Hunter","Corey Nakatani","Doug O'Neill",16,0,0,0,2007,"Kentucky Derby",78,62,0.98,"Cloudy","Fast",156635
14,"9","Liquidity","David Flores","Doug O'Neill",31,0,0,0,2007,"Kentucky Derby",78,62,0.98,"Cloudy","Fast",156635
15,"11","Bwana Bull","Javier Castellano","Jerry Hollendorfer",51,0,0,0,2007,"Kentucky Derby",78,62,0.98,"Cloudy","Fast",156635
16,"4","Storm in May","Kent Desormeaux","William Kaplan",31,0,0,0,2007,"Kentucky Derby",78,62,0.98,"Cloudy","Fast",156635
17,"10","Teuflesberg","Stewart Elliot","Jamie Sanders",31,0,0,0,2007,"Kentucky Derby",78,62,0.98,"Cloudy","Fast",156635
18,"14","Scat Daddy","Edgar Prado","Todd Pletcher",11,0,0,0,2007,"Kentucky Derby",78,62,0.98,"Cloudy","Fast",156635
19,"17","Stormello","Kent Desormeaux","William Currin",31,0,0,0,2007,"Kentucky Derby",78,62,0.98,"Cloudy","Fast",156635
20,"6","Cowtown Cat","Fernando Jara","Todd Pletcher",21,0,0,0,2007,"Kentucky Derby",78,62,0.98,"Cloudy","Fast",156635
1,"20","Big Brown","Kent Desormeaux","Richard Dutrow, Jr.",4.5,6.8,5,4.8,2008,"Kentucky Derby",75,50,0.69,"Clear","Fast",157770
2,"5","Eight Belles","Gabriel Saez","Larry Jones",9,0,10.6,6.4,2008,"Kentucky Derby",75,50,0.69,"Clear","Fast",157770
3,"16","Denis of Cork","Calvin Borel","David Carroll",28,0,0,11.6,2008,"Kentucky Derby",75,50,0.69,"Clear","Fast",157770
4,"4","Tale of Ekati","Eibar Coa","Barclay Tagg",46,0,0,0,2008,"Kentucky Derby",75,50,0.69,"Clear","Fast",157770
5,"5","Recapturetheglory","E. T. Baird","Louie J. Roussel III",48,0,0,0,2008,"Kentucky Derby",75,50,0.69,"Clear","Fast",157770
6,"6","Colonel John","Corey Nakatani","Eoin Harty",5,0,0,0,2008,"Kentucky Derby",75,50,0.69,"Clear","Fast",157770
7,"7","Anak Nakal","Rafael Bejarano","Nick Zito",58,0,0,0,2008,"Kentucky Derby",75,50,0.69,"Clear","Fast",157770
