date,fighter1,fighter2,fighter1_PP,fighter2_PP,fighter1_PR,fighter2_PR,fighter1_TP,fighter2_TP,fighter1_RB,fighter2_RB,fighter1_KO%,fighter2_KO%,fighter1_HKO%,fighter2_HKO%,fighter1_W,fighter2_W,verdict
2019-08-31,Vasyl Lomachenko,Luke Campbell,72,72,73.9,60.5,78,73,119,130,8.4,12.31,0,0,127.11,135.24,Lomachenko
2019-09-19,Orlando Fiordigiglio,Sam Eggington,59,59,55.4,54.5,68,66,200,177,6.5,8.47,3.03,6.25,152.5,148.93,Eggington
2019-10-05,Gennady Golovkin,Sergiy Derevyanchenko,82,82,68,63.3,84,75,200,81,17.5,12.35,0,0,159.66,164.04,Golovkin
2019-09-28,Shawn Porter,Errol Spence Jr,66,66,63.8,62.3,80,77,219,108,7.76,19.44,0,0,152.53,148.47,Spence
2019-09-13,Zaur Abdullaev,Devin Haney,64,64,58.4,47,72,73,60,110,8.33,12.73,0,0,0,0,Haney
2019-09-14,Tyson Fury,Otto Wallin,72,72,66.5,57.4,86,77,174,90,11.49,14.44,0,0,247.5,240.54,Fury
2019-10-18,Artur Beterbiev,Oleksandr Gvozdyk,88,88,68.4,67.5,81,78,52,88,26.92,15.91,0,0,178.65,174.95,Beterbiev
2019-10-26,Dereck Chisora,David Price,65,65,63.9,65.6,78,70,252,105,8.73,18.1,7.5,20.69,238.35,246.75,Chisora
1987-04-06,Sugar Ray Leonard,Marvin Hagler,73,73,66.9,62,82,89,244,386,9.84,13.47,0,0,151.51,177.35,Leonard
1988-06-27,Mike Tyson,Michael Spinks,83,83,61.8,65.3,82,83,119,225,25.21,9.33,0,0,369.29,321.86,Tyson
2008-12-05,Raul Pinzon,Saul Alvarez,70,70,39.6,41.1,72,71,60,129,25,11.63,0,0,149.6,156.18,Alvarez
2009-01-17,Saul Alvarez,Antonio Fitch,67,67,42.4,26.7,76,50,130,42,12.31,23.81,0,0,155.67,142.28,Alvarez
2009-05-23,Scott Belshaw,Tyson Fury,63,63,49.7,59,56,63,38,11,18.42,45.45,0,0,235.48,249.06,Fury
2009-09-15,Carlos Leonardo Herrera,Saul Alvarez,57,57,49,46.4,62,81,116,163,6.9,12.88,0,0,148.8,153.77,Alvarez
2012-09-08,Damon Mccreary,Deontay Wilder,73,73,44.7,52.1,60,71,41,40,24.39,60,0,0,177.41,243.21,Wilder
2015-11-07,Callum Smith,Rocky Fielding,77,77,59.6,55.8,63,72,64,88,18.75,13.64,0,0,169.11,170,Smith
2015-12-12,Dillian Whyte,Anthony Joshua,75,75,54.3,64.3,72,73,44,25,29.55,56,0,0,225.84,235.76,Joshua
2016-04-23,Dominic Wade,Gennady Golovkin,70,70,54.6,65.7,67,82,60,151,20,20.53,0,0,162.48,159.66,Golovkin
2016-06-25,Anthony Joshua,Dominic Breazeale,87,87,65.4,54,78,78,34,57,47.06,26.32,0,0,237.04,237.83,Joshua
2016-04-09,Charles Martin,Anthony Joshua,80,80,46.8,64.6,74,75,74,32,28.38,46.88,0,0,239.9,236.51,Joshua
2016-09-10,Kell Brook,Gennady Golovkin,75,75,63.9,65.8,79,83,179,153,13.97,20.92,0,0,149.14,159.66,Golovkin
2016-09-24,Jorge Linares,Anthony Crolla,71,71,61.2,58,76,76,244,227,11.07,5.73,6.98,2.63,128.77,135.02,Linares
2016-09-17,Saul Alvarez,Liam Smith,72,72,58.6,55.3,84,68,331,126,9.97,10.32,0,0,152.71,154.61,Alvarez
2016-11-19,Sergey Kovalev,Andre Ward,81,81,57.8,63,77,81,114,218,22.81,6.88,0,0,175,166.41,Ward
2016-12-10,Andy Ruiz Jr,Joseph Parker,72,72,54.3,61.5,78,82,116,87,16.38,20.69,0,0,248.4,246.11,Parker
2017-02-25,Deontay Wilder,Gerald Washington,89,89,60.9,57.7,80,74,107,78,33.64,15.38,0,0,242.79,247.53,Wilder
2017-04-22,Tyrone Nurse,Joe Hughes,50,50,53.8,48.4,67,53,226,116,3.1,5.17,0,0,142.21,141.99,Draw
2017-09-16,Saul Alvarez,Gennady Golovkin,72,72,59.2,66.5,84,84,352,170,9.66,19.41,0,0,152.97,159.65,Draw
2017-11-04,Adrian Granados,Shawn Porter,61,61,52.7,62.4,78,80,145,183,8.28,9.29,0,0,141.39,152.53,Porter
2017-11-18,Horacio Garcia,Carl Frampton,66,66,48.2,60.3,74,77,195,152,12.31,9.21,0,0,122.48,121.85,Frampton
2017-12-30,Yoan Boyeaux,Naoya Inoue,65,65,47.8,62.4,77,72,162,88,12.35,13.64,0,0,119.97,109.2,Inoue
2018-03-03,Luis Ortiz,Deontay Wilder,75,75,63.9,61.9,79,81,122,113,19.67,33.63,0,0,237.75,243.1,Wilder
2018-03-31,Joseph Parker,Anthony Joshua,78,78,63,68.6,82,82,123,65,14.63,30.77,0,0,247.77,237.26,Joshua
2018-05-05,Vanes Martirosyan,Gennady Golovkin,67,67,62.9,67,79,84,224,182,9.38,18.13,0,0,164.37,159.66,Golovkin
2018-05-19,Lee Selby,Josh Warrington,60,60,60.4,57.6,71,70,207,193,4.35,3.11,0,0,128.39,127.08,Warrington
2018-05-25,Jamie Mcdonnell,Naoya Inoue,60,60,58.5,63.3,77,73,245,91,5.31,14.29,0,0,123.22,109.2,Inoue
2018-06-09,Sefer Seferi,Tyson Fury,68,68,43.3,65.6,61,79,69,146,26.09,12.33,0,0,197.91,248.92,Fury
2018-06-16,Errol Spence Jr,Carlos Ocampo,82,82,60.8,51.4,76,79,95,120,21.05,10.83,0,0,148.6,143.08,Spence
2018-09-08,Danny Garcia,Shawn Porter,70,70,64.6,62.9,81,80,227,195,8.81,8.72,0,0,141.8,152.53,Porter
2018-09-22,Alexander Povetkin,Anthony Joshua,75,75,72.3,69.4,81,83,224,77,10.71,25.97,0,0,235.57,237.26,Joshua
2018-09-15,Saul Alvarez,Gennady Golovkin,72,72,59.7,67.3,85,84,364,184,9.34,18.48,0,0,153.13,159.66,Alvarez
2018-09-22,Yvan Mendy,Luke Campbell,60,60,54.1,59.6,66,71,296,113,6.42,13.27,0,0,139.83,135.24,Campbell
