Player,Team,Date,Position,Games Missed,Reported Injury Type,Downs Played After Concussion,Average Playtime Before Injury,Offense,Skilled
Aldrick Robinson,Washington Redskins,30/09/2012,Wide Receiver,1,Head,14,37,Offense,Skilled
D.J. Fluker,San Diego Chargers,22/09/2013,Offensive Tackle,1,Concussion,78,73.5,Offense,Non-Skilled
Marquise Goodwin,Buffalo Bills,28/09/2014,Wide Receiver,1,Concussion,25,17.5,Offense,Skilled
Bryan Stork,New England Patriots,12/10/2014,Center,1,Head,82,41.5,Offense,Non-Skilled
Daniel Kilgore,San Francisco 49ers,29/10/2012,Guard,0,Concussion,8,14.43,Offense,Non-Skilled
Dennis Pitta,Baltimore Ravens,18/11/2012,Tight End,0,Head,85,46.44,Offense,Skilled
Shea McClellin,Chicago Bears,11/11/2012,Defensive End,1,Concussion,27,31,Defense,Non-Skilled
Brent Celek,Philadelphia Eagles,9/12/2012,Tight End,1,Concussion,64,66.5,Offense,Skilled
Johnathan Franklin,Green Bay Packers,24/11/2013,Running Back,5,Concussion,0,13.9,Offense,Skilled
Stephen Hill,New York Jets,29/09/2013,Wide Receiver,0,Concussion,31,69.66999999999999,Offense,Skilled
Joe Webb,Minnesota Vikings,24/11/2013,Wide Receiver,0,Concussion,6,22.9,Offense,Skilled
Jeff Maehl,Philadelphia Eagles,1/12/2013,Wide Receiver,0,Concussion,6,14.18,Offense,Skilled
Steve Vallos,Denver Broncos,22/12/2013,Center,1,Concussion,7,8.139999999999999,Offense,Non-Skilled
Dwight Lowery,Jacksonville Jaguars,22/09/2013,Safety,13,Concussion,0,62.5,Defense,Non-Skilled
Ryan Mathews,San Diego Chargers,6/10/2013,Running Back,0,Concussion,40,25.25,Offense,Skilled
Darren Sproles,New Orleans Saints,3/11/2013,Running Back,0,Concussion,37,31.88,Offense,Skilled
Joe Reitz,Indianapolis Colts,2/12/2012,Guard,1,Head,64,66.2,Offense,Non-Skilled
Theo Riddick,Detroit Lions,6/10/2013,Running Back,2,Concussion,20,22.5,Offense,Skilled
William Middleton,Jacksonville Jaguars,18/11/2012,Comerback,6,Concussion,0,28.67,Defense,Non-Skilled
Johnny White,Green Bay Packers,25/11/2012,Running Back,7,Concussion,0,12.33,Offense,Skilled
Andre Brown,New York Giants,7/10/2012,Running Back,1,Concussion,25,36.25,Offense,Skilled
K.J. Wright,Seattle Seahawks,4/11/2012,Linebacker,1,Concussion,71,73.75,Defense,Non-Skilled
Reggie Walker,Arizona Cardinals,4/10/2012,Linebacker,2,Head,20,28.75,Defense,Non-Skilled
Tracy Porter,Denver Broncos,23/12/2012,Comerback,2,Concussion,0,63.8,Defense,Non-Skilled
